ccaa,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09
Andalucía,0.4342267054276483,0.4562231801866475,0.3348352268869858,0.2943725757870987,0.3068644009588759,0.3636207370654291,0.3720391409855398,0.361448245731207,0.3782850535714285
Aragón,0.442303530136913,0.4647091498624228,0.3410633224883138,0.2998480466969441,0.31257222580032,0.370384256943919,0.3789592472092375,0.3681713562302884,0.3853213367609255
Asturias,0.4728715003589374,0.4968255913714916,0.3646344965244339,0.3205707982420814,0.3341743561010628,0.3959818255038256,0.4051494405827044,0.3936159893544376,0.4119512195121951
Canarias,0.4241519070763654,0.4456380261965566,0.327066479940687,0.2875426311887305,0.2997446247631601,0.3551841173078507,0.3634071999340967,0.3530620314688195,0.3695081967213115
Cantabria,0.4005125217926366,0.4208011486001435,0.3088379858476053,0.2715169315967592,0.2830388678084298,0.335388534509281,0.3431533176084503,0.333384719515947,0.3489142857142857
Castilla y León,0.4341577031561046,0.4561506824904665,0.3347820187563959,0.2943257975117057,0.306815637627516,0.3635629546754372,0.3719800208404398,0.3613908085683397,0.3782249408983451
Castilla-La Mancha,0.4539762996740914,0.4769732229221224,0.3500642761089148,0.3077612938378455,0.3208212749416656,0.3801590151742391,0.3889603067876831,0.3778877141127053,0.3954902973395931
Cataluña,0.4424086642496916,0.4648196097182502,0.3411443921325014,0.2999193196039185,0.3126465232033468,0.37047229607901,0.3790493245916683,0.368258869366066,0.3854129263913824
Ceuta,0.2869705671213208,0.3015075376884422,0.2212849964106245,0.1945441493180186,0.2027997128499641,0.2403086862885857,0.2458722182340272,0.238872936109117,0.25
Comunidad Valenciana,0.4189279731993298,0.4401494652750933,0.3230382682643988,0.2840012025941673,0.2960529141433663,0.3508096035734225,0.3589314091826653,0.3487136537387793,0.3649572649572649
Comunidad de Madrid,0.4484140272792533,0.4711291843834557,0.3457751692528576,0.3039904975426582,0.3168904633055386,0.375501177315147,0.3841946325031751,0.3732577050085592,0.3906446153846153
Extremadura,0.4390471434367934,0.4612878054870626,0.3385523000985405,0.2976404649690332,0.3102709644049884,0.3676573640161766,0.3761692223317117,0.3654607554186192,0.3824844720496894
Galicia,0.4663117430470322,0.4899335386610471,0.359576222124447,0.3161237832789137,0.3295386301708233,0.3904886953971083,0.3995291356938301,0.3881556785463415,0.4062365591397849
Illes Balears,0.4417495310654654,0.4641270870481439,0.3406361299585484,0.2994724775953499,0.3121807192645253,0.3699203390223003,0.3784845888428316,0.3677102100363568,0.3848387096774193
La Rioja,0.445163092246949,0.467713567839196,0.3432683506819813,0.3017866116295764,0.3145930545585068,0.3727788496051686,0.3814092785355348,0.3705516421392678,0.3878125
Navarra,0.4452045371993718,0.4677571122544995,0.3433003091724987,0.3018147081451651,0.3146223433616574,0.3728135555409373,0.381444787969443,0.3705861407206778,0.3878486055776892
País Vasco,0.4252965964427603,0.4468407017034631,0.327949157857363,0.2883186432419963,0.3005535672172102,0.3561426783219862,0.3643879531748478,0.3540148654567317,0.3705054151624548
Región de Murcia,0.4421034795827878,0.4644989654153119,0.3409090621173092,0.2997124276846416,0.31243085173768,0.37021673493518,0.3787878467970102,0.3680048350998691,0.3851470588235294
