month,provincia,band,median_eur_kWh,mean_eur_kWh,n
2025-04,A Coruña,AC,0.4,0.4117037037037037,135
2025-04,A Coruña,DC,0.47,0.476518771331058,293
2025-04,Alacant,AC,0.39,0.3707428571428571,350
2025-04,Alacant,DC,0.47,0.47211191335740077,554
2025-04,Albacete,AC,0.4,0.4074038461538461,104
2025-04,Albacete,DC,0.47,0.4787323943661972,284
2025-04,Almería,AC,0.35,0.3508045977011494,87
2025-04,Almería,DC,0.47,0.47617224880382775,209
2025-04,Asturias,AC,0.4,0.4013937282229965,287
2025-04,Asturias,DC,0.48,0.48860544217687074,294
2025-04,Badajoz,AC,0.38,0.373203125,128
2025-04,Badajoz,DC,0.47,0.4804,250
2025-04,Barcelona,AC,0.39,0.3767543859649123,684
2025-04,Barcelona,DC,0.47,0.4645170731707317,1025
2025-04,Bizkaia,AC,0.35,0.3542,150
2025-04,Bizkaia,DC,0.47,0.48341484716157207,229
2025-04,Burgos,AC,0.35,0.3702816901408451,213
2025-04,Burgos,DC,0.48,0.4948293963254593,381
2025-04,Cantabria,AC,0.34,0.353542600896861,223
2025-04,Cantabria,DC,0.48,0.49171122994652405,187
2025-04,Castellón,AC,0.39,0.36816793893129773,131
2025-04,Castellón,DC,0.47,0.48486111111111113,216
2025-04,Ceuta,AC,0.25,0.25,1
2025-04,Ciudad Real,AC,0.4,0.41674418604651164,86
2025-04,Ciudad Real,DC,0.47,0.48824324324324325,222
2025-04,Cuenca,AC,0.4,0.43061538461538457,65
2025-04,Cuenca,DC,0.47,0.4950898203592814,167
2025-04,Cáceres,AC,0.4,0.389448275862069,145
2025-04,Cáceres,DC,0.46499999999999997,0.4835849056603773,212
2025-04,Cádiz,AC,0.4,0.39148148648648645,148
2025-04,Cádiz,DC,0.47,0.48178082191780824,292
2025-04,Córdoba,AC,0.39,0.3810434782608696,115
2025-04,Córdoba,DC,0.47,0.4801818181818182,220
2025-04,Gipuzkoa,AC,0.375,0.37133333333333335,90
2025-04,Gipuzkoa,DC,0.47,0.48503267973856207,153
2025-04,Girona,AC,0.4,0.41477508650519035,289
2025-04,Girona,DC,0.47,0.4825272331154684,459
2025-04,Granada,AC,0.39,0.3764732142857143,224
2025-04,Granada,DC,0.47,0.4836879432624113,423
2025-04,Guadalajara,AC,0.42,0.4105263157894737,133
2025-04,Guadalajara,DC,0.47,0.48407272727272727,275
2025-04,Huelva,AC,0.39,0.3709345794392523,107
2025-04,Huelva,DC,0.48,0.4898347107438017,121
2025-04,Huesca,AC,0.39,0.3842156862745098,204
2025-04,Huesca,DC,0.5,0.4879127725856698,321
2025-04,Illes Balears,AC,0.39,0.38483870967741934,155
2025-04,Illes Balears,DC,0.47,0.4876960784313725,204
2025-04,Jaén,AC,0.45,0.39611111111111114,54
2025-04,Jaén,DC,0.47,0.49795811518324606,191
2025-04,La Rioja,AC,0.39,0.3892537313432836,67
2025-04,La Rioja,DC,0.5,0.4946616541353384,133
2025-04,Las Palmas,AC,0.38,0.3484269662921349,89
2025-04,Las Palmas,DC,0.45,0.47208588957055214,163
2025-04,León,AC,0.39,0.3585849056603773,106
2025-04,León,DC,0.47,0.4870344827586207,145
2025-04,Lleida,AC,0.39,0.4127918781725888,197
2025-04,Lleida,DC,0.47,0.4796526054590571,403
2025-04,Lugo,AC,0.42,0.41854838709677417,62
2025-04,Lugo,DC,0.47,0.4832085561497326,187
2025-04,Madrid,AC,0.4,0.3904431914893617,940
2025-04,Madrid,DC,0.47,0.4830125523012552,1434
2025-04,Murcia,AC,0.39,0.3858359621451104,317
2025-04,Murcia,DC,0.47,0.4635436893203884,618
2025-04,Málaga,AC,0.39,0.3625909090909091,220
2025-04,Málaga,DC,0.47,0.4783152173913044,368
2025-04,Navarra,AC,0.39,0.3851754385964913,228
2025-04,Navarra,DC,0.47,0.4873415132924335,489
2025-04,Ourense,AC,0.39,0.3935897435897436,39
2025-04,Ourense,DC,0.47,0.4656730769230769,104
2025-04,Palencia,AC,0.385,0.35717391304347823,46
2025-04,Palencia,DC,0.47,0.47458333333333336,96
2025-04,Pontevedra,AC,0.39,0.39978494623655914,93
2025-04,Pontevedra,DC,0.47,0.463015873015873,252
2025-04,Salamanca,AC,0.35,0.3481707317073171,82
2025-04,Salamanca,DC,0.47,0.4850724637681159,138
2025-04,Santa Cruz de Tenerife,AC,0.39,0.389468085106383,94
2025-04,Santa Cruz de Tenerife,DC,0.47,0.4970992366412214,131
2025-04,Segovia,AC,0.39,0.38563207547169814,106
2025-04,Segovia,DC,0.5,0.49945544554455445,202
2025-04,Sevilla,AC,0.39,0.39255874673629243,383
2025-04,Sevilla,DC,0.48,0.48862204724409447,508
2025-04,Soria,AC,0.37,0.3574,50
2025-04,Soria,DC,0.47,0.48000000000000004,74
2025-04,Tarragona,AC,0.39,0.38155844155844154,154
2025-04,Tarragona,DC,0.47,0.4782568807339449,327
2025-04,Territorio no asociado a ninguna provincia,AC,0.25,0.25,1
2025-04,Teruel,AC,0.39,0.36416058394160583,137
2025-04,Teruel,DC,0.47,0.47859030837004407,227
2025-04,Toledo,AC,0.42,0.4004651162790697,215
2025-04,Toledo,DC,0.47,0.48560090702947845,441
2025-04,Valencia,AC,0.39,0.3636526946107784,501
2025-04,Valencia,DC,0.47,0.47055115151515153,825
2025-04,Valladolid,AC,0.36,0.3509090909090909,165
2025-04,Valladolid,DC,0.47,0.4860828025477707,314
2025-04,Zamora,AC,0.3,0.33460317460317457,63
2025-04,Zamora,DC,0.47,0.49414893617021277,94
2025-04,Zaragoza,AC,0.39,0.38387755102040816,245
2025-04,Zaragoza,DC,0.49,0.4883177570093458,535
2025-04,Álava,AC,0.37,0.3695833333333333,96
2025-04,Álava,DC,0.47,0.4931506849315068,219
2025-04,Ávila,AC,0.38,0.36670329670329666,91
2025-04,Ávila,DC,0.47,0.4984343434343434,198
