month,provincia,AC,DC
2025-01,A Coruña,0.4,0.47
2025-01,Alacant,0.39,0.47
2025-01,Albacete,0.4,0.47
2025-01,Almería,0.35,0.47
2025-01,Asturias,0.4,0.48
2025-01,Badajoz,0.38,0.47
2025-01,Barcelona,0.39,0.47
2025-01,Bizkaia,0.35,0.47
2025-01,Burgos,0.35,0.48
2025-01,Cantabria,0.34,0.48
2025-01,Castellón,0.39,0.47
2025-01,Ceuta,0.25,
2025-01,Ciudad Real,0.4,0.47
2025-01,Cuenca,0.4,0.47
2025-01,Cáceres,0.4,0.4649999999999999
2025-01,Cádiz,0.4,0.47
2025-01,Córdoba,0.39,0.47
2025-01,Gipuzkoa,0.375,0.47
2025-01,Girona,0.4,0.47
2025-01,Granada,0.39,0.47
2025-01,Guadalajara,0.42,0.47
2025-01,Huelva,0.39,0.48
2025-01,Huesca,0.39,0.5
2025-01,Illes Balears,0.39,0.47
2025-01,Jaén,0.45,0.47
2025-01,La Rioja,0.39,0.5
2025-01,Las Palmas,0.38,0.45
2025-01,León,0.39,0.47
2025-01,Lleida,0.39,0.47
2025-01,Lugo,0.42,0.47
2025-01,Madrid,0.4,0.47
2025-01,Murcia,0.39,0.47
2025-01,Málaga,0.39,0.47
2025-01,Navarra,0.39,0.47
2025-01,Ourense,0.39,0.47
2025-01,Palencia,0.385,0.47
2025-01,Pontevedra,0.39,0.47
2025-01,Salamanca,0.35,0.47
2025-01,Santa Cruz de Tenerife,0.39,0.47
2025-01,Segovia,0.39,0.5
2025-01,Sevilla,0.39,0.48
2025-01,Soria,0.37,0.47
2025-01,Tarragona,0.39,0.47
2025-01,Territorio no asociado a ninguna provincia,0.25,
2025-01,Teruel,0.39,0.47
2025-01,Toledo,0.42,0.47
2025-01,Valencia,0.39,0.47
2025-01,Valladolid,0.36,0.47
2025-01,Zamora,0.3,0.47
2025-01,Zaragoza,0.39,0.49
2025-01,Álava,0.37,0.47
2025-01,Ávila,0.38,0.47
2025-02,A Coruña,0.4,0.47
2025-02,Alacant,0.39,0.47
2025-02,Albacete,0.4,0.47
2025-02,Almería,0.35,0.47
2025-02,Asturias,0.4,0.48
2025-02,Badajoz,0.38,0.47
2025-02,Barcelona,0.39,0.47
2025-02,Bizkaia,0.35,0.47
2025-02,Burgos,0.35,0.48
2025-02,Cantabria,0.34,0.48
2025-02,Castellón,0.39,0.47
2025-02,Ceuta,0.25,
2025-02,Ciudad Real,0.4,0.47
2025-02,Cuenca,0.4,0.47
2025-02,Cáceres,0.4,0.4649999999999999
2025-02,Cádiz,0.4,0.47
2025-02,Córdoba,0.39,0.47
2025-02,Gipuzkoa,0.375,0.47
2025-02,Girona,0.4,0.47
2025-02,Granada,0.39,0.47
2025-02,Guadalajara,0.42,0.47
2025-02,Huelva,0.39,0.48
2025-02,Huesca,0.39,0.5
2025-02,Illes Balears,0.39,0.47
2025-02,Jaén,0.45,0.47
2025-02,La Rioja,0.39,0.5
2025-02,Las Palmas,0.38,0.45
2025-02,León,0.39,0.47
2025-02,Lleida,0.39,0.47
2025-02,Lugo,0.42,0.47
2025-02,Madrid,0.4,0.47
2025-02,Murcia,0.39,0.47
2025-02,Málaga,0.39,0.47
2025-02,Navarra,0.39,0.47
2025-02,Ourense,0.39,0.47
2025-02,Palencia,0.385,0.47
2025-02,Pontevedra,0.39,0.47
2025-02,Salamanca,0.35,0.47
2025-02,Santa Cruz de Tenerife,0.39,0.47
2025-02,Segovia,0.39,0.5
2025-02,Sevilla,0.39,0.48
2025-02,Soria,0.37,0.47
2025-02,Tarragona,0.39,0.47
2025-02,Territorio no asociado a ninguna provincia,0.25,
2025-02,Teruel,0.39,0.47
2025-02,Toledo,0.42,0.47
2025-02,Valencia,0.39,0.47
2025-02,Valladolid,0.36,0.47
2025-02,Zamora,0.3,0.47
2025-02,Zaragoza,0.39,0.49
2025-02,Álava,0.37,0.47
2025-02,Ávila,0.38,0.47
2025-03,A Coruña,0.4,0.47
2025-03,Alacant,0.39,0.47
2025-03,Albacete,0.4,0.47
2025-03,Almería,0.35,0.47
2025-03,Asturias,0.4,0.48
2025-03,Badajoz,0.38,0.47
2025-03,Barcelona,0.39,0.47
2025-03,Bizkaia,0.35,0.47
2025-03,Burgos,0.35,0.48
2025-03,Cantabria,0.34,0.48
2025-03,Castellón,0.39,0.47
2025-03,Ceuta,0.25,
2025-03,Ciudad Real,0.4,0.47
2025-03,Cuenca,0.4,0.47
2025-03,Cáceres,0.4,0.4649999999999999
2025-03,Cádiz,0.4,0.47
2025-03,Córdoba,0.39,0.47
2025-03,Gipuzkoa,0.375,0.47
2025-03,Girona,0.4,0.47
2025-03,Granada,0.39,0.47
2025-03,Guadalajara,0.42,0.47
2025-03,Huelva,0.39,0.48
2025-03,Huesca,0.39,0.5
2025-03,Illes Balears,0.39,0.47
2025-03,Jaén,0.45,0.47
2025-03,La Rioja,0.39,0.5
2025-03,Las Palmas,0.38,0.45
2025-03,León,0.39,0.47
2025-03,Lleida,0.39,0.47
2025-03,Lugo,0.42,0.47
2025-03,Madrid,0.4,0.47
2025-03,Murcia,0.39,0.47
2025-03,Málaga,0.39,0.47
2025-03,Navarra,0.39,0.47
