month,ccaa,AC,DC
2025-01,Andalucía,0.4342267054276483,0.5533997595291477
2025-02,Andalucía,0.4562231801866475,0.5814331432201177
2025-03,Andalucía,0.33483522688698586,0.42673039618476494
2025-04,Andalucía,0.2943725757870987,0.37516281383964734
2025-05,Andalucía,0.3068644009588759,0.3910830070468649
2025-06,Andalucía,0.3636207370654291,0.4634160587927009
2025-07,Andalucía,0.37203914098553986,0.47414488464973886
2025-08,Andalucía,0.361448245731207,0.4606473295392718
2025-09,Andalucía,0.3782850535714285,0.4821049812533476
2025-01,Aragón,0.442303530136913,0.5594127997668253
2025-02,Aragón,0.4647091498624228,0.5877507839951638
2025-03,Aragón,0.3410633224883138,0.43136709325359335
2025-04,Aragón,0.29984804669694415,0.3792391963397365
2025-05,Aragón,0.31257222580032,0.39533237256817555
2025-06,Aragón,0.370384256943919,0.46845136891043104
2025-07,Aragón,0.37895924720923757,0.4792967702817704
2025-08,Aragón,0.36817135623028846,0.4656525556533112
2025-09,Aragón,0.3853213367609255,0.4873433583959899
2025-01,Asturias,0.47287150035893744,0.5582843577129343
2025-02,Asturias,0.4968255913714916,0.5865651788353532
2025-03,Asturias,0.36463449652443397,0.43049694375237524
2025-04,Asturias,0.3205707982420814,0.3784741987247159
2025-05,Asturias,0.3341743561010628,0.39453491195473156
2025-06,Asturias,0.39598182550382566,0.4675064133693677
2025-07,Asturias,0.4051494405827044,0.47832993750263914
2025-08,Asturias,0.39361598935443765,0.46471324585110413
2025-09,Asturias,0.4119512195121951,0.486360294117647
2025-01,Canarias,0.4241519070763654,0.5546926322574973
2025-02,Canarias,0.4456380261965566,0.5827915085632244
2025-03,Canarias,0.32706647994068705,0.42772733932050927
2025-04,Canarias,0.2875426311887305,0.37603928290627087
2025-05,Canarias,0.2997446247631601,0.3919966694502639
2025-06,Canarias,0.3551841173078507,0.46449870831318885
2025-07,Canarias,0.36340719993409676,0.4752525992450103
2025-08,Canarias,0.35306203146881954,0.461723510653364
2025-09,Canarias,0.3695081967213115,0.4832312925170068
2025-01,Cantabria,0.4005125217926366,0.5714457380068041
2025-02,Cantabria,0.42080114860014356,0.6003932707013327
2025-03,Cantabria,0.30883798584760536,0.4406457754611567
2025-04,Cantabria,0.2715169315967592,0.38739661038109796
2025-05,Cantabria,0.28303886780842985,0.4038359499360154
2025-06,Cantabria,0.335388534509281,0.47852773182683594
2025-07,Cantabria,0.34315331760845036,0.48960641717906295
2025-08,Cantabria,0.333384719515947,0.47566871625206775
2025-09,Cantabria,0.3489142857142857,0.4978260869565217
2025-01,Castilla y León,0.4341577031561046,0.5577225320063681
2025-02,Castilla y León,0.4561506824904665,0.5859748929147583
2025-03,Castilla y León,0.3347820187563959,0.4300637160499387
2025-04,Castilla y León,0.2943257975117057,0.37809332376166543
2025-05,Castilla y León,0.30681563762751607,0.3941378744009981
2025-06,Castilla y León,0.3635629546754372,0.467035941436227
2025-07,Castilla y León,0.37198002084043985,0.47784857338882075
2025-08,Castilla y León,0.36139080856833977,0.4642455848032996
2025-09,Castilla y León,0.3782249408983451,0.4858708487084871
2025-01,Castilla-La Mancha,0.4539762996740914,0.5591442525526739
2025-02,Castilla-La Mancha,0.4769732229221224,0.5874686330759801
2025-03,Castilla-La Mancha,0.3500642761089148,0.43116001463254966
2025-04,Castilla-La Mancha,0.30776129383784556,0.3790571418180728
2025-05,Castilla-La Mancha,0.3208212749416656,0.39514259248562944
2025-06,Castilla-La Mancha,0.38015901517423917,0.46822648790996263
2025-07,Castilla-La Mancha,0.3889603067876831,0.47906668292505517
2025-08,Castilla-La Mancha,0.3778877141127053,0.46542901822864846
2025-09,Castilla-La Mancha,0.3954902973395931,0.4871094082588335
2025-01,Cataluña,0.4424086642496916,0.5436300698414133
2025-02,Cataluña,0.4648196097182502,0.5711685536795337
2025-03,Cataluña,0.3411443921325014,0.41919692064694347
2025-04,Cataluña,0.2999193196039185,0.36853970963608
2025-05,Cataluña,0.3126465232033468,0.3841788486058768
2025-06,Cataluña,0.37047229607901005,0.4552349365338664
2025-07,Cataluña,0.3790493245916683,0.46577435627438163
2025-08,Cataluña,0.368258869366066,0.45251508627824955
2025-09,Cataluña,0.3854129263913824,0.47359392575928
2025-01,Ceuta,0.28697056712132085,
2025-02,Ceuta,0.30150753768844224,
2025-03,Ceuta,0.22128499641062455,
2025-04,Ceuta,0.19454414931801864,
2025-05,Ceuta,0.2027997128499641,
2025-06,Ceuta,0.24030868628858576,
2025-07,Ceuta,0.24587221823402727,
2025-08,Ceuta,0.238872936109117,
2025-09,Ceuta,0.25,
2025-01,Comunidad Valenciana,0.41892797319932984,0.5414360896481396
2025-02,Comunidad Valenciana,0.44014946527509335,0.5688634337766572
2025-03,Comunidad Valenciana,0.32303826826439885,0.41750512728965367
2025-04,Comunidad Valenciana,0.28400120259416733,0.3670523584606525
2025-05,Comunidad Valenciana,0.2960529141433663,0.3826283810521562
2025-06,Comunidad Valenciana,0.35080960357342256,0.4533977010874665
2025-07,Comunidad Valenciana,0.35893140918266536,0.46389458587739296
2025-08,Comunidad Valenciana,0.3487136537387793,0.450688827593292
2025-09,Comunidad Valenciana,0.3649572649572649,0.4716825971731448
2025-01,Comunidad de Madrid,0.4484140272792533,0.5539133691388457
2025-02,Comunidad de Madrid,0.4711291843834557,0.5819727705773989
2025-03,Comunidad de Madrid,0.3457751692528576,0.4271264441201981
2025-04,Comunidad de Madrid,0.3039904975426582,0.37551100196779785
2025-05,Comunidad de Madrid,0.3168904633055386,0.3914459706859885
2025-06,Comunidad de Madrid,0.37550117731514704,0.46384615464472445
2025-07,Comunidad de Madrid,0.38419463250317515,0.4745849379113313
2025-08,Comunidad de Madrid,0.3732577050085592,0.4610748557372131
2025-09,Comunidad de Madrid,0.3906446153846153,0.4825524222704266
2025-01,Extremadura,0.4390471434367934,0.5580015295429046
2025-02,Extremadura,0.4612878054870626,0.5862680235347592
2025-03,Extremadura,0.33855230009854054,0.4302788529871179
2025-04,Extremadura,0.2976404649690332,0.37828246280457073
2025-05,Extremadura,0.31027096440498847,0.39433503963945105
2025-06,Extremadura,0.3676573640161766,0.4672695735196681
2025-07,Extremadura,0.37616922233171174,0.4780876144301309
2025-08,Extremadura,0.3654607554186192,0.4644778210266455
2025-09,Extremadura,0.3824844720496894,0.4861139028475711
2025-01,Galicia,0.46631174304703227,0.540173177168309
2025-02,Galicia,0.48993353866104716,0.5675365463682048
2025-03,Galicia,0.35957622212444706,0.41653128670952166
2025-04,Galicia,0.3161237832789137,0.3661962001566273
2025-05,Galicia,0.32953863017082335,0.38173589130718527
2025-06,Galicia,0.39048869539710834,0.45234014023037267
2025-07,Galicia,0.3995291356938301,0.46281254078835743
2025-08,Galicia,0.3881556785463415,0.44963758524766695
2025-09,Galicia,0.4062365591397849,0.4705823863636364
2025-01,Illes Balears,0.44174953106546544,0.5598176808411806
2025-02,Illes Balears,0.4641270870481439,0.5881761749926101
2025-03,Illes Balears,0.3406361299585484,0.43167929986064774
2025-04,Illes Balears,0.29947247759534995,0.37951367481666026
2025-05,Illes Balears,0.31218071926452534,0.39561849865574367
2025-06,Illes Balears,0.3699203390223003,0.46879041566375285
2025-07,Illes Balears,0.3784845888428316,0.4796436665118308
2025-08,Illes Balears,0.36771021003635684,0.4659895767352166
2025-09,Illes Balears,0.3848387096774193,0.4876960784313725
2025-01,La Rioja,0.445163092246949,0.5640320650873414
2025-02,La Rioja,0.46771356783919604,0.5926040458703776
2025-03,La Rioja,0.3432683506819813,0.4349290408084378
2025-04,La Rioja,0.30178661162957643,0.38237070578779114
2025-05,La Rioja,0.3145930545585068,0.39859676894852775
2025-06,La Rioja,0.37277884960516866,0.4723195341788306
2025-07,La Rioja,0.3814092785355348,0.4832544897871531
2025-08,La Rioja,0.3705516421392678,0.4694976101508765
2025-09,La Rioja,0.3878125,0.4913675213675214
2025-01,Navarra,0.4452045371993718,0.5597436430271658
2025-02,Navarra,0.46775711225449956,0.5880983866701931
2025-03,Navarra,0.34330030917249876,0.4316222087883024
2025-04,Navarra,0.30181470814516514,0.3794634828276721
2025-05,Navarra,0.3146223433616574,0.39556617674840366
2025-06,Navarra,0.37281355554093737,0.4687284165186836
2025-07,Navarra,0.38144478796944303,0.47958023198700267
2025-08,Navarra,0.37058614072067786,0.46592794801073034
2025-09,Navarra,0.3878486055776892,0.4876315789473684
2025-01,País Vasco,0.4252965964427603,0.5617303286619432
2025-02,País Vasco,0.4468407017034631,0.5901857111645182
2025-03,País Vasco,0.32794915785736306,0.4331541558725303
2025-04,País Vasco,0.28831864324199635,0.38081030410853434
2025-05,País Vasco,0.3005535672172102,0.3969701509618485
2025-06,País Vasco,0.35614267832198626,0.47039206383886295
2025-07,País Vasco,0.36438795317484785,0.4812823954139226
2025-08,País Vasco,0.3540148654567317,0.4675816556904605
2025-09,País Vasco,0.3705054151624548,0.4893623188405797
2025-01,Región de Murcia,0.44210347958278784,0.5360996331592429
2025-02,Región de Murcia,0.4644989654153119,0.563256650223595
2025-03,Región de Murcia,0.3409090621173092,0.41339014864624557
2025-04,Región de Murcia,0.2997124276846416,0.3634346481204624
2025-05,Región de Murcia,0.31243085173768,0.37885715163848943
2025-06,Región de Murcia,0.37021673493518004,0.44892896110082947
2025-07,Región de Murcia,0.3787878467970102,0.4593223873847173
2025-08,Región de Murcia,0.3680048350998691,0.44624678657595523
2025-09,Región de Murcia,0.3851470588235294,0.4670336391437308
