month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-07,A Coruña,,22.0,AC,,,empty
2025-07,A Coruña,,22.0,AC,"0,39€/kWh",0.39,ok
2025-07,A Coruña,,22.0,AC,"0,50€/kWh",0.5,ok
2025-07,A Coruña,,50.0,DC,"0,47€/kWh",0.47,ok
2025-07,A Coruña,,50.0,DC,"0,47€/kWh",0.47,ok
2025-07,A Coruña,,43.0,DC,"0,47€/kWh",0.47,ok
2025-07,A Coruña,,22.0,AC,"0,25€/kWh",0.25,ok
2025-07,A Coruña,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-07,A Coruña,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-07,A Coruña,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-07,A Coruña,,22.0,AC,,,no_kwh
2025-07,A Coruña,,22.0,AC,"0,42€/kWh",0.42,ok
2025-07,A Coruña,,3.7,AC,,,empty
2025-07,A Coruña,,11.0,AC,,,no_kwh
2025-07,A Coruña,,50.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-07,A Coruña,,43.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-07,A Coruña,,50.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-07,A Coruña,,3.7,AC,,,empty
2025-07,A Coruña,,3.0,AC,,,no_kwh
2025-07,A Coruña,,150.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-07,A Coruña,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-07,A Coruña,,22.0,AC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-07,A Coruña,,22.0,AC,"0,25€/kWh",0.25,ok
2025-07,A Coruña,,22.0,AC,"0,36€/kWh 22kW AC ",0.36,ok
2025-07,A Coruña,,50.0,DC,"0,45€/kWh",0.45,ok
2025-07,A Coruña,,50.0,DC,"0,45€/kWh",0.45,ok
2025-07,A Coruña,,43.0,DC,"0,45€/kWh",0.45,ok
2025-07,A Coruña,,50.0,DC,"0,49€/kWh DC - 0,39€/kWh AC",0.49,ok
2025-07,A Coruña,,50.0,DC,"0,49€/kWh DC - 0,39€/kWh AC",0.49,ok
2025-07,A Coruña,,43.0,DC,"0,49€/kWh DC - 0,39€/kWh AC",0.49,ok
2025-07,A Coruña,,50.0,DC," 0,47€/kWh",0.47,ok
2025-07,A Coruña,,43.0,DC," 0,47€/kWh",0.47,ok
2025-07,A Coruña,,50.0,DC," 0,47€/kWh",0.47,ok
2025-07,A Coruña,,60.0,DC,"0,30€/kWh",0.3,ok
2025-07,A Coruña,,60.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-07,A Coruña,,60.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-07,A Coruña,,22.0,AC,"0,49€/kEh + parking fee",,no_kwh
2025-07,A Coruña,,3.7,AC,,,empty
2025-07,A Coruña,,3.7,AC,,,empty
2025-07,A Coruña,,90.0,DC,,,empty
2025-07,A Coruña,,2.3,AC,,,no_kwh
2025-07,A Coruña,,22.0,AC,,,empty
2025-07,A Coruña,,50.0,DC,,,empty
2025-07,A Coruña,,50.0,DC,,,empty
2025-07,A Coruña,,43.0,DC,,,empty
2025-07,A Coruña,,60.0,DC,"0,50€/kWh DC ",0.5,ok
2025-07,A Coruña,,7.4,AC,"0,39€/kWh ",0.39,ok
2025-07,A Coruña,,100.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-07,A Coruña,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-07,A Coruña,,22.0,AC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-07,A Coruña,,400.0,DC,"0,55€/kWh DC ",0.55,ok
2025-07,A Coruña,,60.0,DC,"0,54€/kWh DC - 0,36€/kWh AC",0.54,ok
2025-07,A Coruña,,22.0,AC,"0,32€/kWh",0.32,ok
2025-07,A Coruña,,150.0,DC,"0,60€/kWh DC - 0,43€/kWh AC",0.6,ok
2025-07,A Coruña,,22.0,AC,"0,60€/kWh DC - 0,43€/kWh AC",0.6,ok
2025-07,A Coruña,,150.0,DC,"0,60€/kWh DC - 0,43€/kWh AC",0.6,ok
2025-07,A Coruña,,22.0,AC,"0,60€/kWh DC - 0,43€/kWh AC",0.6,ok
2025-07,A Coruña,,50.0,DC,0.47€/kWh ,0.47,ok
2025-07,A Coruña,,50.0,DC,0.47€/kWh ,0.47,ok
