month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-06,Alacant,,100.0,DC,"0,45€/kWh ",0.45,ok
2025-06,Alacant,,22.0,AC,"0,45€/kWh ",0.45,ok
2025-06,Alacant,,22.0,AC,,,empty
2025-06,Alacant,,7.4,AC,"0,38€/kWh",0.38,ok
2025-06,Alacant,,3.7,AC,,,empty
2025-06,Alacant,,7.4,AC,,,no_kwh
2025-06,Alacant,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Alacant,,3.7,AC,free,,free
2025-06,Alacant,,3.7,AC,,,no_kwh
2025-06,Alacant,,22.0,AC,free,,free
2025-06,Alacant,,22.0,AC,free,,free
2025-06,Alacant,,22.0,AC,,,no_kwh
2025-06,Alacant,,22.0,AC,"0,21€ kWh",0.21,ok
2025-06,Alacant,,2.3,AC,"0,21€ kWh",0.21,ok
2025-06,Alacant,,150.0,DC,"0,54 €/kWh DC",0.54,ok
2025-06,Alacant,,80.0,DC,"0,54 €/kWh DC",0.54,ok
2025-06,Alacant,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Alacant,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Alacant,,43.0,DC,0.47€/kWh ,0.47,ok
2025-06,Alacant,,22.0,AC,Free,,free
2025-06,Alacant,,7.0,AC,€0/kWh,,no_kwh
2025-06,Alacant,,2.3,AC,€0/kWh,,no_kwh
2025-06,Alacant,,7.4,AC,,,no_kwh
2025-06,Alacant,,2.3,AC,,,no_kwh
2025-06,Alacant,,22.0,AC,"0,39€/kWh",0.39,ok
2025-06,Alacant,,11.0,AC,,,no_kwh
2025-06,Alacant,,3.7,AC,€0/kWh,,no_kwh
2025-06,Alacant,,2.3,AC,€0/kWh,,no_kwh
2025-06,Alacant,,30.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-06,Alacant,,7.4,AC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-06,Alacant,,22.0,AC,,,empty
2025-06,Alacant,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Alacant,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Alacant,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Alacant,,43.0,DC,0.47€/kWh ,0.47,ok
2025-06,Alacant,,25.0,DC,"0,39€/kWh ",0.39,ok
2025-06,Alacant,,25.0,DC,"0,39€/kWh ",0.39,ok
2025-06,Alacant,,25.0,DC,"0,39€/kWh ",0.39,ok
2025-06,Alacant,,7.4,AC,free,,free
2025-06,Alacant,,3.7,AC,Free,,free
2025-06,Alacant,,2.3,AC,Free,,free
2025-06,Alacant,,7.4,AC,,,empty
2025-06,Alacant,,2.3,AC,,,empty
2025-06,Alacant,,7.4,AC,Free,,free
2025-06,Alacant,,2.3,AC,Free,,free
2025-06,Alacant,,22.0,AC,free,,free
2025-06,Alacant,,7.4,AC,,,empty
2025-06,Alacant,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-06,Alacant,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-06,Alacant,,22.0,AC,free,,free
