month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-06,Albacete,,5.0,AC,"0,45€/kWh",0.45,ok
2025-06,Albacete,,3.7,AC,"0,45€/kWh",0.45,ok
2025-06,Albacete,,50.0,DC,"0,45€/kWh 50kW   - 0,39€/kWh 22kW AC",0.45,ok
2025-06,Albacete,,50.0,DC,"0,45€/kWh 50kW   - 0,39€/kWh 22kW AC",0.45,ok
2025-06,Albacete,,22.0,AC,"0,45€/kWh 50kW   - 0,39€/kWh 22kW AC",0.45,ok
2025-06,Albacete,,50.0,DC,"0,45€/kWh 50kW   - 0,39€/kWh 22kW AC",0.45,ok
2025-06,Albacete,,50.0,DC,"0,45€/kWh 50kW   - 0,39€/kWh 22kW AC",0.45,ok
2025-06,Albacete,,22.0,AC,"0,45€/kWh 50kW   - 0,39€/kWh 22kW AC",0.45,ok
2025-06,Albacete,,22.0,AC,free,,free
2025-06,Albacete,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Albacete,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Albacete,,43.0,DC,0.47€/kWh ,0.47,ok
2025-06,Albacete,,22.0,AC,Free,,free
2025-06,Albacete,,22.0,AC,free,,free
2025-06,Albacete,,22.0,AC,free,,free
2025-06,Albacete,,100.0,DC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-06,Albacete,,50.0,DC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-06,Albacete,,22.0,AC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-06,Albacete,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-06,Albacete,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-06,Albacete,,43.0,DC,"0,47€/kWh ",0.47,ok
2025-06,Albacete,,100.0,DC,"0,45€/kWh ",0.45,ok
2025-06,Albacete,,22.0,AC,"0,45€/kWh ",0.45,ok
2025-06,Albacete,,22.0,AC,,,empty
2025-06,Albacete,,7.4,AC,"0,38€/kWh",0.38,ok
2025-06,Albacete,,3.7,AC,,,empty
2025-06,Albacete,,22.0,AC,"0,38€/kWh",0.38,ok
2025-06,Albacete,,7.4,AC,,,no_kwh
2025-06,Albacete,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Albacete,,3.7,AC,free,,free
2025-06,Albacete,,50.0,DC,"0,43€/kWh DC - 0,25/kWh AC 22kW",0.43,ok
2025-06,Albacete,,50.0,DC,"0,43€/kWh DC - 0,25/kWh AC 22kW",0.43,ok
2025-06,Albacete,,22.0,AC,"0,43€/kWh DC - 0,25/kWh AC 22kW",0.43,ok
2025-06,Albacete,,22.0,AC,"0,30€/kWh",0.3,ok
2025-06,Albacete,,2.3,AC,"0,30€/kWh",0.3,ok
2025-06,Albacete,,22.0,AC,"0,30€/kWh",0.3,ok
2025-06,Albacete,,60.0,DC,"0,30€/kWh",0.3,ok
2025-06,Albacete,,22.0,AC,"0,19€/kWh ",0.19,ok
2025-06,Albacete,,50.0,DC,"0,39€/kWh",0.39,ok
2025-06,Albacete,,50.0,DC,"0,39€/kWh",0.39,ok
2025-06,Albacete,,100.0,DC,"0,54€/kWh 80-200kW  - 0,39€/kWh 22kW AC",0.54,ok
2025-06,Albacete,,22.0,AC,"0,54€/kWh 80-200kW  - 0,39€/kWh 22kW AC",0.54,ok
2025-06,Albacete,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-06,Albacete,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-06,Albacete,,22.0,AC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-06,Albacete,,250.0,DC,,,no_kwh
2025-06,Albacete,,11.0,AC,,,empty
2025-06,Albacete,,3.6,AC,free,,free
2025-06,Albacete,,7.4,AC,"0,25€/kWh",0.25,ok
2025-06,Albacete,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Albacete,,360.0,DC,"0,69€/kWh >200kW - 0,54€/kWh 80-200kW",0.69,ok
2025-06,Albacete,,180.0,DC,"0,69€/kWh >200kW - 0,54€/kWh 80-200kW",0.69,ok
2025-06,Albacete,,80.0,DC,"0,69€/kWh >200kW - 0,54€/kWh 80-200kW",0.69,ok
2025-06,Albacete,,100.0,DC,"0,54€/kWh DC - 0,36€/kWh AC",0.54,ok
2025-06,Albacete,,22.0,AC,"0,54€/kWh DC - 0,36€/kWh AC",0.54,ok
2025-06,Albacete,,100.0,DC,"0,54€/kWh DC - 0,36€/kWh AC",0.54,ok
2025-06,Albacete,,22.0,AC,"0,36€/kWh ",0.36,ok
2025-06,Albacete,,22.0,AC,"0,39€/kWh",0.39,ok
2025-06,Albacete,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-06,Albacete,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-06,Albacete,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Albacete,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Albacete,,43.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Albacete,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Albacete,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Albacete,,43.0,DC,0.47€/kWh ,0.47,ok
2025-06,Albacete,,50.0,DC,"0,45 €/kWh",0.45,ok
2025-06,Albacete,,50.0,DC,"0,45 €/kWh",0.45,ok
2025-06,Albacete,,22.0,AC,"0,45 €/kWh",0.45,ok
2025-06,Albacete,,60.0,DC,"0,55€/kWh",0.55,ok
2025-06,Albacete,,3.7,AC,,,empty
2025-06,Albacete,,7.4,AC,,,empty
2025-06,Albacete,,22.0,AC,,,no_kwh
2025-06,Albacete,,60.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-06,Albacete,,22.0,AC,,,no_kwh
2025-06,Albacete,,30.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-06,Albacete,,7.4,AC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-06,Albacete,,60.0,DC," 0,50€/kWh DC ",0.5,ok
2025-06,Albacete,,3.7,AC,,,no_kwh
2025-06,Albacete,,120.0,DC,"0,54€/kWh ",0.54,ok
2025-06,Albacete,,60.0,DC,"0,45€/kWh ",0.45,ok
2025-06,Albacete,,3.7,AC,,,no_kwh
2025-06,Albacete,,60.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-06,Albacete,,60.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-06,Albacete,,22.0,AC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-06,Albacete,,60.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-06,Albacete,,60.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-06,Albacete,,22.0,AC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-06,Albacete,,60.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-06,Albacete,,60.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-06,Albacete,,22.0,AC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-06,Albacete,,60.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-06,Albacete,,60.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-06,Albacete,,22.0,AC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-06,Albacete,,60.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-06,Albacete,,60.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-06,Albacete,,22.0,AC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-06,Albacete,,60.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-06,Albacete,,60.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-06,Albacete,,22.0,AC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-06,Albacete,,11.0,AC,,,empty
2025-06,Albacete,,11.0,AC,,,empty
2025-06,Albacete,,11.0,AC,,,empty
2025-06,Albacete,,22.0,AC,,,no_kwh
2025-06,Albacete,,22.0,AC,free,,free
2025-06,Albacete,,22.0,AC,"0,39€/kWh",0.39,ok
2025-06,Albacete,,3.7,AC,,,no_kwh
2025-06,Albacete,,2.3,AC,,,no_kwh
2025-06,Albacete,,22.0,AC,,,no_kwh
2025-06,Albacete,,150.0,DC,"0,60€/kWh DC - 0,43€/kWh AC",0.6,ok
2025-06,Albacete,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Albacete,,11.0,AC,,,no_kwh
2025-06,Albacete,,3.7,AC,,,no_kwh
2025-06,Albacete,,22.0,AC,free,,free
2025-06,Albacete,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Albacete,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Albacete,,43.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Albacete,,3.7,AC,,,empty
2025-06,Albacete,,50.0,DC,"0,39€/kWh",0.39,ok
2025-06,Albacete,,50.0,DC,"0,39€/kWh",0.39,ok
2025-06,Albacete,,7.4,AC,free,,free
2025-06,Albacete,,2.3,AC,free,,free
2025-06,Albacete,,22.0,AC,,,no_kwh
2025-06,Albacete,,50.0,DC,"0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-06,Albacete,,50.0,DC,"0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-06,Albacete,,,,"0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-06,Albacete,,22.0,AC,"0,45€/kWh",0.45,ok
2025-06,Albacete,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-06,Albacete,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-06,Albacete,,43.0,DC,"0,45€/kWh ",0.45,ok
2025-06,Albacete,,50.0,DC,"0,47€/kWh",0.47,ok
2025-06,Albacete,,50.0,DC,"0,47€/kWh",0.47,ok
2025-06,Albacete,,43.0,DC,"0,47€/kWh",0.47,ok
2025-06,Albacete,,22.0,AC,,,no_kwh
2025-06,Albacete,,4.0,AC,free,,free
2025-06,Albacete,,3.7,AC,free,,free
2025-06,Albacete,,22.0,AC,,,no_kwh
2025-06,Albacete,,43.0,DC,"0,45€/kWh DC - 0,35€/kWh AC",0.45,ok
2025-06,Albacete,,50.0,DC,"0,45€/kWh DC - 0,35€/kWh AC",0.45,ok
2025-06,Albacete,,50.0,DC,"0,45€/kWh DC - 0,35€/kWh AC",0.45,ok
2025-06,Albacete,,7.4,AC,,,no_kwh
2025-06,Albacete,,7.4,AC,,,no_kwh
2025-06,Albacete,,22.0,AC,free,,free
2025-06,Albacete,,22.0,AC,"0,39€/kWh",0.39,ok
2025-06,Albacete,,5.0,AC,free,,free
2025-06,Albacete,,2.3,AC,free,,free
2025-06,Albacete,,22.0,AC,free,,free
2025-06,Albacete,,22.0,AC,,,empty
2025-06,Albacete,,22.0,AC,free,,free
2025-06,Albacete,,22.0,AC,"0,39€/kWh",0.39,ok
2025-06,Albacete,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Albacete,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Albacete,,43.0,DC,0.47€/kWh ,0.47,ok
2025-06,Albacete,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Albacete,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Albacete,,43.0,DC,0.47€/kWh ,0.47,ok
2025-06,Albacete,,22.0,AC,"0,25€/kWh ",0.25,ok
2025-06,Albacete,,7.4,AC,,,no_kwh
2025-06,Albacete,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-06,Albacete,,43.0,DC,"0,47€/kWh ",0.47,ok
2025-06,Albacete,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-06,Albacete,,22.0,AC,free,,free
2025-06,Albacete,,7.4,AC,"0,29€/kWh",0.29,ok
2025-06,Albacete,,30.0,DC,"0,29€/kWh",0.29,ok
2025-06,Albacete,,22.0,AC,free,,free
2025-06,Albacete,,10.0,AC,,,no_kwh
2025-06,Albacete,,22.0,AC,free,,free
2025-06,Albacete,,22.0,AC,"0,35€/kWh",0.35,ok
2025-06,Albacete,,22.0,AC,,,no_kwh
2025-06,Albacete,,50.0,DC,"0,47€/kWh",0.47,ok
2025-06,Albacete,,43.0,DC,"0,47€/kWh",0.47,ok
2025-06,Albacete,,50.0,DC,"0,47€/kWh",0.47,ok
2025-06,Albacete,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-06,Albacete,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-06,Albacete,,22.0,AC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-06,Albacete,,60.0,DC,"0,45€/kWh DC ",0.45,ok
2025-06,Albacete,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Albacete,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Albacete,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Albacete,,50.0,DC,"0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-06,Albacete,,50.0,DC,"0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-06,Albacete,,22.0,AC,free,,free
2025-06,Albacete,,3.7,AC,,,no_kwh
2025-06,Albacete,,22.0,AC,free,,free
2025-06,Albacete,,3.7,AC,,,no_kwh
2025-06,Albacete,,60.0,DC,"0,30€/kWh",0.3,ok
2025-06,Albacete,,43.0,DC,"0,47€/kWh",0.47,ok
2025-06,Albacete,,50.0,DC,"0,47€/kWh",0.47,ok
2025-06,Albacete,,50.0,DC,"0,47€/kWh",0.47,ok
2025-06,Albacete,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Albacete,,250.0,DC,,,empty
2025-06,Albacete,,50.0,DC," 0,45€/kWh DC50kW/AC43kW ",0.45,ok
2025-06,Albacete,,50.0,DC," 0,45€/kWh DC50kW/AC43kW ",0.45,ok
2025-06,Albacete,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Albacete,,43.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Albacete,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Albacete,,3.7,AC,,,no_kwh
2025-06,Albacete,,50.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
