month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-08,Almería,,50.0,DC,0.47€/kWh ,0.47,ok
2025-08,Almería,,50.0,DC,0.47€/kWh ,0.47,ok
2025-08,Almería,,43.0,DC,0.47€/kWh ,0.47,ok
2025-08,Almería,,50.0,DC,0.30€/kWh ,0.3,ok
2025-08,Almería,,50.0,DC,0.30€/kWh ,0.3,ok
2025-08,Almería,,43.0,DC,0.30€/kWh ,0.3,ok
2025-08,Almería,,22.0,AC,"0,45€/kWh",0.45,ok
2025-08,Almería,,50.0,DC,0.47€/kWh ,0.47,ok
2025-08,Almería,,50.0,DC,0.47€/kWh ,0.47,ok
2025-08,Almería,,43.0,DC,0.47€/kWh ,0.47,ok
2025-08,Almería,,50.0,DC,0.47€/kWh ,0.47,ok
2025-08,Almería,,50.0,DC,0.47€/kWh ,0.47,ok
2025-08,Almería,,43.0,DC,0.47€/kWh ,0.47,ok
2025-08,Almería,,50.0,DC,0.47€/kWh ,0.47,ok
2025-08,Almería,,50.0,DC,0.47€/kWh ,0.47,ok
2025-08,Almería,,43.0,DC,0.47€/kWh ,0.47,ok
2025-08,Almería,,3.7,AC,,,empty
2025-08,Almería,,22.0,AC,"0,25€/kWh",0.25,ok
2025-08,Almería,,350.0,DC,"0,65€/kWh (or subscription rates) ",0.65,ok
2025-08,Almería,,50.0,DC," 0,47€/kWh ",0.47,ok
2025-08,Almería,,43.0,DC," 0,47€/kWh ",0.47,ok
2025-08,Almería,,50.0,DC," 0,47€/kWh ",0.47,ok
2025-08,Almería,,3.7,AC,,,empty
2025-08,Almería,,22.0,AC,"0,25€/kWh",0.25,ok
2025-08,Almería,,7.4,AC,free,,free
2025-08,Almería,,7.4,AC,free,,free
2025-08,Almería,,3.7,AC,free,,free
2025-08,Almería,,7.4,AC,free,,free
2025-08,Almería,,22.0,AC,"0,30€/kWh",0.3,ok
2025-08,Almería,,22.0,AC,,,no_kwh
2025-08,Almería,,2.3,AC,,,no_kwh
2025-08,Almería,,3.7,AC,,,no_kwh
2025-08,Almería,,7.4,AC,free,,free
2025-08,Almería,,22.0,AC,"0,35€/kwh + parking fee",0.35,ok
2025-08,Almería,,11.0,AC,,,empty
2025-08,Almería,,11.0,AC,,,empty
2025-08,Almería,,50.0,DC,,,empty
2025-08,Almería,,50.0,DC," 0,45€/kWh ",0.45,ok
2025-08,Almería,,22.0,AC," 0,45€/kWh ",0.45,ok
2025-08,Almería,,50.0,DC," 0,45€/kWh ",0.45,ok
2025-08,Almería,,60.0,DC,"0,40€/kWh",0.4,ok
2025-08,Almería,,3.7,AC,,,empty
2025-08,Almería,,22.0,AC,,,no_kwh
2025-08,Almería,,60.0,DC,"0,55€/kWh",0.55,ok
2025-08,Almería,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-08,Almería,,43.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-08,Almería,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-08,Almería,,22.0,AC,"0,25€/kWh",0.25,ok
2025-08,Almería,,22.0,AC,0.40€/kWh,0.4,ok
2025-08,Almería,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-08,Almería,,43.0,DC,"0,45€/kWh ",0.45,ok
2025-08,Almería,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-08,Almería,,60.0,DC,"0,30€/kWh",0.3,ok
2025-08,Almería,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-08,Almería,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
