month,ccaa,operator,power_kW,band,usagecost_original,parsed,reason
2025-09,Aragón,,360.0,DC,"0,55€/kWh",0.55,ok
2025-09,Aragón,,360.0,DC,"0,55€/kWh",0.55,ok
2025-09,Aragón,,43.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Aragón,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Aragón,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Aragón,,50.0,DC,"0,45€/kWh 50kW - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Aragón,,50.0,DC,"0,45€/kWh 50kW - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Aragón,,22.0,AC,"0,45€/kWh 50kW - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Aragón,,22.0,AC,,,empty
2025-09,Aragón,,11.0,AC,,,empty
2025-09,Aragón,,4.0,AC,€0/kWh,,no_kwh
2025-09,Aragón,,2.3,AC,€0/kWh,,no_kwh
2025-09,Aragón,,3.7,AC,,,no_kwh
2025-09,Aragón,,7.4,AC,"0,39€/kWh ",0.39,ok
2025-09,Aragón,,7.4,AC,"0,12€/kWh",0.12,ok
2025-09,Aragón,,7.4,AC,,,empty
2025-09,Aragón,,50.0,DC,"0,39€/kWh 50 kW - 0,32€/kWh AC",0.39,ok
2025-09,Aragón,,50.0,DC,"0,39€/kWh 50 kW - 0,32€/kWh AC",0.39,ok
2025-09,Aragón,,43.0,DC,"0,39€/kWh 50 kW - 0,32€/kWh AC",0.39,ok
2025-09,Aragón,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Aragón,,50.0,DC,"0,48€/kWh DC 50 kW -  0,38€/kWh AC",0.48,ok
2025-09,Aragón,,50.0,DC,"0,48€/kWh DC 50 kW -  0,38€/kWh AC",0.48,ok
2025-09,Aragón,,22.0,AC,"0,48€/kWh DC 50 kW -  0,38€/kWh AC",0.48,ok
2025-09,Aragón,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Aragón,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Aragón,,43.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Aragón,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Aragón,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Aragón,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Aragón,,120.0,DC,"0,54€/kWh DC - 0,39€/kWh AC",0.54,ok
2025-09,Aragón,,22.0,AC,"0,54€/kWh DC - 0,39€/kWh AC",0.54,ok
2025-09,Aragón,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Aragón,,43.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Aragón,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Aragón,,3.7,AC,,,empty
2025-09,Aragón,,22.0,AC,,,no_kwh
2025-09,Aragón,,2.3,AC,,,no_kwh
2025-09,Aragón,,7.4,AC,"0,35€/kWh",0.35,ok
2025-09,Aragón,,3.7,AC,,,empty
2025-09,Aragón,,22.0,AC,,,empty
2025-09,Aragón,,22.0,AC,,,empty
2025-09,Aragón,,11.0,AC,,,empty
2025-09,Aragón,,3.7,AC,,,empty
2025-09,Aragón,,22.0,AC,"0,30€/kWh",0.3,ok
2025-09,Aragón,,50.0,DC,"0,49€/kh",0.49,ok
2025-09,Aragón,,43.0,DC,"0,49€/kh",0.49,ok
2025-09,Aragón,,50.0,DC,"0,49€/kh",0.49,ok
2025-09,Aragón,,7.4,AC,,,no_kwh
2025-09,Aragón,,50.0,DC,"0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Aragón,,50.0,DC,"0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Aragón,,22.0,AC,"0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Aragón,,22.0,AC,"0,30€/kWh",0.3,ok
2025-09,Aragón,,100.0,DC,"0,54€/kWh ",0.54,ok
2025-09,Aragón,,7.4,AC,,,empty
2025-09,Aragón,,2.3,AC,,,empty
2025-09,Aragón,,100.0,DC," 0,54€/kWh ",0.54,ok
2025-09,Aragón,,7.4,AC,free,,free
2025-09,Aragón,,22.0,AC,,,no_kwh
2025-09,Aragón,,3.7,AC,,,no_kwh
2025-09,Aragón,,22.0,AC,"0,50€/kWh",0.5,ok
2025-09,Aragón,,7.4,AC,"0,35€/kWh",0.35,ok
2025-09,Aragón,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Aragón,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Aragón,,43.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Aragón,,11.0,AC,,,empty
2025-09,Aragón,,3.7,AC,,,empty
2025-09,Aragón,,11.0,AC,,,empty
2025-09,Aragón,,3.7,AC,,,empty
2025-09,Aragón,,50.0,DC," 0,45€/kWh ",0.45,ok
2025-09,Aragón,,22.0,AC," 0,45€/kWh ",0.45,ok
2025-09,Aragón,,50.0,DC," 0,45€/kWh ",0.45,ok
2025-09,Aragón,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Aragón,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Aragón,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Aragón,,60.0,DC,"0,40€/kWh DC - 0,32€/kWh AC",0.4,ok
2025-09,Aragón,,150.0,DC,"0,54€/kWh",0.54,ok
2025-09,Aragón,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Aragón,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Aragón,,43.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Aragón,,100.0,DC,"DC: 0,54€/kWh",0.54,ok
2025-09,Aragón,,22.0,AC,,,empty
2025-09,Aragón,,22.0,AC,Free,,free
2025-09,Aragón,,22.0,AC,free,,free
2025-09,Aragón,,22.0,AC,,,no_kwh
2025-09,Aragón,,22.0,AC,free,,free
2025-09,Aragón,,22.0,AC,,,empty
2025-09,Aragón,,22.0,AC,,,empty
2025-09,Aragón,,150.0,DC,"0,60€/kWh",0.6,ok
2025-09,Aragón,,150.0,DC,"0,60€/kWh",0.6,ok
2025-09,Aragón,,3.7,AC,,,empty
2025-09,Aragón,,22.0,AC,,,empty
2025-09,Aragón,,11.0,AC,,,empty
2025-09,Aragón,,3.7,AC,,,empty
2025-09,Aragón,,22.0,AC,"0,50€/kWh",0.5,ok
2025-09,Aragón,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Aragón,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Aragón,,22.0,AC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Aragón,,150.0,DC,"0,60€/kWh DC ",0.6,ok
2025-09,Aragón,,7.4,AC,"0,40€/kWh",0.4,ok
2025-09,Aragón,,180.0,DC,"0,54€/kWh DC ",0.54,ok
2025-09,Aragón,,180.0,DC,"0,54€/kWh DC ",0.54,ok
2025-09,Aragón,,7.4,AC,"0,39€/kWh",0.39,ok
2025-09,Aragón,,50.0,DC,0.49€/kWh ,0.49,ok
2025-09,Aragón,,50.0,DC,0.49€/kWh ,0.49,ok
2025-09,Aragón,,43.0,DC,0.49€/kWh ,0.49,ok
2025-09,Aragón,,50.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Aragón,,43.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Aragón,,50.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Aragón,,50.0,DC,0.5 €/kWh,0.5,ok
2025-09,Aragón,,50.0,DC,0.5 €/kWh,0.5,ok
2025-09,Aragón,,22.0,AC,0.5 €/kWh,0.5,ok
2025-09,Aragón,,350.0,DC,"0,65€/kWh (or subscription rates) ",0.65,ok
2025-09,Aragón,,150.0,DC,"0,60€/kWh",0.6,ok
2025-09,Aragón,,150.0,DC,"0,54 €/kWh",0.54,ok
2025-09,Aragón,,80.0,DC,"0,54 €/kWh",0.54,ok
2025-09,Aragón,,100.0,DC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-09,Aragón,,50.0,DC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-09,Aragón,,22.0,AC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-09,Aragón,,22.0,AC,"0,39€/kWh",0.39,ok
2025-09,Aragón,,50.0,DC,"0,49€/kWh",0.49,ok
2025-09,Aragón,,43.0,DC,"0,49€/kWh",0.49,ok
2025-09,Aragón,,50.0,DC,"0,49€/kWh",0.49,ok
2025-09,Aragón,,22.0,AC,,,empty
2025-09,Aragón,,11.0,AC,,,empty
2025-09,Aragón,,350.0,DC,,,empty
2025-09,Aragón,,22.0,AC,,,empty
2025-09,Aragón,,50.0,DC,"0.49€/kWh DC - 0,39€/kWh AC",0.49,ok
2025-09,Aragón,,50.0,DC,"0.49€/kWh DC - 0,39€/kWh AC",0.49,ok
2025-09,Aragón,,43.0,DC,"0.49€/kWh DC - 0,39€/kWh AC",0.49,ok
2025-09,Aragón,,22.0,AC,"0.49€/kWh DC - 0,39€/kWh AC",0.49,ok
2025-09,Aragón,,22.0,AC,"0,35€/kWh",0.35,ok
2025-09,Aragón,,4.0,AC,€0/kWh,,no_kwh
2025-09,Aragón,,2.3,AC,€0/kWh,,no_kwh
2025-09,Aragón,,22.0,AC,€0/kWh,,no_kwh
2025-09,Aragón,,2.3,AC,€0/kWh,,no_kwh
2025-09,Aragón,,50.0,DC,"0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-09,Aragón,,50.0,DC,"0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-09,Aragón,,22.0,AC,"0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-09,Aragón,,7.4,AC,,,empty
2025-09,Aragón,,2.3,AC,,,empty
2025-09,Aragón,,22.0,AC," 0,39€/kWh ",0.39,ok
2025-09,Aragón,,43.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Aragón,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Aragón,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Aragón,,11.0,AC,,,empty
2025-09,Aragón,,50.0,DC,"0,49€/kWh",0.49,ok
2025-09,Aragón,,43.0,DC,"0,49€/kWh",0.49,ok
2025-09,Aragón,,50.0,DC,"0,49€/kWh",0.49,ok
2025-09,Aragón,,22.0,AC,"0,39€/kWh",0.39,ok
2025-09,Aragón,,50.0,DC," 0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-09,Aragón,,50.0,DC," 0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-09,Aragón,,22.0,AC," 0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-09,Aragón,,50.0,DC,"0,45€/kWh",0.45,ok
2025-09,Aragón,,50.0,DC,"0,45€/kWh",0.45,ok
2025-09,Aragón,,43.0,DC,"0,45€/kWh",0.45,ok
2025-09,Aragón,,7.4,AC,"0,35€/kWh",0.35,ok
2025-09,Aragón,,22.0,AC,"0,35€/kWh",0.35,ok
