month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-09,Asturias,,3.7,AC,,,empty
2025-09,Asturias,,22.0,AC,,,empty
2025-09,Asturias,,22.0,AC,,,empty
2025-09,Asturias,,11.0,AC,,,empty
2025-09,Asturias,,3.7,AC,,,empty
2025-09,Asturias,,7.36,AC,"0,42€/kWh (0,05€/min parked without charging)",0.42,ok
2025-09,Asturias,,7.4,AC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Asturias,,7.36,AC,"0,42€/kWh (0,05€/min parked without charging)",0.42,ok
2025-09,Asturias,,22.0,AC,"0,36€/kWh",0.36,ok
2025-09,Asturias,,22.0,AC,"0,36€/kWh",0.36,ok
2025-09,Asturias,,100.0,DC,"100kW: 0,56€/kWh 100kW, 50kW:  0,42€/kWh, AC: 0,38€/kWh",0.56,ok
2025-09,Asturias,,50.0,DC,"100kW: 0,56€/kWh 100kW, 50kW:  0,42€/kWh, AC: 0,38€/kWh",0.56,ok
2025-09,Asturias,,22.0,AC,"100kW: 0,56€/kWh 100kW, 50kW:  0,42€/kWh, AC: 0,38€/kWh",0.56,ok
2025-09,Asturias,,22.0,AC,,,no_kwh
2025-09,Asturias,,250.0,DC,,,empty
2025-09,Asturias,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Asturias,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Asturias,,43.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Asturias,,110.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Asturias,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Asturias,,22.0,AC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Asturias,,22.0,AC,"0,40€/kWh DC - 0,35€/kWh AC",0.4,ok
2025-09,Asturias,,50.0,DC,"0,40€/kWh DC - 0,35€/kWh AC",0.4,ok
2025-09,Asturias,,50.0,DC,"0,40€/kWh DC - 0,35€/kWh AC",0.4,ok
2025-09,Asturias,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Asturias,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Asturias,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Asturias,,100.0,DC,"0,54€/kWh DC - 0,36€/kWh AC",0.54,ok
2025-09,Asturias,,22.0,AC,"0,54€/kWh DC - 0,36€/kWh AC",0.54,ok
2025-09,Asturias,,3.7,AC,,,empty
2025-09,Asturias,,22.0,AC,"0,58€/kWh",0.58,ok
2025-09,Asturias,,11.0,AC,,,no_kwh
2025-09,Asturias,,7.4,AC,,,empty
2025-09,Asturias,,22.0,AC,,,no_kwh
