month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-09,Badajoz,,22.0,AC," 0,25€/kWh AC",0.25,ok
2025-09,Badajoz,,22.0,AC,"0,28€/kWh",0.28,ok
2025-09,Badajoz,,50.0,DC,"0,30€/kWh DC - 0,25€/kWh AC",0.3,ok
2025-09,Badajoz,,50.0,DC,"0,30€/kWh DC - 0,25€/kWh AC",0.3,ok
2025-09,Badajoz,,22.0,AC,"0,30€/kWh DC - 0,25€/kWh AC",0.3,ok
2025-09,Badajoz,,22.0,AC,"0,25€/kWh AC",0.25,ok
2025-09,Badajoz,,22.0,AC,"0,28€/kWh",0.28,ok
2025-09,Badajoz,,22.0,AC,"0,39€/kWh",0.39,ok
2025-09,Badajoz,,22.0,AC,"0,25€/kWh AC",0.25,ok
2025-09,Badajoz,,150.0,DC,"0,50€/kWh >60kW - 0,39€/kWh 50kW - 0,32€/kWh AC",0.5,ok
2025-09,Badajoz,,50.0,DC,"0,50€/kWh >60kW - 0,39€/kWh 50kW - 0,32€/kWh AC",0.5,ok
2025-09,Badajoz,,22.0,AC,"0,50€/kWh >60kW - 0,39€/kWh 50kW - 0,32€/kWh AC",0.5,ok
2025-09,Badajoz,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Badajoz,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Badajoz,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Badajoz,,50.0,DC,"0,30€/kWh DC - 0,25€/kWh AC",0.3,ok
2025-09,Badajoz,,20.0,AC,"0,30€/kWh DC - 0,25€/kWh AC",0.3,ok
2025-09,Badajoz,,22.0,AC,"0,30€/kWh DC - 0,25€/kWh AC",0.3,ok
2025-09,Badajoz,,22.0,AC,"0,39€/kWh AC ",0.39,ok
2025-09,Badajoz,,22.0,AC,"0,28€/kWh",0.28,ok
2025-09,Badajoz,,22.0,AC,,,no_kwh
2025-09,Badajoz,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Badajoz,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Badajoz,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Badajoz,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Badajoz,,11.0,AC,,,empty
2025-09,Badajoz,,22.0,AC,free,,free
2025-09,Badajoz,,22.0,AC,,,no_kwh
2025-09,Badajoz,,22.0,AC,,,no_kwh
2025-09,Badajoz,,7.4,AC,"0,39€/kWh ",0.39,ok
2025-09,Badajoz,,22.0,AC,,,no_kwh
2025-09,Badajoz,,22.0,AC,free,,free
2025-09,Badajoz,,60.0,DC,"0,50€/kWh DC - 0,39€/kWh AC",0.5,ok
2025-09,Badajoz,,22.0,AC,"0,50€/kWh DC - 0,39€/kWh AC",0.5,ok
2025-09,Badajoz,,22.0,AC,,,no_kwh
2025-09,Badajoz,,22.0,AC," 0,25€/kWh AC",0.25,ok
2025-09,Badajoz,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Badajoz,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Badajoz,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Badajoz,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Badajoz,,50.0,DC," 0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Badajoz,,50.0,DC," 0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Badajoz,,22.0,AC,"0,25€/kWh AC",0.25,ok
2025-09,Badajoz,,22.0,AC,,,empty
2025-09,Badajoz,,3.7,AC,,,empty
2025-09,Badajoz,,50.0,DC,"0,30€/kWh DC - 0,25€/kWh AC",0.3,ok
2025-09,Badajoz,,50.0,DC,"0,30€/kWh DC - 0,25€/kWh AC",0.3,ok
2025-09,Badajoz,,22.0,AC,"0,30€/kWh DC - 0,25€/kWh AC",0.3,ok
2025-09,Badajoz,,120.0,DC,"0,54€/kWh 80-200kW - 0,45€/kWh 50kW - 0,39€/kWh 22kW AC",0.54,ok
2025-09,Badajoz,,80.0,DC,"0,54€/kWh 80-200kW - 0,45€/kWh 50kW - 0,39€/kWh 22kW AC",0.54,ok
2025-09,Badajoz,,120.0,DC,"0,54€/kWh 80-200kW - 0,45€/kWh 50kW - 0,39€/kWh 22kW AC",0.54,ok
2025-09,Badajoz,,22.0,AC,"0,54€/kWh 80-200kW - 0,45€/kWh 50kW - 0,39€/kWh 22kW AC",0.54,ok
2025-09,Badajoz,,3.7,AC,,,no_kwh
2025-09,Badajoz,,3.7,AC,,,empty
2025-09,Badajoz,,7.4,AC,,,no_kwh
2025-09,Badajoz,,50.0,DC,"0,30€/kWh DC - 0,25€/kWh AC",0.3,ok
2025-09,Badajoz,,50.0,DC,"0,30€/kWh DC - 0,25€/kWh AC",0.3,ok
2025-09,Badajoz,,22.0,AC,"0,30€/kWh DC - 0,25€/kWh AC",0.3,ok
2025-09,Badajoz,,300.0,DC,"0,55€/kWh DC ",0.55,ok
2025-09,Badajoz,,300.0,DC,"0,55€/kWh DC ",0.55,ok
2025-09,Badajoz,,300.0,DC,"0,55€/kWh DC ",0.55,ok
2025-09,Badajoz,,300.0,DC,"0,55€/kWh DC ",0.55,ok
2025-09,Badajoz,,300.0,DC,"0,55€/kWh DC ",0.55,ok
2025-09,Badajoz,,300.0,DC,"0,55€/kWh DC ",0.55,ok
2025-09,Badajoz,,22.0,AC,"0,15€/kWh",0.15,ok
2025-09,Badajoz,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Badajoz,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Badajoz,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Badajoz,,22.0,AC,"0,25€/kWh AC",0.25,ok
2025-09,Badajoz,,180.0,DC,"0,60€/kWh",0.6,ok
2025-09,Badajoz,,50.0,DC,"0,50€/kWh >60kW - 0,39€/kWh 50kW - 0,32€/kWh AC",0.5,ok
2025-09,Badajoz,,50.0,DC,"0,50€/kWh >60kW - 0,39€/kWh 50kW - 0,32€/kWh AC",0.5,ok
2025-09,Badajoz,,43.0,DC,"0,50€/kWh >60kW - 0,39€/kWh 50kW - 0,32€/kWh AC",0.5,ok
2025-09,Badajoz,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Badajoz,,22.0,AC,free,,free
2025-09,Badajoz,,50.0,DC,"0,30€/kWh DC - 0,25€/kWh AC",0.3,ok
2025-09,Badajoz,,50.0,DC,"0,30€/kWh DC - 0,25€/kWh AC",0.3,ok
2025-09,Badajoz,,22.0,AC,"0,30€/kWh DC - 0,25€/kWh AC",0.3,ok
2025-09,Badajoz,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Badajoz,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Badajoz,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Badajoz,,400.0,DC,"0,55€/kWh",0.55,ok
2025-09,Badajoz,,100.0,DC,"0,56€/kWh 100kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-09,Badajoz,,50.0,DC,"0,56€/kWh 100kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
