month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-09,Barcelona,,36.0,DC," 0,49€/kWh DC - 0,39€/kWh AC ",0.49,ok
2025-09,Barcelona,,22.0,AC," 0,49€/kWh DC - 0,39€/kWh AC ",0.49,ok
2025-09,Barcelona,,36.0,DC," 0,49€/kWh DC - 0,39€/kWh AC ",0.49,ok
2025-09,Barcelona,,150.0,DC,"0,55€/kWh DC - 0,35€/kWh AC",0.55,ok
2025-09,Barcelona,,22.0,AC,"0,55€/kWh DC - 0,35€/kWh AC",0.55,ok
2025-09,Barcelona,,150.0,DC," 0,45€/kWh ",0.45,ok
2025-09,Barcelona,,22.0,AC," 0,45€/kWh ",0.45,ok
2025-09,Barcelona,,22.0,AC,free,,free
2025-09,Barcelona,,3.7,AC,,,no_kwh
2025-09,Barcelona,,22.0,AC,"0,38€/kWh",0.38,ok
2025-09,Barcelona,,100.0,DC,"0,56€/kWh 150kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-09,Barcelona,,50.0,DC,"0,56€/kWh 150kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-09,Barcelona,,22.0,AC,"0,56€/kWh 150kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-09,Barcelona,,3.7,AC,,,empty
2025-09,Barcelona,,,,Free,,free
2025-09,Barcelona,,,,Free,,free
2025-09,Barcelona,,3.7,AC,,,empty
2025-09,Barcelona,,7.4,AC,,,no_kwh
2025-09,Barcelona,,2.3,AC,,,no_kwh
2025-09,Barcelona,,60.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Barcelona,,7.4,AC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Barcelona,,22.0,AC,free,,free
2025-09,Barcelona,,11.0,AC,free,,free
2025-09,Barcelona,,11.0,AC,"0,25€/kWh",0.25,ok
2025-09,Barcelona,,100.0,DC,0.56€/kWh DC - 0.47€/kWh AC,0.56,ok
2025-09,Barcelona,,22.0,AC,0,,no_kwh
2025-09,Barcelona,,22.0,AC,0,,no_kwh
2025-09,Barcelona,,22.2,DC,,,empty
2025-09,Barcelona,,22.0,AC,free,,free
2025-09,Barcelona,,22.0,AC,"0,39€/kWh",0.39,ok
2025-09,Barcelona,,60.0,DC,"0,39€/kWh",0.39,ok
2025-09,Barcelona,,11.0,AC,,,no_kwh
2025-09,Barcelona,,22.0,AC,Free,,free
2025-09,Barcelona,,11.0,AC,Free,,free
2025-09,Barcelona,,3.7,AC,,,empty
2025-09,Barcelona,,7.4,AC,"0,39€/kWh ",0.39,ok
2025-09,Barcelona,,3.7,AC,"0,39€/kWh ",0.39,ok
2025-09,Barcelona,,90.0,DC,"0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-09,Barcelona,,50.0,DC,"0,47€/kWh",0.47,ok
2025-09,Barcelona,,43.0,DC,"0,47€/kWh",0.47,ok
2025-09,Barcelona,,50.0,DC,"0,47€/kWh",0.47,ok
2025-09,Barcelona,,22.0,AC,Free,,free
2025-09,Barcelona,,2.3,AC,Free,,free
2025-09,Barcelona,,7.4,AC,,,no_kwh
2025-09,Barcelona,,11.0,AC,Free,,free
2025-09,Barcelona,,2.3,AC,Free,,free
2025-09,Barcelona,,22.0,AC,"0,55€/kWh DC - 0,40€/kWh AC",0.55,ok
2025-09,Barcelona,,90.0,DC,"0,55€/kWh DC - 0,40€/kWh AC",0.55,ok
2025-09,Barcelona,,22.0,AC,,,empty
2025-09,Barcelona,,11.0,AC,,,empty
2025-09,Barcelona,,22.0,AC,,,no_kwh
2025-09,Barcelona,,7.4,AC,,,no_kwh
2025-09,Barcelona,,50.0,DC,"0,54€/kWh DC>100kW  0,47€/kWh DC - 0,35€/kWh AC ",0.54,ok
2025-09,Barcelona,,50.0,DC,"0,54€/kWh DC>100kW  0,47€/kWh DC - 0,35€/kWh AC ",0.54,ok
2025-09,Barcelona,,43.0,DC,"0,54€/kWh DC>100kW  0,47€/kWh DC - 0,35€/kWh AC ",0.54,ok
2025-09,Barcelona,,360.0,DC,"0,54€/kWh DC>100kW  0,47€/kWh DC - 0,35€/kWh AC ",0.54,ok
2025-09,Barcelona,,180.0,DC,"0,54€/kWh DC>100kW  0,47€/kWh DC - 0,35€/kWh AC ",0.54,ok
2025-09,Barcelona,,80.0,DC,"0,54€/kWh DC>100kW  0,47€/kWh DC - 0,35€/kWh AC ",0.54,ok
2025-09,Barcelona,,400.0,DC,"0,59€/kWh",0.59,ok
2025-09,Barcelona,,80.0,DC,"0,59€/kWh",0.59,ok
2025-09,Barcelona,,22.0,AC,"0,39€/kWh",0.39,ok
2025-09,Barcelona,,50.0,DC,"0,47€/kWh",0.47,ok
2025-09,Barcelona,,43.0,DC,"0,47€/kWh",0.47,ok
2025-09,Barcelona,,50.0,DC,"0,47€/kWh",0.47,ok
2025-09,Barcelona,,3.7,AC,,,empty
2025-09,Barcelona,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Barcelona,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Barcelona,,43.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Barcelona,,50.0,DC,,,empty
2025-09,Barcelona,,50.0,DC,,,empty
2025-09,Barcelona,,44.3,DC,,,empty
2025-09,Barcelona,,7.4,AC,free,,free
2025-09,Barcelona,,50.0,DC,,,no_kwh
2025-09,Barcelona,,50.0,DC,,,no_kwh
2025-09,Barcelona,,22.0,AC,,,no_kwh
2025-09,Barcelona,,11.0,AC,,,no_kwh
2025-09,Barcelona,,7.4,AC,free,,free
2025-09,Barcelona,,22.0,AC,,,no_kwh
2025-09,Barcelona,,120.0,DC,"0,55€/kWh DC ",0.55,ok
2025-09,Barcelona,,3.7,AC,,,no_kwh
2025-09,Barcelona,,3.7,AC,,,no_kwh
2025-09,Barcelona,,50.0,DC,"0,47€/kWh DC - 0,35€/kWh AC",0.47,ok
2025-09,Barcelona,,43.0,DC,"0,47€/kWh DC - 0,35€/kWh AC",0.47,ok
2025-09,Barcelona,,50.0,DC,"0,47€/kWh DC - 0,35€/kWh AC",0.47,ok
2025-09,Barcelona,,11.0,AC,,,no_kwh
2025-09,Barcelona,,3.7,AC,,,no_kwh
2025-09,Barcelona,,22.0,AC,,,no_kwh
2025-09,Barcelona,,22.0,AC,,,no_kwh
2025-09,Barcelona,,7.4,AC,"0,40€/kWh",0.4,ok
2025-09,Barcelona,,7.0,AC,,,no_kwh
2025-09,Barcelona,,100.0,DC,"0,55€/kWh DC - 0,40€/kWh AC",0.55,ok
2025-09,Barcelona,,7.4,AC,"0,55€/kWh DC - 0,40€/kWh AC",0.55,ok
2025-09,Barcelona,,22.0,AC,,,no_kwh
2025-09,Barcelona,,3.7,AC,,,no_kwh
2025-09,Barcelona,,22.2,DC,,,empty
2025-09,Barcelona,,150.0,DC,"0,55€/kWh",0.55,ok
2025-09,Barcelona,,50.0,DC,"0,45€/kWh",0.45,ok
2025-09,Barcelona,,50.0,DC,"0,45€/kWh",0.45,ok
2025-09,Barcelona,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Barcelona,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Barcelona,,50.0,DC,,,no_kwh
2025-09,Barcelona,,50.0,DC,,,no_kwh
2025-09,Barcelona,,22.0,AC,,,no_kwh
2025-09,Barcelona,,22.0,AC,Free,,free
2025-09,Barcelona,,3.7,AC,Free,,free
2025-09,Barcelona,,22.0,AC,"0,40€/kWh",0.4,ok
2025-09,Barcelona,,22.0,AC,free,,free
2025-09,Barcelona,,22.0,AC,,,no_kwh
2025-09,Barcelona,,22.0,AC,"0,20€/kWh",0.2,ok
2025-09,Barcelona,,400.0,DC,"0,59€/kWh",0.59,ok
2025-09,Barcelona,,80.0,DC,"0,59€/kWh",0.59,ok
2025-09,Barcelona,,50.0,DC,"0,54€/kWh DC>100kW  0,47€/kWh DC - 0,35€/kWh AC ",0.54,ok
2025-09,Barcelona,,50.0,DC,"0,54€/kWh DC>100kW  0,47€/kWh DC - 0,35€/kWh AC ",0.54,ok
2025-09,Barcelona,,43.0,DC,"0,54€/kWh DC>100kW  0,47€/kWh DC - 0,35€/kWh AC ",0.54,ok
2025-09,Barcelona,,360.0,DC,"0,54€/kWh DC>100kW  0,47€/kWh DC - 0,35€/kWh AC ",0.54,ok
2025-09,Barcelona,,180.0,DC,"0,54€/kWh DC>100kW  0,47€/kWh DC - 0,35€/kWh AC ",0.54,ok
2025-09,Barcelona,,80.0,DC,"0,54€/kWh DC>100kW  0,47€/kWh DC - 0,35€/kWh AC ",0.54,ok
2025-09,Barcelona,,22.0,AC,Free,,free
2025-09,Barcelona,,,,,,empty
2025-09,Barcelona,,60.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Barcelona,,22.0,AC,"0,45€/kWh ",0.45,ok
2025-09,Barcelona,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Barcelona,,22.0,AC,,,no_kwh
2025-09,Barcelona,,7.4,AC,,,no_kwh
2025-09,Barcelona,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Barcelona,,43.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Barcelona,,50.0,DC,"0,47€/kWh ",0.47,ok
