month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-01,Burgos,,22.0,AC," 0,40€/kWh AC ",0.4,ok
2025-01,Burgos,,300.0,DC,"0,59€/kWh ",0.59,ok
2025-01,Burgos,,350.0,DC,"0,65€/kWh (or subscription rates) ",0.65,ok
2025-01,Burgos,,7.4,AC,"0,25€/kWh",0.25,ok
2025-01,Burgos,,2.3,AC,"0,25€/kWh",0.25,ok
2025-01,Burgos,,11.0,AC,"0,20€/kWh",0.2,ok
2025-01,Burgos,,50.0,DC,,,no_kwh
2025-01,Burgos,,50.0,DC,,,no_kwh
2025-01,Burgos,,22.0,AC,,,no_kwh
2025-01,Burgos,,60.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-01,Burgos,,60.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-01,Burgos,,22.0,AC,,,no_kwh
2025-01,Burgos,,22.0,AC,,,empty
2025-01,Burgos,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-01,Burgos,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-01,Burgos,,22.0,AC,"0,39€/kWh",0.39,ok
2025-01,Burgos,,50.0,DC,0.47€/kWh ,0.47,ok
2025-01,Burgos,,50.0,DC,0.47€/kWh ,0.47,ok
2025-01,Burgos,,43.0,DC,0.47€/kWh ,0.47,ok
2025-01,Burgos,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-01,Burgos,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-01,Burgos,,7.4,AC,"0,35€/kWh",0.35,ok
2025-01,Burgos,,22.0,AC,"0,21€/kWh",0.21,ok
2025-01,Burgos,,22.0,AC,"0,25€/kWh",0.25,ok
2025-01,Burgos,,22.0,AC,,,no_kwh
2025-01,Burgos,,200.0,DC,"0,55€/kWh ",0.55,ok
2025-01,Burgos,,360.0,DC,"0,55€/kWh ",0.55,ok
2025-01,Burgos,,360.0,DC,"0,55€/kWh ",0.55,ok
2025-01,Burgos,,250.0,DC,,,no_kwh
2025-01,Burgos,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-01,Burgos,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-01,Burgos,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-01,Burgos,,120.0,DC,"0,55€/kWh DC - 0,39€/kWh AC",0.55,ok
2025-01,Burgos,,22.0,AC,"0,55€/kWh DC - 0,39€/kWh AC",0.55,ok
2025-01,Burgos,,22.0,AC,"0,14€/kWh",0.14,ok
2025-01,Burgos,,180.0,DC,"0,54€/kWh DC - 0,36€/kWh AC",0.54,ok
2025-01,Burgos,,50.0,DC,"0,45€/kWh",0.45,ok
2025-01,Burgos,,50.0,DC,"0,45€/kWh",0.45,ok
2025-01,Burgos,,43.0,DC,"0,45€/kWh",0.45,ok
2025-01,Burgos,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-01,Burgos,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-01,Burgos,,43.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-01,Burgos,,11.0,AC,,,no_kwh
2025-01,Burgos,,11.0,AC,,,no_kwh
2025-01,Burgos,,50.0,DC,0.47€/kWh ,0.47,ok
2025-01,Burgos,,50.0,DC,0.47€/kWh ,0.47,ok
2025-01,Burgos,,43.0,DC,0.47€/kWh ,0.47,ok
2025-01,Burgos,,22.0,AC,,,empty
2025-01,Burgos,,22.0,AC,"0,39€/kWh AC ",0.39,ok
2025-01,Burgos,,3.7,AC,,,no_kwh
2025-01,Burgos,,2.3,AC,,,no_kwh
2025-01,Burgos,,7.4,AC,"0,35€/kWh",0.35,ok
2025-01,Burgos,,7.4,AC,"0,32€/kWh",0.32,ok
2025-01,Burgos,,7.4,AC," 0,25€/kWh",0.25,ok
2025-01,Burgos,,7.4,AC," 0,20€/kWh",0.2,ok
2025-01,Burgos,,7.4,AC," 0,20€/kWh",0.2,ok
2025-01,Burgos,,11.0,AC,,,no_kwh
2025-01,Burgos,,2.3,AC,,,no_kwh
2025-01,Burgos,,250.0,DC,,,no_kwh
2025-01,Burgos,,150.0,DC,"0,54€/kWh DC >80kW - 0,42€/kWh DC - 0,35kWh AC",0.54,ok
2025-01,Burgos,,60.0,DC,"0,59-0,49€/kWh",0.49,ok
2025-01,Burgos,,300.0,DC,"0,59-0,49€/kWh",0.49,ok
2025-01,Burgos,,50.0,DC,"0,47€/kWh",0.47,ok
2025-01,Burgos,,43.0,DC,"0,47€/kWh",0.47,ok
2025-01,Burgos,,50.0,DC,"0,47€/kWh",0.47,ok
2025-01,Burgos,,7.4,AC,,,no_kwh
2025-01,Burgos,,2.3,AC,,,no_kwh
2025-01,Burgos,,60.0,DC," 0,40€/kWh DC - 0,35€/kWh AC ",0.4,ok
2025-01,Burgos,,22.0,AC," 0,40€/kWh DC - 0,35€/kWh AC ",0.4,ok
2025-01,Burgos,,11.0,AC,10€/charge,,no_kwh
2025-01,Burgos,,3.7,AC,,,no_kwh
2025-01,Burgos,,3.7,AC,,,no_kwh
2025-01,Burgos,,22.0,AC,"0,45€/kWh",0.45,ok
2025-01,Burgos,,7.4,AC,"0,35€/kWh",0.35,ok
2025-01,Burgos,,3.7,AC,,,no_kwh
2025-01,Burgos,,7.4,AC,"0,25€/kWh",0.25,ok
2025-01,Burgos,,11.0,AC,,,no_kwh
2025-01,Burgos,,2.3,AC,,,no_kwh
2025-01,Burgos,,11.0,AC,,,no_kwh
2025-01,Burgos,,22.0,AC,,,no_kwh
2025-01,Burgos,,22.0,AC," 0,39€/kWh",0.39,ok
2025-01,Burgos,,50.0,DC,"0,45€/kWh DC - 0,39€/kWh 22kW AC",0.45,ok
2025-01,Burgos,,50.0,DC,"0,45€/kWh DC - 0,39€/kWh 22kW AC",0.45,ok
2025-01,Burgos,,22.0,AC,"0,45€/kWh DC - 0,39€/kWh 22kW AC",0.45,ok
2025-01,Burgos,,7.0,AC,"0,25€/kWh",0.25,ok
2025-01,Burgos,,50.0,DC,"0,43 €/kWh DC - 0,39 €/kWh AC",0.43,ok
2025-01,Burgos,,50.0,DC,"0,43 €/kWh DC - 0,39 €/kWh AC",0.43,ok
2025-01,Burgos,,22.0,AC,"0,43 €/kWh DC - 0,39 €/kWh AC",0.43,ok
2025-01,Burgos,,7.4,AC,,,no_kwh
2025-01,Burgos,,50.0,DC,"0,48€/kWh DC - 0,41€/kWh AC",0.48,ok
2025-01,Burgos,,50.0,DC,"0,48€/kWh DC - 0,41€/kWh AC",0.48,ok
2025-01,Burgos,,22.0,AC,"0,48€/kWh DC - 0,41€/kWh AC",0.48,ok
2025-01,Burgos,,7.4,AC,,,no_kwh
2025-01,Burgos,,7.0,AC,"0,25€/kWh",0.25,ok
2025-01,Burgos,,7.4,AC," 0,35€/kWh",0.35,ok
2025-01,Burgos,,7.4,AC,20€/charge,,no_kwh
2025-01,Burgos,,7.4,AC,"0,25€/kWh",0.25,ok
2025-01,Burgos,,3.7,AC,"0,25€/kWh",0.25,ok
2025-01,Burgos,,11.0,AC,"0,31€/kWh",0.31,ok
2025-01,Burgos,,11.0,AC,,,no_kwh
2025-01,Burgos,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-01,Burgos,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-01,Burgos,,22.0,AC,"0,45€/kWh ",0.45,ok
2025-01,Burgos,,7.4,AC,"0,39€/kWh",0.39,ok
2025-01,Burgos,,3.7,AC,,,no_kwh
2025-01,Burgos,,22.0,AC,"0,31€/kWh",0.31,ok
2025-01,Burgos,,3.7,AC,,,no_kwh
2025-01,Burgos,,150.0,DC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-01,Burgos,,50.0,DC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-01,Burgos,,50.0,DC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-01,Burgos,,43.0,DC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-01,Burgos,,22.0,AC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-01,Burgos,,22.0,AC,free for customers,,free
2025-01,Burgos,,11.0,AC,,,no_kwh
2025-01,Burgos,,22.0,AC,€0.24/kWh; Otras tarifas posibles para los coches antiguos,,no_kwh
2025-01,Burgos,,22.0,AC," 0,20€/kWh",0.2,ok
2025-01,Burgos,,22.0,AC,,,no_kwh
2025-01,Burgos,,22.0,AC," 0,15€/kWh",0.15,ok
2025-01,Burgos,,50.0,DC,"0,55€/kWh",0.55,ok
2025-01,Burgos,,22.0,AC,"0,20€/kWh",0.2,ok
2025-01,Burgos,,360.0,DC,"0,55€/kWh DC ",0.55,ok
2025-01,Burgos,,360.0,DC,"0,55€/kWh DC ",0.55,ok
2025-01,Burgos,,3.7,AC,"0,19€/kWh",0.19,ok
2025-01,Burgos,,180.0,DC,"0,54€/kWh ",0.54,ok
2025-01,Burgos,,180.0,DC,"0,54€/kWh ",0.54,ok
2025-01,Burgos,,3.7,AC,free,,free
2025-01,Burgos,,100.0,DC,"0,54€/kWh ",0.54,ok
2025-01,Burgos,,50.0,DC,"0,45€/kWh 50kW - 0,39€/kWh 22kW AC",0.45,ok
2025-01,Burgos,,50.0,DC,"0,45€/kWh 50kW - 0,39€/kWh 22kW AC",0.45,ok
2025-01,Burgos,,22.0,AC,"0,45€/kWh 50kW - 0,39€/kWh 22kW AC",0.45,ok
2025-01,Burgos,,22.0,AC,"0,45€/kWh 50kW - 0,39€/kWh 22kW AC",0.45,ok
2025-01,Burgos,,17.0,AC,,,empty
2025-01,Burgos,,11.0,AC,,,empty
2025-01,Burgos,,3.7,AC,,,empty
2025-01,Burgos,,22.0,AC,,,empty
2025-01,Burgos,,3.7,AC,,,no_kwh
2025-01,Burgos,,11.0,AC,,,no_kwh
2025-01,Burgos,,3.7,AC,,,empty
2025-01,Burgos,,50.0,DC,"0,45€/kWh",0.45,ok
2025-01,Burgos,,50.0,DC,"0,45€/kWh",0.45,ok
2025-01,Burgos,,3.7,AC,"0,5€/hour",,no_kwh
2025-01,Burgos,,2.3,AC,"0,5€/hour",,no_kwh
2025-01,Burgos,,7.4,AC,"0,26€/kWh",0.26,ok
2025-01,Burgos,,11.0,AC,free,,free
2025-01,Burgos,,22.0,AC,,,no_kwh
2025-01,Burgos,,43.0,DC,"0,47€/kWh ",0.47,ok
2025-01,Burgos,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-01,Burgos,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-01,Burgos,,3.7,AC,15€/day,,no_kwh
2025-01,Burgos,,22.0,AC,free,,free
2025-01,Burgos,,7.4,AC," 0,20€/kWh",0.2,ok
2025-01,Burgos,,7.4,AC," 0,20€/kWh",0.2,ok
2025-01,Burgos,,22.0,AC,"0,33€/kWh",0.33,ok
2025-01,Burgos,,100.0,DC,"0,55€/kWh",0.55,ok
2025-01,Burgos,,7.4,AC," 0,20€/kWh",0.2,ok
2025-01,Burgos,,7.4,AC,"0,35€/kWh",0.35,ok
2025-01,Burgos,,7.4,AC,free,,free
2025-01,Burgos,,7.4,AC,free,,free
2025-01,Burgos,,50.0,DC,"0,53€/kWh",0.53,ok
2025-01,Burgos,,50.0,DC,"0,53€/kWh",0.53,ok
2025-01,Burgos,,22.0,AC,"0,53€/kWh",0.53,ok
2025-01,Burgos,,50.0,DC,"0,53€/kWh",0.53,ok
2025-01,Burgos,,50.0,DC,"0,53€/kWh",0.53,ok
2025-01,Burgos,,22.0,AC,"0,53€/kWh",0.53,ok
2025-01,Burgos,,7.4,AC,"0,39€/kWh",0.39,ok
2025-01,Burgos,,7.4,AC,"0,39€/kWh",0.39,ok
2025-01,Burgos,,100.0,DC,"0,50€/kWh 150kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-01,Burgos,,50.0,DC,"0,50€/kWh 150kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-01,Burgos,,22.0,AC,"0,50€/kWh 150kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-01,Burgos,,11.0,AC,,,no_kwh
2025-01,Burgos,,150.0,DC,,,no_kwh
2025-01,Burgos,,180.0,DC,"0,69€/kWh DC 350, 0,54€/kWh DC 180/80, ",0.69,ok
2025-01,Burgos,,80.0,DC,"0,69€/kWh DC 350, 0,54€/kWh DC 180/80, ",0.69,ok
2025-01,Burgos,,350.0,DC,"0,69€/kWh DC 350, 0,54€/kWh DC 180/80, ",0.69,ok
2025-01,Burgos,,22.0,AC,,,no_kwh
2025-01,Burgos,,50.0,DC,,,no_kwh
2025-01,Burgos,,22.0,AC,,,no_kwh
2025-01,Burgos,,50.0,DC,,,no_kwh
2025-01,Burgos,,22.0,AC,"0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-01,Burgos,,50.0,DC,"0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-01,Burgos,,50.0,DC,"0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-01,Burgos,,150.0,DC,"0,54€/kWh",0.54,ok
2025-01,Burgos,,22.0,AC,,,no_kwh
2025-01,Burgos,,50.0,DC,,,no_kwh
2025-01,Burgos,,150.0,DC,"0,60€/kWh",0.6,ok
2025-01,Burgos,,7.0,AC,Free/gratis,,free
2025-01,Burgos,,43.0,DC,"0,47€/kWh ",0.47,ok
2025-01,Burgos,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-01,Burgos,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-01,Burgos,,180.0,DC,"0,55€/kWh",0.55,ok
2025-01,Burgos,,7.4,AC,,,no_kwh
2025-01,Burgos,,360.0,DC,"0,55€/kWh DC ",0.55,ok
2025-01,Burgos,,7.4,AC,"0,20€/kWh",0.2,ok
2025-01,Burgos,,22.0,AC,"0,20€/kWh",0.2,ok
2025-01,Burgos,,7.4,AC,,,no_kwh
2025-01,Burgos,,2.3,AC,,,no_kwh
2025-01,Burgos,,7.4,AC,free,,free
2025-01,Burgos,,7.4,AC,free,,free
2025-01,Burgos,,7.4,AC,free,,free
2025-01,Burgos,,3.7,AC,,,no_kwh
2025-01,Burgos,,100.0,DC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-01,Burgos,,50.0,DC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-01,Burgos,,22.0,AC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-01,Burgos,,50.0,DC,"0,47€/kWh",0.47,ok
2025-01,Burgos,,50.0,DC,"0,47€/kWh",0.47,ok
2025-01,Burgos,,43.0,DC,"0,47€/kWh",0.47,ok
2025-01,Burgos,,180.0,DC,"0,54€/kWh",0.54,ok
2025-01,Burgos,,3.7,AC,"0,35€/kWh AC",0.35,ok
2025-01,Burgos,,3.7,AC,"0,35€/kWh AC",0.35,ok
2025-01,Burgos,,7.4,AC,,,no_kwh
2025-01,Burgos,,150.0,DC,"0,54€/kWh DC>100kW  0,47€/kWh DC - 0,35€/kWh AC",0.54,ok
2025-01,Burgos,,100.0,DC,"0,54€/kWh DC>100kW  0,47€/kWh DC - 0,35€/kWh AC",0.54,ok
2025-01,Burgos,,50.0,DC,"0,54€/kWh DC>100kW  0,47€/kWh DC - 0,35€/kWh AC",0.54,ok
2025-01,Burgos,,50.0,DC,"0,54€/kWh DC>100kW  0,47€/kWh DC - 0,35€/kWh AC",0.54,ok
2025-01,Burgos,,22.0,AC,"0,54€/kWh DC>100kW  0,47€/kWh DC - 0,35€/kWh AC",0.54,ok
2025-01,Burgos,,7.4,AC,parking fee (20€/day),,no_kwh
2025-01,Burgos,,50.0,DC,"0,47€/kWh",0.47,ok
2025-01,Burgos,,50.0,DC,"0,47€/kWh",0.47,ok
2025-01,Burgos,,43.0,DC,"0,47€/kWh",0.47,ok
2025-01,Burgos,,60.0,DC," 0,55€/kWh DC - 0,35€/kWh AC",0.55,ok
2025-01,Burgos,,7.4,AC,"0,35€/kWh",0.35,ok
2025-01,Burgos,,150.0,DC,"0,59€/kWh DC - 0,39€/kWh AC ",0.59,ok
2025-01,Burgos,,22.0,AC,"0,59€/kWh DC - 0,39€/kWh AC ",0.59,ok
2025-01,Burgos,,120.0,DC,"0,48€/kWh",0.48,ok
2025-01,Burgos,,22.0,AC,,,no_kwh
2025-01,Burgos,,50.0,DC,,,no_kwh
2025-01,Burgos,,50.0,DC,,,no_kwh
2025-01,Burgos,,22.0,AC,"0,18€/kWh",0.18,ok
