month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-09,Cantabria,,7.4,AC,"0,39€/kWh",0.39,ok
2025-09,Cantabria,,2.3,AC,,,no_kwh
2025-09,Cantabria,,7.4,AC,"0,39€/kWh",0.39,ok
2025-09,Cantabria,,100.0,DC,"0,54€/kWh ",0.54,ok
2025-09,Cantabria,,100.0,DC,"0,54€/kWh ",0.54,ok
2025-09,Cantabria,,100.0,DC,"0,54€/kWh ",0.54,ok
2025-09,Cantabria,,22.0,AC,,,no_kwh
2025-09,Cantabria,,7.4,AC,free,,free
2025-09,Cantabria,,22.0,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,3.7,AC,parking fee 5€/day,,no_kwh
2025-09,Cantabria,,7.4,AC,"0,20€/kWh 7,4kW AC",0.2,ok
2025-09,Cantabria,,7.4,AC,"0,25€/kWh",0.25,ok
2025-09,Cantabria,,7.4,AC,"0,20€/kWh 7,4kW AC",0.2,ok
2025-09,Cantabria,,150.0,DC,"0,50€/kWh 150kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-09,Cantabria,,50.0,DC,"0,50€/kWh 150kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-09,Cantabria,,22.0,AC,"0,50€/kWh 150kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-09,Cantabria,,3.7,AC,,,no_kwh
2025-09,Cantabria,,22.0,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,100.0,DC,"0,54 €/kWh DC",0.54,ok
2025-09,Cantabria,,22.0,AC,,,no_kwh
2025-09,Cantabria,,22.0,AC,,,no_kwh
2025-09,Cantabria,,3.7,AC,,,no_kwh
2025-09,Cantabria,,7.4,AC,"0,20€/kWh 7,4kW AC",0.2,ok
2025-09,Cantabria,,22.0,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,22.0,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,22.0,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,22.0,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,22.0,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,50.0,DC,"0,41€/kWh",0.41,ok
2025-09,Cantabria,,50.0,DC,"0,41€/kWh",0.41,ok
2025-09,Cantabria,,43.0,DC,"0,41€/kWh",0.41,ok
2025-09,Cantabria,,3.7,AC,,,no_kwh
2025-09,Cantabria,,3.7,AC,,,no_kwh
2025-09,Cantabria,,22.0,AC,,,no_kwh
2025-09,Cantabria,,50.0,DC,"0.45€/kWh DC/AC43kW - 0,26€/kWh AC 22kW",0.45,ok
2025-09,Cantabria,,50.0,DC,"0.45€/kWh DC/AC43kW - 0,26€/kWh AC 22kW",0.45,ok
2025-09,Cantabria,,43.0,DC,"0.45€/kWh DC/AC43kW - 0,26€/kWh AC 22kW",0.45,ok
2025-09,Cantabria,,22.0,AC,"0.45€/kWh DC/AC43kW - 0,26€/kWh AC 22kW",0.45,ok
2025-09,Cantabria,,3.7,AC,,,no_kwh
2025-09,Cantabria,,3.7,AC,,,no_kwh
2025-09,Cantabria,,22.0,AC,,,no_kwh
2025-09,Cantabria,,100.0,DC,"0,50€/kWh 150kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-09,Cantabria,,50.0,DC,"0,50€/kWh 150kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-09,Cantabria,,22.0,AC,"0,50€/kWh 150kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-09,Cantabria,,22.0,AC,Free,,free
2025-09,Cantabria,,22.0,AC,"0,25€/kWh ",0.25,ok
2025-09,Cantabria,,3.7,AC,,,no_kwh
2025-09,Cantabria,,11.0,AC,,,no_kwh
2025-09,Cantabria,,2.3,AC,,,no_kwh
2025-09,Cantabria,,22.0,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,22.0,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Cantabria,,43.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Cantabria,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Cantabria,,22.0,AC,"0,47€/kWh ",0.47,ok
2025-09,Cantabria,,7.4,AC,free,,free
2025-09,Cantabria,,3.7,AC,,,no_kwh
2025-09,Cantabria,,11.0,AC,,,no_kwh
2025-09,Cantabria,,7.4,AC,free,,free
2025-09,Cantabria,,50.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Cantabria,,43.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Cantabria,,50.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Cantabria,,7.0,AC,free,,free
2025-09,Cantabria,,2.3,AC,free,,free
2025-09,Cantabria,,22.0,AC,,,no_kwh
2025-09,Cantabria,,7.4,AC,,,no_kwh
2025-09,Cantabria,,22.0,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,4.8,AC,,,no_kwh
2025-09,Cantabria,,22.0,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,22.0,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,22.0,AC,free,,free
2025-09,Cantabria,,7.4,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,3.7,AC,,,no_kwh
2025-09,Cantabria,,60.0,DC,"0,48€/kWh + parking 11€/h",0.48,ok
2025-09,Cantabria,,60.0,DC,"0,48€/kWh + parking 11€/h",0.48,ok
2025-09,Cantabria,,22.0,AC,"0,48€/kWh + parking 11€/h",0.48,ok
2025-09,Cantabria,,7.4,AC,,,no_kwh
2025-09,Cantabria,,22.0,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,3.7,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,22.0,AC,"0,39€/kWh",0.39,ok
2025-09,Cantabria,,22.0,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,22.0,AC,"0,39€/kWh",0.39,ok
2025-09,Cantabria,,22.0,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,22.0,AC,"0,39€/kWh",0.39,ok
2025-09,Cantabria,,7.0,AC,"0,35€/kWh",0.35,ok
2025-09,Cantabria,,22.0,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,3.7,AC,free,,free
2025-09,Cantabria,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Cantabria,,3.7,AC,free,,free
2025-09,Cantabria,,22.0,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,3.7,AC,Free for clients,,free
2025-09,Cantabria,,3.7,AC,free,,free
2025-09,Cantabria,,7.2,AC,free,,free
2025-09,Cantabria,,22.0,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,22.0,AC,,,no_kwh
2025-09,Cantabria,,3.7,AC,,,no_kwh
2025-09,Cantabria,,22.0,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,300.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-09,Cantabria,,50.0,DC,"0,46€/kWh",0.46,ok
2025-09,Cantabria,,50.0,DC,"0,46€/kWh",0.46,ok
2025-09,Cantabria,,43.0,DC,"0,46€/kWh",0.46,ok
2025-09,Cantabria,,50.0,DC,"0,45€/kWh 50kW - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Cantabria,,50.0,DC,"0,45€/kWh 50kW - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Cantabria,,22.0,AC,"0,45€/kWh 50kW - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Cantabria,,3.7,AC,free,,free
2025-09,Cantabria,,7.0,AC,free,,free
2025-09,Cantabria,,50.0,DC," 0,39€/kWh DC - 0,32€/kWh AC",0.39,ok
2025-09,Cantabria,,50.0,DC," 0,39€/kWh DC - 0,32€/kWh AC",0.39,ok
2025-09,Cantabria,,22.0,AC," 0,39€/kWh DC - 0,32€/kWh AC",0.39,ok
2025-09,Cantabria,,3.7,AC,,,no_kwh
2025-09,Cantabria,,11.0,AC,,,no_kwh
2025-09,Cantabria,,11.0,AC,"0,29€/kWh",0.29,ok
2025-09,Cantabria,,22.0,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,7.0,AC,free,,free
2025-09,Cantabria,,150.0,DC,,,no_kwh
2025-09,Cantabria,,100.0,DC,"0.54€/kWh DC - 0,45€/kWh 50kW DC - 0,39€/kWh 22kW AC",0.54,ok
2025-09,Cantabria,,50.0,DC,"0.54€/kWh DC - 0,45€/kWh 50kW DC - 0,39€/kWh 22kW AC",0.54,ok
2025-09,Cantabria,,22.0,AC,"0.54€/kWh DC - 0,45€/kWh 50kW DC - 0,39€/kWh 22kW AC",0.54,ok
2025-09,Cantabria,,22.0,AC,,,no_kwh
2025-09,Cantabria,,150.0,DC,"0,60€/kWh",0.6,ok
2025-09,Cantabria,,180.0,DC,0.55€/kWh,0.55,ok
2025-09,Cantabria,,22.0,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,22.0,AC,free charging + parking fee,,free
2025-09,Cantabria,,22.0,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,11.0,AC,,,empty
2025-09,Cantabria,,22.0,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,22.0,AC,"0,34€/kWh",0.34,ok
2025-09,Cantabria,,7.4,AC,"0,20€/kWh 7,4kW AC",0.2,ok
2025-09,Cantabria,,22.0,AC,"0,34€/kWh",0.34,ok
