month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-06,Castellón,,150.0,DC,"0,56€/kWh >80kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-06,Castellón,,50.0,DC,"0,56€/kWh >80kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-06,Castellón,,22.0,AC,"0,56€/kWh >80kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-06,Castellón,,50.0,DC,"0,56€/kWh >80kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-06,Castellón,,50.0,DC,"0,56€/kWh >80kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-06,Castellón,,43.0,DC,"0,56€/kWh >80kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-06,Castellón,,22.0,AC,free,,free
2025-06,Castellón,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Castellón,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Castellón,,43.0,DC,0.47€/kWh ,0.47,ok
2025-06,Castellón,,22.0,AC,,,empty
2025-06,Castellón,,100.0,DC,"0,45€/kWh ",0.45,ok
2025-06,Castellón,,7.4,AC,,,no_kwh
2025-06,Castellón,,3.7,AC,,,no_kwh
2025-06,Castellón,,22.0,AC,free,,free
2025-06,Castellón,,3.7,AC,,,empty
2025-06,Castellón,,50.0,DC,"0,41€/kWh DC - 0,36€/kWh AC  ",0.41,ok
2025-06,Castellón,,50.0,DC,"0,41€/kWh DC - 0,36€/kWh AC  ",0.41,ok
2025-06,Castellón,,22.0,AC,"0,41€/kWh DC - 0,36€/kWh AC  ",0.41,ok
2025-06,Castellón,,50.0,DC,"0,40€/kWh DC - 0,35€/kWh AC",0.4,ok
2025-06,Castellón,,50.0,DC,"0,40€/kWh DC - 0,35€/kWh AC",0.4,ok
2025-06,Castellón,,43.0,DC,"0,40€/kWh DC - 0,35€/kWh AC",0.4,ok
2025-06,Castellón,,7.4,AC,,,no_kwh
2025-06,Castellón,,7.4,AC,"0,25€/kWh",0.25,ok
2025-06,Castellón,,50.0,DC,,,no_kwh
2025-06,Castellón,,11.0,AC,,,no_kwh
2025-06,Castellón,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Castellón,,60.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Castellón,,50.0,DC,"0,54€/kWh DC - 0,36€/kWh AC",0.54,ok
2025-06,Castellón,,50.0,DC,"0,54€/kWh DC - 0,36€/kWh AC",0.54,ok
2025-06,Castellón,,43.0,DC,"0,54€/kWh DC - 0,36€/kWh AC",0.54,ok
2025-06,Castellón,,22.0,AC,"0,40€/kWh",0.4,ok
2025-06,Castellón,,3.7,AC,"0,40€/kWh",0.4,ok
2025-06,Castellón,,50.0,DC,"0,60€/kWh + 0,83€/h",0.6,ok
2025-06,Castellón,,22.0,AC,,,no_kwh
2025-06,Castellón,,22.0,AC,free,,free
2025-06,Castellón,,22.0,AC,0.35€/kWh,0.35,ok
2025-06,Castellón,,22.0,AC,free,,free
2025-06,Castellón,,50.0,DC," 0,45€/kWh DC - 0,35€/kWh AC ",0.45,ok
2025-06,Castellón,,22.0,AC," 0,45€/kWh DC - 0,35€/kWh AC ",0.45,ok
2025-06,Castellón,,50.0,DC," 0,45€/kWh DC - 0,35€/kWh AC ",0.45,ok
2025-06,Castellón,,10.0,AC,free,,free
2025-06,Castellón,,22.0,AC,free,,free
2025-06,Castellón,,22.0,AC,free,,free
2025-06,Castellón,,10.0,AC,free,,free
2025-06,Castellón,,22.0,AC,free,,free
2025-06,Castellón,,22.0,AC,free,,free
2025-06,Castellón,,22.0,AC,"0,31€/kWh",0.31,ok
2025-06,Castellón,,3.7,AC,,,empty
2025-06,Castellón,,60.0,DC," 0,45€/kWh ",0.45,ok
2025-06,Castellón,,22.0,AC," 0,45€/kWh ",0.45,ok
2025-06,Castellón,,11.0,AC,"0,39€/kWh",0.39,ok
2025-06,Castellón,,22.0,AC,free,,free
2025-06,Castellón,,22.0,AC,free,,free
2025-06,Castellón,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Castellón,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Castellón,,43.0,DC,0.47€/kWh ,0.47,ok
2025-06,Castellón,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Castellón,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Castellón,,22.0,AC,free,,free
2025-06,Castellón,,100.0,DC,"0,45€/kWh ",0.45,ok
2025-06,Castellón,,22.0,AC,"0,45€/kWh ",0.45,ok
2025-06,Castellón,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Castellón,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Castellón,,43.0,DC,0.47€/kWh ,0.47,ok
2025-06,Castellón,,22.0,AC,Free,,free
2025-06,Castellón,,22.0,AC,free,,free
2025-06,Castellón,,22.0,AC,free,,free
2025-06,Castellón,,11.0,AC,,,no_kwh
2025-06,Castellón,,22.0,AC,,,no_kwh
2025-06,Castellón,,2.3,AC,,,no_kwh
2025-06,Castellón,,22.0,AC,"0,35€/kWh",0.35,ok
2025-06,Castellón,,22.0,AC,free,,free
2025-06,Castellón,,22.0,AC,"0,15€/kWh",0.15,ok
2025-06,Castellón,,3.7,AC,,,no_kwh
2025-06,Castellón,,3.7,AC,,,empty
2025-06,Castellón,,7.4,AC,,,empty
2025-06,Castellón,,7.4,AC,,,no_kwh
2025-06,Castellón,,22.0,AC,,,empty
2025-06,Castellón,,22.0,AC,,,empty
2025-06,Castellón,,50.0,DC,,,no_kwh
2025-06,Castellón,,50.0,DC,,,no_kwh
2025-06,Castellón,,43.0,DC,,,no_kwh
2025-06,Castellón,,22.0,AC,"0,45€/kWh",0.45,ok
2025-06,Castellón,,30.0,DC,"0,37€/kWh DC - 0,32€/kWh AC",0.37,ok
2025-06,Castellón,,22.0,AC,"0,37€/kWh DC - 0,32€/kWh AC",0.37,ok
2025-06,Castellón,,7.4,AC,,,no_kwh
2025-06,Castellón,,3.7,AC,,,no_kwh
2025-06,Castellón,,11.0,AC,,,no_kwh
2025-06,Castellón,,7.4,AC,"parking fee + 0,20€/kWh (0,01€/min parked without charging)",0.2,ok
2025-06,Castellón,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Castellón,,22.0,AC,"parking fee + 0,20€/kWh (0,01€/min parked without charging)",0.2,ok
2025-06,Castellón,,7.4,AC,18€/dia,,no_kwh
2025-06,Castellón,,2.3,AC,18€/dia,,no_kwh
2025-06,Castellón,,3.7,AC,,,no_kwh
2025-06,Castellón,,11.0,AC,,,empty
2025-06,Castellón,,22.0,AC,,,empty
2025-06,Castellón,,7.4,AC,"0,15€/kWh",0.15,ok
2025-06,Castellón,,7.4,AC,,,no_kwh
2025-06,Castellón,,11.0,AC,16€/dia,,no_kwh
2025-06,Castellón,,11.0,AC,16€/dia,,no_kwh
2025-06,Castellón,,2.3,AC,16€/dia,,no_kwh
2025-06,Castellón,,7.4,AC,,,no_kwh
2025-06,Castellón,,7.4,AC,"parking fee + 0,20€/kWh (0,01€/min parked without charging)",0.2,ok
2025-06,Castellón,,7.4,AC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-06,Castellón,,3.7,AC,,,no_kwh
2025-06,Castellón,,11.0,AC,,,no_kwh
2025-06,Castellón,,3.7,AC,,,no_kwh
2025-06,Castellón,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Castellón,,60.0,DC,"0,30€/kWh",0.3,ok
2025-06,Castellón,,100.0,DC,"0,55€/kWh",0.55,ok
2025-06,Castellón,,80.0,DC,"0,55€/kWh",0.55,ok
2025-06,Castellón,,50.0,DC,"0,45€/kWh DC - 0,39€/kWh 22kW AC",0.45,ok
