month,ccaa,operator,power_kW,band,usagecost_original,parsed,reason
2025-09,Cataluña,,22.0,AC,,,no_kwh
2025-09,Cataluña,,50.0,DC,free,,free
2025-09,Cataluña,,50.0,DC,free,,free
2025-09,Cataluña,,7.4,AC,"0,64€/kWh",0.64,ok
2025-09,Cataluña,,150.0,DC,0.59€/kWh,0.59,ok
2025-09,Cataluña,,22.0,AC,free,,free
2025-09,Cataluña,,22.0,AC,Free,,free
2025-09,Cataluña,,11.0,AC,Free,,free
2025-09,Cataluña,,7.4,AC,"0,25€/kWh",0.25,ok
2025-09,Cataluña,,120.0,DC,"0,55€/kWh DC 0,39€/kWh AC",0.55,ok
2025-09,Cataluña,,22.0,AC,"0,55€/kWh DC 0,39€/kWh AC",0.55,ok
2025-09,Cataluña,,43.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Cataluña,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Cataluña,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Cataluña,,42.0,DC,free,,free
2025-09,Cataluña,,42.0,DC,free,,free
2025-09,Cataluña,,12.0,AC,free,,free
2025-09,Cataluña,,22.0,AC,,,empty
2025-09,Cataluña,,11.0,AC,,,empty
2025-09,Cataluña,,50.0,DC,free,,free
2025-09,Cataluña,,22.0,AC,free,,free
2025-09,Cataluña,,50.0,DC,free,,free
2025-09,Cataluña,,22.0,AC,"0,25€/kWh ",0.25,ok
2025-09,Cataluña,,22.2,DC,Free,,free
2025-09,Cataluña,,50.0,DC,"0,39€/kWh 50 kW - 0,32€/kWh AC",0.39,ok
2025-09,Cataluña,,50.0,DC,"0,39€/kWh 50 kW - 0,32€/kWh AC",0.39,ok
2025-09,Cataluña,,43.0,DC,"0,39€/kWh 50 kW - 0,32€/kWh AC",0.39,ok
2025-09,Cataluña,,7.4,AC,free,,free
2025-09,Cataluña,,22.0,AC,free,,free
2025-09,Cataluña,,7.4,AC,free,,free
2025-09,Cataluña,,90.0,DC,"0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-09,Cataluña,,22.0,AC,"0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-09,Cataluña,,22.0,AC," 0,39€/kWh ",0.39,ok
2025-09,Cataluña,,22.0,AC,,,empty
2025-09,Cataluña,,22.0,AC,"0,41€/kWh",0.41,ok
2025-09,Cataluña,,22.0,AC,"0,39€/kWh AC ",0.39,ok
2025-09,Cataluña,,22.0,AC,,,no_kwh
2025-09,Cataluña,,22.0,AC,,,no_kwh
2025-09,Cataluña,,22.0,AC,,,no_kwh
2025-09,Cataluña,,22.2,DC,Free,,free
2025-09,Cataluña,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Cataluña,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Cataluña,,43.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Cataluña,,11.0,AC,,,no_kwh
2025-09,Cataluña,,11.0,AC,,,empty
2025-09,Cataluña,,100.0,DC,"0,54€/kWh DC - 0,36€/kWh AC",0.54,ok
2025-09,Cataluña,,50.0,DC,subscription required to ethecnic.com,,no_kwh
2025-09,Cataluña,,50.0,DC,subscription required to ethecnic.com,,no_kwh
2025-09,Cataluña,,43.0,DC,subscription required to ethecnic.com,,no_kwh
2025-09,Cataluña,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Cataluña,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Cataluña,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Cataluña,,50.0,DC,free,,free
2025-09,Cataluña,,50.0,DC,free,,free
2025-09,Cataluña,,43.0,DC,free,,free
2025-09,Cataluña,,22.0,AC,,,no_kwh
2025-09,Cataluña,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Cataluña,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Cataluña,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Cataluña,,50.0,DC,"DC: 0,45€/kWh - AC:0,35€/kWh",0.45,ok
2025-09,Cataluña,,43.0,DC,"DC: 0,45€/kWh - AC:0,35€/kWh",0.45,ok
2025-09,Cataluña,,50.0,DC,"DC: 0,45€/kWh - AC:0,35€/kWh",0.45,ok
2025-09,Cataluña,,22.2,DC,Free,,free
2025-09,Cataluña,,100.0,DC,"DC: 0,54€/kWh - AC: 0,39€/kWh",0.54,ok
2025-09,Cataluña,,50.0,DC,"0,43€/kWh DC - 0,36€/kWh AC  ",0.43,ok
2025-09,Cataluña,,50.0,DC,"0,43€/kWh DC - 0,36€/kWh AC  ",0.43,ok
2025-09,Cataluña,,22.0,AC,"0,43€/kWh DC - 0,36€/kWh AC  ",0.43,ok
2025-09,Cataluña,,22.0,AC,Gratuito,,no_kwh
2025-09,Cataluña,,2.3,AC,Gratuito,,no_kwh
2025-09,Cataluña,,50.0,DC,free,,free
2025-09,Cataluña,,43.0,DC,free,,free
2025-09,Cataluña,,50.0,DC,free,,free
2025-09,Cataluña,,22.0,AC,"0,39€/kWh",0.39,ok
2025-09,Cataluña,,22.0,AC,,,no_kwh
2025-09,Cataluña,,22.0,AC,"0,30€ kWh ",0.3,ok
2025-09,Cataluña,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Cataluña,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Cataluña,,43.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Cataluña,,50.0,DC,"0,45€/kWh",0.45,ok
2025-09,Cataluña,,50.0,DC,"0,45€/kWh",0.45,ok
2025-09,Cataluña,,43.0,DC,"0,45€/kWh",0.45,ok
2025-09,Cataluña,,3.7,AC,,,no_kwh
2025-09,Cataluña,,22.0,AC,free,,free
2025-09,Cataluña,,50.0,DC,free,,free
2025-09,Cataluña,,50.0,DC,free,,free
2025-09,Cataluña,,3.7,AC,,,no_kwh
2025-09,Cataluña,,11.0,AC,,,no_kwh
2025-09,Cataluña,,50.0,DC,,,empty
2025-09,Cataluña,,50.0,DC,,,empty
2025-09,Cataluña,,43.0,DC,,,empty
2025-09,Cataluña,,50.0,DC," 0,49€/kWh DC - 0,39€/kWh AC ",0.49,ok
2025-09,Cataluña,,50.0,DC," 0,49€/kWh DC - 0,39€/kWh AC ",0.49,ok
2025-09,Cataluña,,43.0,DC," 0,49€/kWh DC - 0,39€/kWh AC ",0.49,ok
2025-09,Cataluña,,22.0,AC,"0,39€/kWh",0.39,ok
2025-09,Cataluña,,2.3,AC,,,no_kwh
2025-09,Cataluña,,22.0,AC,,,no_kwh
2025-09,Cataluña,,22.0,AC,"0,25€/kwh",0.25,ok
2025-09,Cataluña,,22.0,AC,free,,free
2025-09,Cataluña,,22.0,AC,free,,free
2025-09,Cataluña,,22.2,DC,,,empty
2025-09,Cataluña,,22.2,DC,,,empty
2025-09,Cataluña,,22.2,DC,,,empty
