month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-05,Ciudad Real,,3.7,AC,"1,21€/kWh",1.21,ok
2025-05,Ciudad Real,,3.7,AC,"1,21€/kWh",1.21,ok
2025-05,Ciudad Real,,22.0,AC,"0,45€/kWh",0.45,ok
2025-05,Ciudad Real,,22.0,AC,"0,42€/kWh (0,05€/min parked without charging)",0.42,ok
2025-05,Ciudad Real,,90.0,DC,"0,54€/kWh ",0.54,ok
2025-05,Ciudad Real,,11.0,AC,,,no_kwh
2025-05,Ciudad Real,,3.7,AC,,,no_kwh
2025-05,Ciudad Real,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-05,Ciudad Real,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-05,Ciudad Real,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-05,Ciudad Real,,11.0,AC,,,no_kwh
2025-05,Ciudad Real,,3.7,AC,,,no_kwh
2025-05,Ciudad Real,,100.0,DC,"0,54€/kWh DC - 0,36€/kWh AC",0.54,ok
2025-05,Ciudad Real,,100.0,DC,"0,39€/kWh ",0.39,ok
2025-05,Ciudad Real,,50.0,DC,"0,39€/kWh ",0.39,ok
2025-05,Ciudad Real,,22.0,AC,"0,39€/kWh ",0.39,ok
2025-05,Ciudad Real,,11.0,AC,,,empty
2025-05,Ciudad Real,,11.0,AC,,,empty
2025-05,Ciudad Real,,100.0,DC,"0,54€/kWh",0.54,ok
2025-05,Ciudad Real,,50.0,DC,"0,49€/kWh DC - 0,39€/kWh AC ",0.49,ok
2025-05,Ciudad Real,,22.0,AC,"0,49€/kWh DC - 0,39€/kWh AC ",0.49,ok
2025-05,Ciudad Real,,50.0,DC,"0,49€/kWh DC - 0,39€/kWh AC ",0.49,ok
2025-05,Ciudad Real,,22.0,AC,"0,49€/kWh DC - 0,39€/kWh AC ",0.49,ok
2025-05,Ciudad Real,,22.0,AC,Según el valor del mercado. ,,no_kwh
2025-05,Ciudad Real,,11.0,AC,,,no_kwh
2025-05,Ciudad Real,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-05,Ciudad Real,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-05,Ciudad Real,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-05,Ciudad Real,,3.7,AC,,,empty
