month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-05,Cuenca,,11.0,AC,,,no_kwh
2025-05,Cuenca,,22.0,AC,,,no_kwh
2025-05,Cuenca,,11.0,AC,free,,free
2025-05,Cuenca,,50.0,DC,0.41€/kWh,0.41,ok
2025-05,Cuenca,,50.0,DC,0.41€/kWh,0.41,ok
2025-05,Cuenca,,43.0,DC,0.41€/kWh,0.41,ok
2025-05,Cuenca,,7.4,AC,,,no_kwh
2025-05,Cuenca,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-05,Cuenca,,43.0,DC,"0,45€/kWh ",0.45,ok
2025-05,Cuenca,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-05,Cuenca,,11.0,AC,"0,35€/kWh + parking fee: 15€/day",0.35,ok
2025-05,Cuenca,,200.0,DC,"0,60€/kWh 200kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.6,ok
2025-05,Cuenca,,50.0,DC,"0,60€/kWh 200kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.6,ok
2025-05,Cuenca,,22.0,AC,"0,60€/kWh 200kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.6,ok
2025-05,Cuenca,,22.0,AC,,,no_kwh
2025-05,Cuenca,,22.0,AC,"0,25€/kWh",0.25,ok
2025-05,Cuenca,,22.0,AC,"0,42€/kWh (0,01€/min parked without charging)",0.42,ok
2025-05,Cuenca,,100.0,DC,"0.48€/kWh DC - 0,35€/kWh AC",0.48,ok
2025-05,Cuenca,,22.0,AC,"0.48€/kWh DC - 0,35€/kWh AC",0.48,ok
2025-05,Cuenca,,43.0,DC,"0,47€/kWh ",0.47,ok
2025-05,Cuenca,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-05,Cuenca,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-05,Cuenca,,22.0,AC,"0,39€/kWh",0.39,ok
2025-05,Cuenca,,50.0,DC,"0,45€/kWh",0.45,ok
2025-05,Cuenca,,43.0,DC,"0,45€/kWh",0.45,ok
2025-05,Cuenca,,50.0,DC,"0,45€/kWh",0.45,ok
2025-05,Cuenca,,7.4,AC,,,no_kwh
2025-05,Cuenca,,3.7,AC,,,no_kwh
2025-05,Cuenca,,50.0,DC,"0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-05,Cuenca,,50.0,DC,"0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-05,Cuenca,,43.0,DC,"0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-05,Cuenca,,11.0,AC,Free,,free
2025-05,Cuenca,,22.0,AC,"0,39€/kWh + parking fee",0.39,ok
2025-05,Cuenca,,3.7,AC,,,empty
2025-05,Cuenca,,150.0,DC,"0,59€/kWh DC - 0,39€/kWh AC ",0.59,ok
2025-05,Cuenca,,22.0,AC,"0,59€/kWh DC - 0,39€/kWh AC ",0.59,ok
2025-05,Cuenca,,22.0,AC,"0,39€/kWh + parking fee",0.39,ok
2025-05,Cuenca,,22.0,AC,,,empty
2025-05,Cuenca,,22.0,AC,"0,39€/kWh + parking  fee",0.39,ok
2025-05,Cuenca,,150.0,DC," 0,59€/kWh  ",0.59,ok
2025-05,Cuenca,,22.0,AC," 0,59€/kWh DC - 0,39€/kWh AC ",0.59,ok
2025-05,Cuenca,,150.0,DC," 0,59€/kWh DC - 0,39€/kWh AC ",0.59,ok
2025-05,Cuenca,,22.0,AC,"0,25€/kWh",0.25,ok
2025-05,Cuenca,,22.0,AC,"0,42€/kWh (0,05€/min parked without charging)",0.42,ok
2025-05,Cuenca,,22.0,AC,"0,25€/kWh",0.25,ok
2025-05,Cuenca,,50.0,DC," 0,47€/kWh ",0.47,ok
2025-05,Cuenca,,43.0,DC," 0,47€/kWh ",0.47,ok
2025-05,Cuenca,,50.0,DC," 0,47€/kWh ",0.47,ok
2025-05,Cuenca,,22.0,AC,,,no_kwh
2025-05,Cuenca,,120.0,DC,"0,54€/kWh DC ",0.54,ok
2025-05,Cuenca,,100.0,DC,"0,54€/kWh DC ",0.54,ok
2025-05,Cuenca,,3.0,AC,,,no_kwh
2025-05,Cuenca,,22.0,AC,"0,39€/kWh",0.39,ok
2025-05,Cuenca,,17.0,AC,,,empty
2025-05,Cuenca,,11.0,AC,,,empty
2025-05,Cuenca,,7.4,AC,"0,49€/kWh",0.49,ok
2025-05,Cuenca,,22.0,AC,"0,39€/kWh",0.39,ok
2025-05,Cuenca,,3.7,AC,,,no_kwh
2025-05,Cuenca,,22.0,AC,"0,39€/kWh",0.39,ok
2025-05,Cuenca,,24.0,DC,"0,39€/kWh",0.39,ok
2025-05,Cuenca,,24.0,DC,"0,39€/kWh",0.39,ok
2025-05,Cuenca,,50.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-05,Cuenca,,22.0,AC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-05,Cuenca,,50.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-05,Cuenca,,22.0,AC,"0,39€/kWh",0.39,ok
2025-05,Cuenca,,50.0,DC,"0,39€/kWh",0.39,ok
2025-05,Cuenca,,50.0,DC,"0,39€/kWh",0.39,ok
2025-05,Cuenca,,22.0,AC,"0,25€/kWh",0.25,ok
2025-05,Cuenca,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-05,Cuenca,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-05,Cuenca,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Cuenca,,50.0,DC,0.47€/kWh ,0.47,ok
