month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-02,Cáceres,,50.0,DC,0.47€/kWh ,0.47,ok
2025-02,Cáceres,,50.0,DC,0.47€/kWh ,0.47,ok
2025-02,Cáceres,,43.0,DC,0.47€/kWh ,0.47,ok
2025-02,Cáceres,,100.0,DC,"0,50€/kWh >60kW - 0,39€/kWh 50kW - 0,32€/kWh AC",0.5,ok
2025-02,Cáceres,,50.0,DC,"0,50€/kWh >60kW - 0,39€/kWh 50kW - 0,32€/kWh AC",0.5,ok
2025-02,Cáceres,,22.0,AC,"0,50€/kWh >60kW - 0,39€/kWh 50kW - 0,32€/kWh AC",0.5,ok
2025-02,Cáceres,,22.0,AC,"0,38€/kWh",0.38,ok
2025-02,Cáceres,,22.0,AC,"0,38€/kWh",0.38,ok
2025-02,Cáceres,,22.0,AC,"0,38€/kWh",0.38,ok
2025-02,Cáceres,,7.4,AC,"0,38€/kWh",0.38,ok
2025-02,Cáceres,,25.0,DC,"0,45€/KWh + 0,05€/min after 3 hours charging",0.45,ok
2025-02,Cáceres,,25.0,DC,"0,45€/KWh + 0,05€/min after 3 hours charging",0.45,ok
2025-02,Cáceres,,22.0,AC,"0,45€/kWh",0.45,ok
2025-02,Cáceres,,22.0,AC,"0,38€/kWh",0.38,ok
2025-02,Cáceres,,22.0,AC,"0,25€/kWh AC",0.25,ok
2025-02,Cáceres,,7.4,AC,,,empty
2025-02,Cáceres,,50.0,DC,"0,30€/kWh DC - 0,25€/kWh AC",0.3,ok
2025-02,Cáceres,,50.0,DC,"0,30€/kWh DC - 0,25€/kWh AC",0.3,ok
2025-02,Cáceres,,22.0,AC,"0,30€/kWh DC - 0,25€/kWh AC",0.3,ok
2025-02,Cáceres,,100.0,DC,"0,50€/kWh >60kW - 0,39€/kWh 50kW - 0,32€/kWh AC",0.5,ok
2025-02,Cáceres,,50.0,DC,"0,50€/kWh >60kW - 0,39€/kWh 50kW - 0,32€/kWh AC",0.5,ok
2025-02,Cáceres,,22.0,AC,"0,50€/kWh >60kW - 0,39€/kWh 50kW - 0,32€/kWh AC",0.5,ok
2025-02,Cáceres,,50.0,DC,"0,45€/kWh + 0,05€/min after 3 hours",0.45,ok
2025-02,Cáceres,,43.0,DC,"0,45€/kWh + 0,05€/min after 3 hours",0.45,ok
2025-02,Cáceres,,50.0,DC,"0,45€/kWh + 0,05€/min after 3 hours",0.45,ok
2025-02,Cáceres,,7.4,AC,,,no_kwh
2025-02,Cáceres,,22.0,AC,0,,no_kwh
2025-02,Cáceres,,3.3,AC,0,,no_kwh
2025-02,Cáceres,,3.7,AC,,,no_kwh
2025-02,Cáceres,,50.0,DC,"0,45€/kWh + 0,05€/min after 3 hours",0.45,ok
2025-02,Cáceres,,50.0,DC,"0,45€/kWh + 0,05€/min after 3 hours",0.45,ok
2025-02,Cáceres,,43.0,DC,"0,45€/kWh + 0,05€/min after 3 hours",0.45,ok
2025-02,Cáceres,,7.4,AC,,,no_kwh
2025-02,Cáceres,,22.0,AC,"0,45€/kWh + 0,05€/min after 3 hours",0.45,ok
2025-02,Cáceres,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-02,Cáceres,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-02,Cáceres,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-02,Cáceres,,60.0,DC,"0,36€/kWh",0.36,ok
2025-02,Cáceres,,22.0,AC,"0,36€/kWh",0.36,ok
2025-02,Cáceres,,50.0,DC,"0,45€/kWh + 0,05€/min after 3 hours",0.45,ok
2025-02,Cáceres,,50.0,DC,"0,45€/kWh + 0,05€/min after 3 hours",0.45,ok
2025-02,Cáceres,,22.0,AC,"0,45€/kWh + 0,05€/min after 3 hours",0.45,ok
2025-02,Cáceres,,11.0,AC,,,empty
2025-02,Cáceres,,11.0,AC,,,empty
2025-02,Cáceres,,2.3,AC,,,empty
2025-02,Cáceres,,50.0,DC,"0,45€/kWh + 0,05€/min after 3 hours",0.45,ok
2025-02,Cáceres,,50.0,DC,"0,45€/kWh + 0,05€/min after 3 hours",0.45,ok
2025-02,Cáceres,,43.0,DC,"0,45€/kWh + 0,05€/min after 3 hours",0.45,ok
2025-02,Cáceres,,50.0,DC,"0,45€/kWh + 0,05€/min after 3 hours",0.45,ok
2025-02,Cáceres,,50.0,DC,"0,45€/kWh + 0,05€/min after 3 hours",0.45,ok
2025-02,Cáceres,,42.0,DC,"0,45€/kWh + 0,05€/min after 3 hours",0.45,ok
2025-02,Cáceres,,50.0,DC,"0,45€/kWh + 0,05€/min after 3 hours",0.45,ok
2025-02,Cáceres,,50.0,DC,"0,45€/kWh + 0,05€/min after 3 hours",0.45,ok
