month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-05,Cádiz,,7.4,AC,,,no_kwh
2025-05,Cádiz,,11.0,AC,,,empty
2025-05,Cádiz,,3.7,AC,"0,38€/kWh",0.38,ok
2025-05,Cádiz,,22.0,AC,"0,38€/kWh",0.38,ok
2025-05,Cádiz,,11.0,AC,,,empty
2025-05,Cádiz,,11.0,AC,"0,28926 €/kWh",0.28926,ok
2025-05,Cádiz,,11.0,AC,,,empty
2025-05,Cádiz,,22.0,AC,"0,30€/kWh",0.3,ok
2025-05,Cádiz,,22.0,AC,"0,35€/kWh ",0.35,ok
2025-05,Cádiz,,11.0,AC,parking fee 25€/day,,no_kwh
2025-05,Cádiz,,3.7,AC,,,no_kwh
2025-05,Cádiz,,22.0,AC,,,no_kwh
2025-05,Cádiz,,22.0,AC,"0,38€/kWh + parking fee",0.38,ok
2025-05,Cádiz,,150.0,DC,"0,54€/kWh ",0.54,ok
2025-05,Cádiz,,22.0,AC,,,no_kwh
2025-05,Cádiz,,3.7,AC,,,no_kwh
2025-05,Cádiz,,3.7,AC,Free.  Limited to 1 hour. Accessible during business hours,,free
2025-05,Cádiz,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-05,Cádiz,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-05,Cádiz,,43.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-05,Cádiz,,100.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-05,Cádiz,,50.0,DC,0.48€/kWh,0.48,ok
2025-05,Cádiz,,50.0,DC,0.48€/kWh,0.48,ok
2025-05,Cádiz,,22.0,AC,0.48€/kWh,0.48,ok
2025-05,Cádiz,,22.0,AC,,,no_kwh
2025-05,Cádiz,,22.0,AC,"0,25€/kWh",0.25,ok
2025-05,Cádiz,,17.0,AC,,,empty
2025-05,Cádiz,,11.0,AC,,,empty
2025-05,Cádiz,,22.0,AC,,,no_kwh
2025-05,Cádiz,,150.0,DC,0.59€/kWh,0.59,ok
2025-05,Cádiz,,7.4,AC,,,no_kwh
2025-05,Cádiz,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Cádiz,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Cádiz,,43.0,DC,0.47€/kWh ,0.47,ok
2025-05,Cádiz,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-05,Cádiz,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-05,Cádiz,,22.0,AC,,,no_kwh
2025-05,Cádiz,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Cádiz,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Cádiz,,43.0,DC,0.47€/kWh ,0.47,ok
2025-05,Cádiz,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-05,Cádiz,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-05,Cádiz,,150.0,DC,"0,54€/kWh ",0.54,ok
2025-05,Cádiz,,7.4,AC,parking fee,,no_kwh
2025-05,Cádiz,,22.0,AC,,,empty
2025-05,Cádiz,,22.0,AC,"0,38€/kWh",0.38,ok
2025-05,Cádiz,,7.4,AC,Free,,free
2025-05,Cádiz,,22.0,AC,,,no_kwh
2025-05,Cádiz,,22.0,AC,,,empty
2025-05,Cádiz,,60.0,DC,"0,30€/kWh",0.3,ok
2025-05,Cádiz,,180.0,DC,"0,58€/kWh DC >60kW (0,40€/min parked without charging)",0.58,ok
2025-05,Cádiz,,11.0,AC,,,no_kwh
2025-05,Cádiz,,120.0,DC," 0,60€/kWh ",0.6,ok
2025-05,Cádiz,,50.0,DC," 0,60€/kWh ",0.6,ok
2025-05,Cádiz,,22.0,AC," 0,60€/kWh ",0.6,ok
2025-05,Cádiz,,22.0,AC,"0,25€/kWh",0.25,ok
2025-05,Cádiz,,7.4,AC,,,no_kwh
2025-05,Cádiz,,7.4,AC,free,,free
2025-05,Cádiz,,22.0,AC,€0/kWh,,no_kwh
2025-05,Cádiz,,2.3,AC,€0/kWh,,no_kwh
2025-05,Cádiz,,22.0,AC,,,empty
2025-05,Cádiz,,3.6,AC,,,empty
2025-05,Cádiz,,50.0,DC,"0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-05,Cádiz,,50.0,DC,"0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-05,Cádiz,,22.0,AC,"0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-05,Cádiz,,100.0,DC,0.55€kWh,0.55,ok
2025-05,Cádiz,,50.0,DC,0.55€kWh,0.55,ok
2025-05,Cádiz,,22.0,AC,0.55€kWh,0.55,ok
2025-05,Cádiz,,50.0,DC,"0,45€/kWh DC - 0,29€/kWh AC",0.45,ok
2025-05,Cádiz,,50.0,DC,"0,45€/kWh DC - 0,29€/kWh AC",0.45,ok
2025-05,Cádiz,,22.0,AC,"0,45€/kWh DC - 0,29€/kWh AC",0.45,ok
2025-05,Cádiz,,22.0,AC,,,no_kwh
2025-05,Cádiz,,11.0,AC,,,empty
2025-05,Cádiz,,50.0,DC,"0,45€/kWh DC ",0.45,ok
