month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-05,Córdoba,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Córdoba,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Córdoba,,43.0,DC,0.47€/kWh ,0.47,ok
2025-05,Córdoba,,50.0,DC,"0,45€/kWh 50 kW - 0,35€/kWh AC",0.45,ok
2025-05,Córdoba,,50.0,DC,"0,45€/kWh 50 kW - 0,35€/kWh AC",0.45,ok
2025-05,Córdoba,,22.0,AC,"0,45€/kWh 50 kW - 0,35€/kWh AC",0.45,ok
2025-05,Córdoba,,22.0,AC,"0,45€/kWh 50 kW - 0,35€/kWh AC",0.45,ok
2025-05,Córdoba,,22.0,AC,"0,25€/kWh",0.25,ok
2025-05,Córdoba,,150.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-05,Córdoba,,150.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-05,Córdoba,,120.0,DC,"0,43€/kWh DC - 0,32€/kWh AC",0.43,ok
2025-05,Córdoba,,22.0,AC,"0,43€/kWh DC - 0,32€/kWh AC",0.43,ok
2025-05,Córdoba,,22.0,AC,"0,25€/kWh",0.25,ok
2025-05,Córdoba,,50.0,DC,"0,45€/kWh",0.45,ok
2025-05,Córdoba,,50.0,DC,"0,45€/kWh",0.45,ok
2025-05,Córdoba,,43.0,DC,"0,45€/kWh",0.45,ok
2025-05,Córdoba,,60.0,DC,"0,45€/kWh DC - 0,29€/kWh AC",0.45,ok
2025-05,Córdoba,,60.0,DC,"0,45€/kWh DC - 0,29€/kWh AC",0.45,ok
2025-05,Córdoba,,22.0,AC,"0,45€/kWh DC - 0,29€/kWh AC",0.45,ok
2025-05,Córdoba,,22.0,AC,free,,free
2025-05,Córdoba,,60.0,DC,"0,30€/kWh",0.3,ok
2025-05,Córdoba,,22.0,AC,"0,25€/kWh",0.25,ok
2025-05,Córdoba,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Córdoba,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Córdoba,,43.0,DC,0.47€/kWh ,0.47,ok
2025-05,Córdoba,,100.0,DC,"0,43€/kWh DC - 0,32€/kWh AC",0.43,ok
2025-05,Córdoba,,22.0,AC,"0,43€/kWh DC - 0,32€/kWh AC",0.43,ok
2025-05,Córdoba,,150.0,DC,"0,55€/kWh DC ",0.55,ok
2025-05,Córdoba,,150.0,DC,"0,55€/kWh DC ",0.55,ok
2025-05,Córdoba,,150.0,DC,"0,55€/kWh DC ",0.55,ok
2025-05,Córdoba,,150.0,DC,"0,55€/kWh DC ",0.55,ok
2025-05,Córdoba,,7.4,AC,,,no_kwh
2025-05,Córdoba,,3.7,AC,,,no_kwh
2025-05,Córdoba,,150.0,DC,"0,60€/kWh",0.6,ok
2025-05,Córdoba,,22.0,AC,"0,45€/kWh",0.45,ok
2025-05,Córdoba,,22.0,AC,"0,45€/kWh",0.45,ok
2025-05,Córdoba,,360.0,DC,"0,69€/kWh >200kW - 0,54€/kWh 80-200kW",0.69,ok
2025-05,Córdoba,,180.0,DC,"0,69€/kWh >200kW - 0,54€/kWh 80-200kW",0.69,ok
2025-05,Córdoba,,120.0,DC,"0,43€/kWh DC - 0,32€/kWh AC",0.43,ok
2025-05,Córdoba,,22.0,AC,"0,43€/kWh DC - 0,32€/kWh AC",0.43,ok
2025-05,Córdoba,,30.0,DC,"0,43€/kWh DC - 0,32€/kWh AC",0.43,ok
2025-05,Córdoba,,150.0,DC,"0,43€/kWh DC - 0,32€/kWh AC",0.43,ok
2025-05,Córdoba,,22.0,AC,"0,43€/kWh DC - 0,32€/kWh AC",0.43,ok
2025-05,Córdoba,,11.0,AC,Free,,free
2025-05,Córdoba,,22.0,AC,,,empty
2025-05,Córdoba,,7.4,AC,"0,24€/kW + parking fee",,no_kwh
2025-05,Córdoba,,22.0,AC,,,no_kwh
2025-05,Córdoba,,50.0,DC,"0.48€/kWh Dc - 0,41€/kWh AC",0.48,ok
2025-05,Córdoba,,50.0,DC,"0.48€/kWh Dc - 0,41€/kWh AC",0.48,ok
2025-05,Córdoba,,22.0,AC,"0.48€/kWh Dc - 0,41€/kWh AC",0.48,ok
2025-05,Córdoba,,7.4,AC,,,no_kwh
2025-05,Córdoba,,3.7,AC,,,no_kwh
2025-05,Córdoba,,22.0,AC,free,,free
2025-05,Córdoba,,22.0,AC,"0,45€/kWh",0.45,ok
2025-05,Córdoba,,22.0,AC,,,no_kwh
2025-05,Córdoba,,22.0,AC,free,,free
2025-05,Córdoba,,22.0,AC,free,,free
2025-05,Córdoba,,22.0,AC,"0,25€/kWh",0.25,ok
2025-05,Córdoba,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Córdoba,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Córdoba,,43.0,DC,0.47€/kWh ,0.47,ok
2025-05,Córdoba,,22.0,AC,,,no_kwh
2025-05,Córdoba,,22.0,AC,,,no_kwh
2025-05,Córdoba,,22.0,AC,,,no_kwh
2025-05,Córdoba,,22.0,AC,free,,free
2025-05,Córdoba,,22.0,AC,,,empty
2025-05,Córdoba,,22.0,AC,"0,25€/kWh",0.25,ok
2025-05,Córdoba,,22.0,AC,,,no_kwh
2025-05,Córdoba,,22.0,AC,,,no_kwh
2025-05,Córdoba,,22.0,AC,"0,25€/kWh",0.25,ok
2025-05,Córdoba,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Córdoba,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Córdoba,,43.0,DC,0.47€/kWh ,0.47,ok
2025-05,Córdoba,,11.0,AC,,,empty
2025-05,Córdoba,,22.0,AC,free,,free
2025-05,Córdoba,,22.0,AC,,,no_kwh
2025-05,Córdoba,,22.0,AC,,,no_kwh
2025-05,Córdoba,,7.4,AC,"0,39€/kWh ",0.39,ok
2025-05,Córdoba,,22.0,AC,,,no_kwh
2025-05,Córdoba,,22.0,AC,free,,free
2025-05,Córdoba,,60.0,DC,"0,50€/kWh DC - 0,39€/kWh AC",0.5,ok
2025-05,Córdoba,,22.0,AC,"0,50€/kWh DC - 0,39€/kWh AC",0.5,ok
2025-05,Córdoba,,22.0,AC,,,no_kwh
2025-05,Córdoba,,22.0,AC,"0,45€/kWh",0.45,ok
2025-05,Córdoba,,22.0,AC,"0,25€/kWh AC",0.25,ok
2025-05,Córdoba,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Córdoba,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Córdoba,,43.0,DC,0.47€/kWh ,0.47,ok
2025-05,Córdoba,,22.0,AC,"0,45€/kWh AC",0.45,ok
2025-05,Córdoba,,50.0,DC,0.45€/kWh ,0.45,ok
2025-05,Córdoba,,50.0,DC,0.45€/kWh ,0.45,ok
2025-05,Córdoba,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-05,Córdoba,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-05,Córdoba,,43.0,DC,"0,47€/kWh ",0.47,ok
2025-05,Córdoba,,50.0,DC,"0,45€/kWh",0.45,ok
2025-05,Córdoba,,50.0,DC,"0,45€/kWh",0.45,ok
2025-05,Córdoba,,3.7,AC,,,empty
2025-05,Córdoba,,22.0,AC,"0,25€/kWh",0.25,ok
2025-05,Córdoba,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-05,Córdoba,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-05,Córdoba,,43.0,DC,"0,47€/kWh ",0.47,ok
2025-05,Córdoba,,11.0,AC,,,no_kwh
2025-05,Córdoba,,120.0,DC,"0,55€/kWh DC 0,39€/kWh AC",0.55,ok
