month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-03,Gipuzkoa,,7.4,AC,"0,42€/kWh",0.42,ok
2025-03,Gipuzkoa,,22.0,AC,"0,43€/kWh",0.43,ok
2025-03,Gipuzkoa,,14.0,AC,,,empty
2025-03,Gipuzkoa,,11.0,AC,,,empty
2025-03,Gipuzkoa,,3.7,AC,,,no_kwh
2025-03,Gipuzkoa,,7.4,AC,,,empty
2025-03,Gipuzkoa,,22.0,AC,free,,free
2025-03,Gipuzkoa,,3.7,AC,,,empty
2025-03,Gipuzkoa,,11.0,AC,,,no_kwh
2025-03,Gipuzkoa,,50.0,DC,"0,45€/kWh",0.45,ok
2025-03,Gipuzkoa,,50.0,DC,"0,45€/kWh",0.45,ok
2025-03,Gipuzkoa,,50.0,DC,,,no_kwh
2025-03,Gipuzkoa,,22.0,AC,"0,25€/kWh",0.25,ok
2025-03,Gipuzkoa,,3.7,AC,,,empty
2025-03,Gipuzkoa,,3.7,AC,,,empty
2025-03,Gipuzkoa,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-03,Gipuzkoa,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-03,Gipuzkoa,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-03,Gipuzkoa,,22.0,AC," 0,35€/kWh",0.35,ok
2025-03,Gipuzkoa,,7.4,AC,"0,30€/kWh",0.3,ok
2025-03,Gipuzkoa,,7.4,AC,,,empty
2025-03,Gipuzkoa,,3.7,AC,,,empty
2025-03,Gipuzkoa,,3.7,AC,,,empty
2025-03,Gipuzkoa,,120.0,DC,"0,55€/kWh DC 0,39€/kWh AC",0.55,ok
2025-03,Gipuzkoa,,22.0,AC,"0,55€/kWh DC 0,39€/kWh AC",0.55,ok
2025-03,Gipuzkoa,,50.0,DC,0.47€/kWh ,0.47,ok
2025-03,Gipuzkoa,,50.0,DC,0.47€/kWh ,0.47,ok
2025-03,Gipuzkoa,,43.0,DC,0.47€/kWh ,0.47,ok
