month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-09,Girona,,22.0,AC,free,,free
2025-09,Girona,,22.0,AC,free,,free
2025-09,Girona,,17.0,AC,,,empty
2025-09,Girona,,11.0,AC,,,empty
2025-09,Girona,,22.0,AC,free,,free
2025-09,Girona,,22.0,AC,free,,free
2025-09,Girona,,60.0,DC,"0,43€/kWh DC - 0,35kWh AC",0.43,ok
2025-09,Girona,,11.0,AC,"0,43€/kWh DC - 0,35kWh AC",0.43,ok
2025-09,Girona,,22.0,AC,,,empty
2025-09,Girona,,11.0,AC,,,empty
2025-09,Girona,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Girona,,11.0,AC,,,no_kwh
2025-09,Girona,,3.7,AC,,,no_kwh
2025-09,Girona,,120.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Girona,,22.0,AC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Girona,,22.0,AC,free charging,,free
2025-09,Girona,,3.7,AC,free charging,,free
2025-09,Girona,,7.4,AC,free,,free
2025-09,Girona,,3.7,AC,Free,,free
2025-09,Girona,,7.4,AC,Free,,free
2025-09,Girona,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Girona,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Girona,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Girona,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Girona,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Girona,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Girona,,22.0,AC,,,empty
2025-09,Girona,,3.7,AC,,,empty
2025-09,Girona,,22.0,AC,"0,60€/kWh",0.6,ok
2025-09,Girona,,7.4,AC,"0,24€/kWh",0.24,ok
2025-09,Girona,,22.0,AC,"0,60€/kWh",0.6,ok
2025-09,Girona,,22.0,AC,,,no_kwh
2025-09,Girona,,50.0,DC,,,empty
2025-09,Girona,,50.0,DC,,,empty
2025-09,Girona,,43.0,DC,,,empty
2025-09,Girona,,50.0,DC,"0,42€/kWh 50 kW - 0,38€/kWh AC",0.42,ok
2025-09,Girona,,48.0,DC,"0,42€/kWh 50 kW - 0,38€/kWh AC",0.42,ok
2025-09,Girona,,22.0,AC,"0,42€/kWh 50 kW - 0,38€/kWh AC",0.42,ok
2025-09,Girona,,22.0,AC,"0,42€/kWh 50 kW - 0,38€/kWh AC",0.42,ok
2025-09,Girona,,7.4,AC,free,,free
2025-09,Girona,,22.0,AC,free,,free
2025-09,Girona,,50.0,DC,,,empty
2025-09,Girona,,50.0,DC,,,empty
2025-09,Girona,,43.0,DC,,,empty
2025-09,Girona,,22.0,AC,"0,38€/kWh ",0.38,ok
2025-09,Girona,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Girona,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Girona,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Girona,,22.0,AC,Free,,free
2025-09,Girona,,7.0,AC,Free,,free
2025-09,Girona,,3.7,AC,Free,,free
2025-09,Girona,,3.7,AC,Free,,free
2025-09,Girona,,22.0,AC,free,,free
2025-09,Girona,,22.0,AC,free,,free
2025-09,Girona,,3.7,AC,,,empty
2025-09,Girona,,3.7,AC,,,empty
2025-09,Girona,,100.0,DC,"0,46€/kWh",0.46,ok
2025-09,Girona,,22.0,AC,"0,46€/kWh",0.46,ok
2025-09,Girona,,22.0,AC,,,empty
2025-09,Girona,,11.0,AC,,,empty
2025-09,Girona,,5.0,AC,free,,free
2025-09,Girona,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Girona,,160.0,DC,"0,65€/kWh",0.65,ok
2025-09,Girona,,80.0,DC,"0,65€/kWh",0.65,ok
2025-09,Girona,,400.0,DC,"0,55€/kWh DC ",0.55,ok
2025-09,Girona,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Girona,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Girona,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Girona,,22.0,AC,,,no_kwh
2025-09,Girona,,3.7,AC,,,no_kwh
2025-09,Girona,,7.4,AC,,,empty
2025-09,Girona,,22.0,AC,Free,,free
2025-09,Girona,,3.7,AC,Free,,free
2025-09,Girona,,50.0,DC,0.35,,no_kwh
2025-09,Girona,,43.0,DC,0.35,,no_kwh
2025-09,Girona,,50.0,DC,0.35,,no_kwh
2025-09,Girona,,22.0,AC,1€ / hora,,no_kwh
2025-09,Girona,,22.0,AC,free,,free
2025-09,Girona,,50.0,DC,free,,free
2025-09,Girona,,50.0,DC,free,,free
2025-09,Girona,,43.0,DC,free,,free
2025-09,Girona,,22.0,AC,free,,free
2025-09,Girona,,80.0,DC,"0,35€/kWh",0.35,ok
2025-09,Girona,,150.0,DC,"0,35€/kWh",0.35,ok
2025-09,Girona,,22.0,AC,"0,35€/kWh",0.35,ok
2025-09,Girona,,22.0,AC,free,,free
2025-09,Girona,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Girona,,16.0,AC,,,empty
2025-09,Girona,,50.0,DC,"0,45€/kWh",0.45,ok
2025-09,Girona,,50.0,DC,"0,45€/kWh",0.45,ok
2025-09,Girona,,43.0,DC,"0,45€/kWh",0.45,ok
2025-09,Girona,,50.0,DC,0,,no_kwh
2025-09,Girona,,50.0,DC,0,,no_kwh
2025-09,Girona,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Girona,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Girona,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Girona,,3.7,AC,,,empty
2025-09,Girona,,22.0,AC,free,,free
2025-09,Girona,,22.0,AC,free,,free
2025-09,Girona,,22.0,AC,free,,free
2025-09,Girona,,50.0,DC,"0,36€/kWh",0.36,ok
2025-09,Girona,,50.0,DC,"0,36€/kWh",0.36,ok
2025-09,Girona,,43.0,DC,"0,36€/kWh",0.36,ok
2025-09,Girona,,50.0,DC,"0,36€/kWh",0.36,ok
2025-09,Girona,,50.0,DC,"0,36€/kWh",0.36,ok
2025-09,Girona,,43.0,DC,"0,36€/kWh",0.36,ok
2025-09,Girona,,50.0,DC,"0,36€/kWh",0.36,ok
2025-09,Girona,,50.0,DC,"0,36€/kWh",0.36,ok
2025-09,Girona,,43.0,DC,"0,36€/kWh",0.36,ok
2025-09,Girona,,22.0,AC,"0,39€/kWh",0.39,ok
2025-09,Girona,,22.0,AC,"0,39€/kWh",0.39,ok
2025-09,Girona,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Girona,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Girona,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Girona,,22.0,AC,"0,39€/kWh",0.39,ok
2025-09,Girona,,50.0,DC,"0,36€/kWh",0.36,ok
2025-09,Girona,,50.0,DC,"0,36€/kWh",0.36,ok
2025-09,Girona,,43.0,DC,"0,36€/kWh",0.36,ok
2025-09,Girona,,50.0,DC,"0,35€/kWh",0.35,ok
2025-09,Girona,,50.0,DC,"0,35€/kWh",0.35,ok
2025-09,Girona,,22.0,AC,"0,35€/kWh",0.35,ok
2025-09,Girona,,50.0,DC,"0,35€/kWh",0.35,ok
