month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-06,Huesca,,100.0,DC,"0,50€/kWh 150kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-06,Huesca,,50.0,DC,"0,50€/kWh 150kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-06,Huesca,,22.0,AC,"0,50€/kWh 150kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-06,Huesca,,7.4,AC,"0,20€/kWh",0.2,ok
2025-06,Huesca,,100.0,DC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,30€/kWh AC",0.5,ok
2025-06,Huesca,,50.0,DC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,30€/kWh AC",0.5,ok
2025-06,Huesca,,22.0,AC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,30€/kWh AC",0.5,ok
2025-06,Huesca,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Huesca,,7.4,AC,"0,40€/kWh",0.4,ok
2025-06,Huesca,,22.0,AC,,,no_kwh
2025-06,Huesca,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Huesca,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Huesca,,43.0,DC,0.47€/kWh ,0.47,ok
2025-06,Huesca,,3.7,AC,,,no_kwh
2025-06,Huesca,,22.0,AC,"0,36€/kWh",0.36,ok
2025-06,Huesca,,3.7,AC,Free,,free
2025-06,Huesca,,11.0,AC,Free,,free
2025-06,Huesca,,7.0,AC,Free,,free
2025-06,Huesca,,120.0,DC,"0,54€/kWh DC - 0,36€/kWh AC",0.54,ok
2025-06,Huesca,,11.0,AC,,,no_kwh
2025-06,Huesca,,60.0,DC,"0,47€/kWh",0.47,ok
2025-06,Huesca,,22.0,AC,"0,47€/kWh",0.47,ok
2025-06,Huesca,,3.7,AC,,,empty
2025-06,Huesca,,22.0,AC,"0,39€/kWh",0.39,ok
2025-06,Huesca,,22.0,AC,"0,39€/kWh",0.39,ok
2025-06,Huesca,,3.7,AC,,,no_kwh
2025-06,Huesca,,7.4,AC,,,no_kwh
2025-06,Huesca,,3.7,AC,,,empty
2025-06,Huesca,,11.0,AC,,,empty
2025-06,Huesca,,3.7,AC,,,no_kwh
2025-06,Huesca,,3.7,AC,,,no_kwh
2025-06,Huesca,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Huesca,,11.0,AC,,,no_kwh
2025-06,Huesca,,22.0,AC,"0,30€/kWh ",0.3,ok
2025-06,Huesca,,3.0,AC,,,no_kwh
2025-06,Huesca,,14.0,AC,,,empty
2025-06,Huesca,,50.0,DC,"0,45€/kWh",0.45,ok
2025-06,Huesca,,50.0,DC,"0,45€/kWh",0.45,ok
2025-06,Huesca,,43.0,DC,"0,45€/kWh",0.45,ok
