month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-06,Jaén,,7.4,AC,,,no_kwh
2025-06,Jaén,,150.0,DC," 0,55€/kWh DC 150kW - 0,49€/kWh AC ",0.55,ok
2025-06,Jaén,,60.0,DC," 0,55€/kWh DC 150kW - 0,49€/kWh AC ",0.55,ok
2025-06,Jaén,,100.0,DC,"0,56€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-06,Jaén,,22.0,AC,"0,56€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-06,Jaén,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Jaén,,50.0,DC,"0,45€/kWh",0.45,ok
2025-06,Jaén,,50.0,DC,"0,45€/kWh",0.45,ok
2025-06,Jaén,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Jaén,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Jaén,,43.0,DC,0.47€/kWh ,0.47,ok
2025-06,Jaén,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Jaén,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Jaén,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Jaén,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Jaén,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Jaén,,43.0,DC,0.47€/kWh ,0.47,ok
2025-06,Jaén,,7.4,AC,"0,36€/kWh",0.36,ok
2025-06,Jaén,,60.0,DC,"0,54€/kWh",0.54,ok
2025-06,Jaén,,7.4,AC,"0,08€/kWh",0.08,ok
2025-06,Jaén,,3.7,AC,,,no_kwh
2025-06,Jaén,,3.7,AC,,,no_kwh
2025-06,Jaén,,100.0,DC,"0,54€/kWh",0.54,ok
2025-06,Jaén,,100.0,DC,"0,54€/kWh",0.54,ok
2025-06,Jaén,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Jaén,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Jaén,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Jaén,,43.0,DC,0.47€/kWh ,0.47,ok
2025-06,Jaén,,22.0,AC,free,,free
2025-06,Jaén,,100.0,DC,"0,54€/kWh",0.54,ok
2025-06,Jaén,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Jaén,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Jaén,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Jaén,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Jaén,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Jaén,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Jaén,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Jaén,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Jaén,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Jaén,,100.0,DC,"0,56€/kWh DC 100-50 kW - 0,41€/kWh AC",0.56,ok
2025-06,Jaén,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Jaén,,150.0,DC,"0,54 €/kWh",0.54,ok
2025-06,Jaén,,80.0,DC,"0,54 €/kWh",0.54,ok
2025-06,Jaén,,300.0,DC," 0,55€/kWh ",0.55,ok
2025-06,Jaén,,120.0,DC,"0,39€/kWh DC - 0,32€/kWh AC",0.39,ok
2025-06,Jaén,,22.0,AC,"0,39€/kWh DC - 0,32€/kWh AC",0.39,ok
2025-06,Jaén,,50.0,DC,"0,45 €/kWh",0.45,ok
2025-06,Jaén,,50.0,DC,"0,45 €/kWh",0.45,ok
2025-06,Jaén,,22.0,AC,"0,45€/kWh",0.45,ok
2025-06,Jaén,,50.0,DC,"0,47€/kWh",0.47,ok
2025-06,Jaén,,50.0,DC,"0,47€/kWh",0.47,ok
2025-06,Jaén,,43.0,DC,"0,47€/kWh",0.47,ok
2025-06,Jaén,,100.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-06,Jaén,,100.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-06,Jaén,,350.0,DC,"0,65€/kWh (or subscription rates) ",0.65,ok
2025-06,Jaén,,250.0,DC,,,empty
2025-06,Jaén,,22.0,AC,"0,5€/kWh",0.5,ok
2025-06,Jaén,,11.0,AC,,,no_kwh
2025-06,Jaén,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Jaén,,3.7,AC,,,empty
2025-06,Jaén,,22.0,AC,free,,free
2025-06,Jaén,,22.0,AC,free,,free
2025-06,Jaén,,22.0,AC,,,no_kwh
2025-06,Jaén,,3.7,AC,,,empty
2025-06,Jaén,,22.0,AC,,,no_kwh
2025-06,Jaén,,3.7,AC,,,no_kwh
2025-06,Jaén,,11.0,AC,,,no_kwh
2025-06,Jaén,,22.0,AC,,,no_kwh
2025-06,Jaén,,3.7,AC,,,no_kwh
2025-06,Jaén,,7.4,AC,,,no_kwh
2025-06,Jaén,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-06,Jaén,,43.0,DC,"0,47€/kWh ",0.47,ok
2025-06,Jaén,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-06,Jaén,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Jaén,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Jaén,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Jaén,,22.0,AC,free,,free
2025-06,Jaén,,100.0,DC,,,no_kwh
2025-06,Jaén,,50.0,DC,,,no_kwh
2025-06,Jaén,,22.0,AC,,,no_kwh
2025-06,Jaén,,22.0,AC,,,no_kwh
2025-06,Jaén,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Jaén,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Jaén,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Jaén,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Jaén,,3.7,AC,,,empty
2025-06,Jaén,,22.0,AC,,,no_kwh
2025-06,Jaén,,22.0,AC,"0,58€/kWh",0.58,ok
2025-06,Jaén,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-06,Jaén,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-06,Jaén,,22.0,AC,,,no_kwh
2025-06,Jaén,,22.0,AC,free,,free
2025-06,Jaén,,150.0,DC," 0,54€/kWh ",0.54,ok
2025-06,Jaén,,350.0,DC,"0,65€/kWh (or subscription rates) ",0.65,ok
2025-06,Jaén,,50.0,DC,"0,45€/kWh",0.45,ok
2025-06,Jaén,,50.0,DC,"0,45€/kWh",0.45,ok
2025-06,Jaén,,43.0,DC,"0,45€/kWh",0.45,ok
2025-06,Jaén,,28.8,DC,Free for Nissan cars,,free
2025-06,Jaén,,7.4,AC,,,no_kwh
2025-06,Jaén,,50.0,DC,"0,47€/kWh",0.47,ok
2025-06,Jaén,,50.0,DC,"0,47€/kWh",0.47,ok
2025-06,Jaén,,43.0,DC,"0,47€/kWh",0.47,ok
2025-06,Jaén,,3.7,AC,,,no_kwh
2025-06,Jaén,,22.0,AC,,,no_kwh
2025-06,Jaén,,22.0,AC,"0,32€/kWh",0.32,ok
2025-06,Jaén,,22.0,AC,,,no_kwh
2025-06,Jaén,,22.0,AC,"0,49€/kWh + parking fee",0.49,ok
2025-06,Jaén,,22.0,AC,"0,49€/kWh + parking fee",0.49,ok
2025-06,Jaén,,22.0,AC,"0,49€/kWh + parking fee",0.49,ok
2025-06,Jaén,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Jaén,,50.0,DC," 0,45€/kWh ",0.45,ok
2025-06,Jaén,,50.0,DC," 0,45€/kWh ",0.45,ok
2025-06,Jaén,,3.2,AC,,,empty
2025-06,Jaén,,11.0,AC,,,empty
2025-06,Jaén,,11.0,AC,,,empty
2025-06,Jaén,,22.0,AC,"0,49€/kWh + parking fee",0.49,ok
2025-06,Jaén,,22.0,AC,,,no_kwh
2025-06,Jaén,,3.7,AC,,,no_kwh
2025-06,Jaén,,22.0,AC,"0,49€/kWh + parking fee",0.49,ok
2025-06,Jaén,,22.0,AC,"0,40€/kWh",0.4,ok
2025-06,Jaén,,22.0,AC,,,no_kwh
2025-06,Jaén,,3.7,AC,"0,25€/kWh",0.25,ok
2025-06,Jaén,,250.0,DC,,,empty
2025-06,Jaén,,3.7,AC,"0,25€/kWh",0.25,ok
2025-06,Jaén,,3.7,AC,"0,25€/kWh",0.25,ok
2025-06,Jaén,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Jaén,,50.0,DC,"0,46€/kWh",0.46,ok
2025-06,Jaén,,50.0,DC,"0,46€/kWh",0.46,ok
2025-06,Jaén,,11.0,AC,,,no_kwh
2025-06,Jaén,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Jaén,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Jaén,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Jaén,,22.0,AC,"0,26€/kWh",0.26,ok
2025-06,Jaén,,3.7,AC,,,empty
2025-06,Jaén,,3.7,AC,,,empty
2025-06,Jaén,,3.7,AC,,,empty
2025-06,Jaén,,22.0,AC,free,,free
2025-06,Jaén,,150.0,DC,"0,32€/kWh",0.32,ok
2025-06,Jaén,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Jaén,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Jaén,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Jaén,,43.0,DC,0.47€/kWh ,0.47,ok
2025-06,Jaén,,22.0,AC,,,no_kwh
2025-06,Jaén,,180.0,DC,"0,58€/kWh DC >60kW (0,40€/min parked without charging)",0.58,ok
2025-06,Jaén,,70.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-06,Jaén,,22.0,AC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
