month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-02,Las Palmas,,22.0,AC,"0,38€/kWh",0.38,ok
2025-02,Las Palmas,,7.4,AC,"0,38€/kWh",0.38,ok
2025-02,Las Palmas,,7.4,AC,,,no_kwh
2025-02,Las Palmas,,3.7,AC,,,no_kwh
2025-02,Las Palmas,,7.4,AC,"0,39€/kWh",0.39,ok
2025-02,Las Palmas,,11.0,AC,"0,25€/kWh",0.25,ok
2025-02,Las Palmas,,50.0,DC,,,empty
2025-02,Las Palmas,,3.7,AC,free,,free
2025-02,Las Palmas,,11.0,AC,,,no_kwh
2025-02,Las Palmas,,22.0,AC,,,empty
2025-02,Las Palmas,,7.4,AC,,,no_kwh
2025-02,Las Palmas,,3.7,AC,,,no_kwh
2025-02,Las Palmas,,3.7,AC,,,no_kwh
2025-02,Las Palmas,,2.3,AC,,,no_kwh
2025-02,Las Palmas,,22.0,AC,"0,35€/kWh",0.35,ok
2025-02,Las Palmas,,22.0,AC,,,no_kwh
2025-02,Las Palmas,,22.0,AC,,,no_kwh
2025-02,Las Palmas,,3.7,AC,,,no_kwh
2025-02,Las Palmas,,22.0,AC,"0,15€/kWh",0.15,ok
2025-02,Las Palmas,,3.7,AC,"0,15€/kWh",0.15,ok
2025-02,Las Palmas,,11.0,AC,,,no_kwh
2025-02,Las Palmas,,3.7,AC,,,no_kwh
2025-02,Las Palmas,,11.0,AC,,,no_kwh
2025-02,Las Palmas,,7.4,AC,,,no_kwh
2025-02,Las Palmas,,22.0,AC,,,no_kwh
2025-02,Las Palmas,,7.4,AC,,,no_kwh
2025-02,Las Palmas,,3.7,AC,,,no_kwh
2025-02,Las Palmas,,7.4,AC,,,no_kwh
2025-02,Las Palmas,,3.7,AC,,,no_kwh
2025-02,Las Palmas,,11.0,AC,,,no_kwh
2025-02,Las Palmas,,22.0,AC,"0,21€/kWh",0.21,ok
2025-02,Las Palmas,,60.0,DC," 0,49€/kWh  DC - 0,39€/kWh AC ",0.49,ok
2025-02,Las Palmas,,22.0,AC," 0,49€/kWh  DC - 0,39€/kWh AC ",0.49,ok
2025-02,Las Palmas,,100.0,DC,"0,60€/kWh DC - 0,43€/kWh AC",0.6,ok
2025-02,Las Palmas,,50.0,DC,"0,60€/kWh DC - 0,43€/kWh AC",0.6,ok
2025-02,Las Palmas,,22.0,AC,"0,60€/kWh DC - 0,43€/kWh AC",0.6,ok
2025-02,Las Palmas,,11.0,AC,"0,25€/kWh",0.25,ok
2025-02,Las Palmas,,7.4,AC,"0,39€/kWh",0.39,ok
2025-02,Las Palmas,,50.0,DC,,,no_kwh
2025-02,Las Palmas,,50.0,DC,,,no_kwh
2025-02,Las Palmas,,22.0,AC,,,no_kwh
2025-02,Las Palmas,,30.0,DC,"0,39€/kWh AC",0.39,ok
2025-02,Las Palmas,,22.0,AC,parking fee,,no_kwh
2025-02,Las Palmas,,22.0,AC,,,no_kwh
2025-02,Las Palmas,,7.4,AC,free,,free
2025-02,Las Palmas,,7.4,AC,free,,free
2025-02,Las Palmas,,22.0,AC,"0,15€/kwh",0.15,ok
2025-02,Las Palmas,,22.0,AC,"0,41€/kWh",0.41,ok
2025-02,Las Palmas,,11.0,AC,,,no_kwh
2025-02,Las Palmas,,22.0,AC,"0,21€/kWh",0.21,ok
2025-02,Las Palmas,,50.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-02,Las Palmas,,22.0,AC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-02,Las Palmas,,50.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-02,Las Palmas,,7.4,AC,"0,39€/kWh",0.39,ok
2025-02,Las Palmas,,22.0,AC,"0,33€/kWh ",0.33,ok
2025-02,Las Palmas,,7.4,AC,"0,40€/kWh",0.4,ok
2025-02,Las Palmas,,22.0,AC,,,no_kwh
2025-02,Las Palmas,,3.7,AC,,,no_kwh
2025-02,Las Palmas,,3.7,AC,10€,,no_kwh
2025-02,Las Palmas,,22.0,AC,,,no_kwh
2025-02,Las Palmas,,7.4,AC,,,no_kwh
2025-02,Las Palmas,,3.7,AC,,,no_kwh
2025-02,Las Palmas,,7.4,AC,free,,free
2025-02,Las Palmas,,22.0,AC,,,no_kwh
2025-02,Las Palmas,,3.7,AC,free,,free
2025-02,Las Palmas,,2.3,AC,free,,free
2025-02,Las Palmas,,7.4,AC,,,no_kwh
2025-02,Las Palmas,,22.0,AC,,,no_kwh
2025-02,Las Palmas,,50.0,DC,,,no_kwh
2025-02,Las Palmas,,50.0,DC,,,no_kwh
2025-02,Las Palmas,,43.0,DC,,,no_kwh
2025-02,Las Palmas,,43.0,DC,"0,45€/kWh DC - 0,35€/kWh AC",0.45,ok
2025-02,Las Palmas,,50.0,DC,"0,45€/kWh DC - 0,35€/kWh AC",0.45,ok
2025-02,Las Palmas,,50.0,DC,"0,45€/kWh DC - 0,35€/kWh AC",0.45,ok
2025-02,Las Palmas,,50.0,DC,Free,,free
2025-02,Las Palmas,,22.0,AC,Free,,free
2025-02,Las Palmas,,50.0,DC,Free,,free
2025-02,Las Palmas,,22.0,AC,Free,,free
2025-02,Las Palmas,,7.4,AC,,,no_kwh
2025-02,Las Palmas,,3.7,AC,free,,free
2025-02,Las Palmas,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-02,Las Palmas,,43.0,DC,"0,45€/kWh ",0.45,ok
2025-02,Las Palmas,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-02,Las Palmas,,22.0,AC,"0,21€/kWh",0.21,ok
2025-02,Las Palmas,,180.0,DC,"0,58€/kWh DC >60kW (0,40€/min parked without charging)",0.58,ok
2025-02,Las Palmas,,7.4,AC,Free,,free
2025-02,Las Palmas,,7.4,AC,,,no_kwh
2025-02,Las Palmas,,3.7,AC,,,no_kwh
2025-02,Las Palmas,,22.0,AC,,,no_kwh
2025-02,Las Palmas,,22.0,AC,,,no_kwh
2025-02,Las Palmas,,22.0,AC,,,no_kwh
2025-02,Las Palmas,,22.0,AC,parking fee,,no_kwh
2025-02,Las Palmas,,22.0,AC,,,no_kwh
2025-02,Las Palmas,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-02,Las Palmas,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-02,Las Palmas,,43.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-02,Las Palmas,,7.4,AC,,,no_kwh
2025-02,Las Palmas,,22.0,AC,,,no_kwh
2025-02,Las Palmas,,7.4,AC,,,no_kwh
2025-02,Las Palmas,,3.7,AC,,,no_kwh
2025-02,Las Palmas,,22.0,AC,,,no_kwh
2025-02,Las Palmas,,3.7,AC,,,no_kwh
2025-02,Las Palmas,,22.0,AC,,,no_kwh
2025-02,Las Palmas,,7.4,AC,,,empty
2025-02,Las Palmas,,50.0,DC,,,no_kwh
2025-02,Las Palmas,,50.0,DC,,,no_kwh
2025-02,Las Palmas,,22.0,AC,,,no_kwh
2025-02,Las Palmas,,50.0,DC,"0,49€/kWh DC - 0,39€/kWh AC ",0.49,ok
2025-02,Las Palmas,,50.0,DC,"0,49€/kWh DC - 0,39€/kWh AC ",0.49,ok
