month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-09,Lleida,,22.0,AC,"0,39€/kWh + parking fee",0.39,ok
2025-09,Lleida,,22.0,AC,"0,39€/kWh + parking fee",0.39,ok
2025-09,Lleida,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Lleida,,22.0,AC,free,,free
2025-09,Lleida,,2.3,AC,free,,free
2025-09,Lleida,,50.0,DC,,,no_kwh
2025-09,Lleida,,22.0,AC,,,no_kwh
2025-09,Lleida,,50.0,DC,,,no_kwh
2025-09,Lleida,,22.0,AC,"0,40€/kWh",0.4,ok
2025-09,Lleida,,22.0,AC,,,empty
2025-09,Lleida,,22.0,AC,,,empty
2025-09,Lleida,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Lleida,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Lleida,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Lleida,,22.0,AC,,,empty
2025-09,Lleida,,7.4,AC,,,empty
2025-09,Lleida,,15.0,AC," 0,36€/kWh ",0.36,ok
2025-09,Lleida,,15.0,AC," 0,36€/kWh ",0.36,ok
2025-09,Lleida,,15.0,AC," 0,36€/kWh ",0.36,ok
2025-09,Lleida,,11.0,AC,,,empty
2025-09,Lleida,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Lleida,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Lleida,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Lleida,,22.0,AC,free,,free
2025-09,Lleida,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Lleida,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Lleida,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Lleida,,22.0,AC,free,,free
2025-09,Lleida,,22.0,AC,,,no_kwh
2025-09,Lleida,,50.0,DC,"0,35 €/Kw DC / 0,25 €/Kw AC",,no_kwh
2025-09,Lleida,,22.0,AC,"0,35 €/Kw DC / 0,25 €/Kw AC",,no_kwh
2025-09,Lleida,,50.0,DC,"0,35 €/Kw DC / 0,25 €/Kw AC",,no_kwh
2025-09,Lleida,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Lleida,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Lleida,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Lleida,,60.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Lleida,,50.0,DC,"0,47€/kWh",0.47,ok
2025-09,Lleida,,50.0,DC,"0,47€/kWh",0.47,ok
2025-09,Lleida,,22.0,AC,"0,47€/kWh",0.47,ok
2025-09,Lleida,,22.0,AC,"0,29€/kWh",0.29,ok
2025-09,Lleida,,50.0,DC,,,empty
2025-09,Lleida,,50.0,DC,,,empty
2025-09,Lleida,,44.3,DC,,,empty
2025-09,Lleida,,3.7,AC,Free,,free
2025-09,Lleida,,50.0,DC,"0,47€/kWh",0.47,ok
2025-09,Lleida,,43.0,DC,"0,47€/kWh",0.47,ok
2025-09,Lleida,,50.0,DC,"0,47€/kWh",0.47,ok
2025-09,Lleida,,22.0,AC,"€0,29/kWh",,no_kwh
2025-09,Lleida,,50.0,DC,,,no_kwh
2025-09,Lleida,,50.0,DC,,,no_kwh
2025-09,Lleida,,43.0,DC,,,no_kwh
2025-09,Lleida,,60.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Lleida,,100.0,DC,"0,55€/kWh",0.55,ok
2025-09,Lleida,,350.0,DC,"0,69€/kWh >200kW - 0,54€/kWh 80-200kW ",0.69,ok
2025-09,Lleida,,180.0,DC,"0,69€/kWh >200kW - 0,54€/kWh 80-200kW ",0.69,ok
2025-09,Lleida,,80.0,DC,"0,69€/kWh >200kW - 0,54€/kWh 80-200kW ",0.69,ok
2025-09,Lleida,,50.0,DC,"0,39€/kWh",0.39,ok
2025-09,Lleida,,50.0,DC,"0,39€/kWh",0.39,ok
2025-09,Lleida,,22.0,AC,"0,39€/kWh",0.39,ok
2025-09,Lleida,,90.0,DC,"0,56€/kWh",0.56,ok
2025-09,Lleida,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Lleida,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Lleida,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Lleida,,43.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Lleida,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Lleida,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Lleida,,3.7,AC,,,no_kwh
2025-09,Lleida,,150.0,DC,"0,55 €/kWh",0.55,ok
2025-09,Lleida,,22.0,AC,free,,free
2025-09,Lleida,,22.0,AC,free,,free
2025-09,Lleida,,17.0,AC,,,empty
2025-09,Lleida,,11.0,AC,,,empty
2025-09,Lleida,,22.0,AC,free,,free
2025-09,Lleida,,22.0,AC,free,,free
2025-09,Lleida,,60.0,DC,"0,43€/kWh DC - 0,35kWh AC",0.43,ok
2025-09,Lleida,,11.0,AC,"0,43€/kWh DC - 0,35kWh AC",0.43,ok
2025-09,Lleida,,22.0,AC,,,empty
2025-09,Lleida,,11.0,AC,,,empty
2025-09,Lleida,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Lleida,,11.0,AC,,,no_kwh
2025-09,Lleida,,3.7,AC,,,no_kwh
2025-09,Lleida,,120.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Lleida,,22.0,AC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Lleida,,22.0,AC,free charging,,free
2025-09,Lleida,,3.7,AC,free charging,,free
2025-09,Lleida,,7.4,AC,free,,free
2025-09,Lleida,,3.7,AC,Free,,free
2025-09,Lleida,,7.4,AC,Free,,free
2025-09,Lleida,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Lleida,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Lleida,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Lleida,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Lleida,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Lleida,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Lleida,,22.0,AC,,,empty
2025-09,Lleida,,3.7,AC,,,empty
2025-09,Lleida,,22.0,AC,"0,60€/kWh",0.6,ok
2025-09,Lleida,,7.4,AC,"0,24€/kWh",0.24,ok
2025-09,Lleida,,22.0,AC,"0,60€/kWh",0.6,ok
2025-09,Lleida,,22.0,AC,,,no_kwh
2025-09,Lleida,,50.0,DC,,,empty
2025-09,Lleida,,50.0,DC,,,empty
2025-09,Lleida,,43.0,DC,,,empty
2025-09,Lleida,,50.0,DC,"0,42€/kWh 50 kW - 0,38€/kWh AC",0.42,ok
2025-09,Lleida,,48.0,DC,"0,42€/kWh 50 kW - 0,38€/kWh AC",0.42,ok
2025-09,Lleida,,22.0,AC,"0,42€/kWh 50 kW - 0,38€/kWh AC",0.42,ok
2025-09,Lleida,,22.0,AC,"0,42€/kWh 50 kW - 0,38€/kWh AC",0.42,ok
2025-09,Lleida,,7.4,AC,free,,free
2025-09,Lleida,,22.0,AC,free,,free
2025-09,Lleida,,50.0,DC,,,empty
2025-09,Lleida,,50.0,DC,,,empty
2025-09,Lleida,,43.0,DC,,,empty
2025-09,Lleida,,22.0,AC,"0,38€/kWh ",0.38,ok
2025-09,Lleida,,100.0,DC," 0,56€/kWh DC",0.56,ok
2025-09,Lleida,,22.0,AC,free,,free
2025-09,Lleida,,50.0,DC,"0,41€/kWh",0.41,ok
2025-09,Lleida,,50.0,DC,"0,41€/kWh",0.41,ok
2025-09,Lleida,,43.0,DC,"0,41€/kWh",0.41,ok
2025-09,Lleida,,100.0,DC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-09,Lleida,,50.0,DC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-09,Lleida,,22.0,AC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-09,Lleida,,22.0,AC,"0,35€/kWh",0.35,ok
2025-09,Lleida,,50.0,DC,"0,35€/kWh",0.35,ok
2025-09,Lleida,,50.0,DC,"0,35€/kWh",0.35,ok
2025-09,Lleida,,60.0,DC,"0,55€/kWh DC - 0,40€/kWh AC",0.55,ok
2025-09,Lleida,,22.0,AC,"0,29€/kWh",0.29,ok
2025-09,Lleida,,22.0,AC,"0,29 €/kWh",0.29,ok
2025-09,Lleida,,22.0,AC,Free,,free
2025-09,Lleida,,22.0,AC,,,empty
2025-09,Lleida,,11.0,AC,,,empty
2025-09,Lleida,,150.0,DC,"0,54€/kWh DC",0.54,ok
2025-09,Lleida,,7.4,AC,,,no_kwh
2025-09,Lleida,,3.7,AC,,,no_kwh
2025-09,Lleida,,22.0,AC,free,,free
2025-09,Lleida,,22.0,AC,,,empty
2025-09,Lleida,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Lleida,,22.0,AC,,,empty
2025-09,Lleida,,7.4,AC,free,,free
2025-09,Lleida,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Lleida,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Lleida,,43.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Lleida,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Lleida,,22.0,AC,,,empty
2025-09,Lleida,,22.0,AC,,,no_kwh
2025-09,Lleida,,22.0,AC,,,no_kwh
2025-09,Lleida,,50.0,DC," 0,49€/kWh DC - 0,39€/kWh AC ",0.49,ok
