month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-03,Murcia,,7.4,AC,,,no_kwh
2025-03,Murcia,,22.0,AC,"0,25€/kWh",0.25,ok
2025-03,Murcia,,3.7,AC,free,,free
2025-03,Murcia,,3.7,AC,,,no_kwh
2025-03,Murcia,,22.0,AC,free,,free
2025-03,Murcia,,22.0,AC,free,,free
2025-03,Murcia,,22.0,AC,,,no_kwh
2025-03,Murcia,,22.0,AC,free,,free
2025-03,Murcia,,7.4,AC,,,empty
2025-03,Murcia,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-03,Murcia,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-03,Murcia,,22.0,AC,free,,free
2025-03,Murcia,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-03,Murcia,,22.0,AC,"0,45€/kWh ",0.45,ok
2025-03,Murcia,,22.0,AC,Free,,free
2025-03,Murcia,,22.0,AC,free,,free
2025-03,Murcia,,7.4,AC,"0,25€/kWh",0.25,ok
2025-03,Murcia,,7.4,AC,free,,free
2025-03,Murcia,,3.7,AC,free,,free
2025-03,Murcia,,120.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-03,Murcia,,22.0,AC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-03,Murcia,,22.0,AC,"0,25€/kWh",0.25,ok
2025-03,Murcia,,150.0,DC,"0,54€/kWh (APP BP Pulse) - 0,59€/kWh (Credit Card)",0.54,ok
2025-03,Murcia,,50.0,DC,"0,45€/kWh",0.45,ok
2025-03,Murcia,,50.0,DC,"0,45€/kWh",0.45,ok
2025-03,Murcia,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-03,Murcia,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-03,Murcia,,43.0,DC,"0,45€/kWh ",0.45,ok
2025-03,Murcia,,350.0,DC,"0,65€/kWh (or subscription rates) ",0.65,ok
2025-03,Murcia,,22.0,AC,"0,39€/kWh",0.39,ok
2025-03,Murcia,,60.0,DC,"0,45€/kWh ",0.45,ok
2025-03,Murcia,,22.0,AC,"0,45€/kWh ",0.45,ok
2025-03,Murcia,,22.0,AC,free,,free
2025-03,Murcia,,11.0,AC,,,no_kwh
2025-03,Murcia,,7.4,AC,free,,free
2025-03,Murcia,,3.7,AC,free,,free
2025-03,Murcia,,60.0,DC,"0,20€/kWh",0.2,ok
2025-03,Murcia,,22.0,AC,0.39€,,no_kwh
2025-03,Murcia,,22.0,AC,"0,39€/kWh + parking fee",0.39,ok
2025-03,Murcia,,7.4,AC,"parking fee + 0,20€/kWh (0,01€/min parked without charging)",0.2,ok
2025-03,Murcia,,22.0,AC,"0,40€/kWh",0.4,ok
2025-03,Murcia,,7.4,AC,,,no_kwh
2025-03,Murcia,,22.0,AC,"0,25€/kWh",0.25,ok
2025-03,Murcia,,22.0,AC,Free,,free
2025-03,Murcia,,11.0,AC,Free,,free
2025-03,Murcia,,22.0,AC,free,,free
2025-03,Murcia,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-03,Murcia,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-03,Murcia,,150.0,DC," 0,60€/kWh ",0.6,ok
2025-03,Murcia,,60.0,DC,"0,40€/kWh",0.4,ok
2025-03,Murcia,,22.0,AC,"0,45€/kWh",0.45,ok
2025-03,Murcia,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-03,Murcia,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-03,Murcia,,150.0,DC,"0,54€/kWh (APP BP Pulse) - 0,59€/kWh (Credit Card)",0.54,ok
2025-03,Murcia,,22.0,AC,"0,30€/kWh",0.3,ok
2025-03,Murcia,,7.4,AC,,,no_kwh
2025-03,Murcia,,3.7,AC,,,no_kwh
2025-03,Murcia,,22.0,AC,"0,25€/kWh",0.25,ok
2025-03,Murcia,,11.0,AC,,,empty
2025-03,Murcia,,11.0,AC,,,empty
2025-03,Murcia,,85.0,DC,"0,56€/kWh DC - 0,38€/kWh AC",0.56,ok
2025-03,Murcia,,50.0,DC,"0,56€/kWh DC - 0,38€/kWh AC",0.56,ok
2025-03,Murcia,,22.0,AC,"0,56€/kWh DC - 0,38€/kWh AC",0.56,ok
2025-03,Murcia,,3.7,AC,,,empty
2025-03,Murcia,,50.0,DC,"0,47€/kWh",0.47,ok
2025-03,Murcia,,50.0,DC,"0,47€/kWh",0.47,ok
2025-03,Murcia,,43.0,DC,"0,47€/kWh",0.47,ok
2025-03,Murcia,,7.4,AC,free,,free
2025-03,Murcia,,7.4,AC,free,,free
2025-03,Murcia,,7.4,AC,,,no_kwh
2025-03,Murcia,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-03,Murcia,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-03,Murcia,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-03,Murcia,,11.0,AC,,,no_kwh
2025-03,Murcia,,3.0,AC,Free,,free
2025-03,Murcia,,2.3,AC,Free,,free
2025-03,Murcia,,250.0,DC,0.36-0.40-0.56,,no_kwh
2025-03,Murcia,,50.0,DC,"0,45€/kWh 50kW   - 0,39€/kWh 22kW AC",0.45,ok
2025-03,Murcia,,50.0,DC,"0,45€/kWh 50kW   - 0,39€/kWh 22kW AC",0.45,ok
2025-03,Murcia,,22.0,AC,"0,45€/kWh 50kW   - 0,39€/kWh 22kW AC",0.45,ok
2025-03,Murcia,,3.7,AC,,,no_kwh
2025-03,Murcia,,22.0,AC,,,no_kwh
2025-03,Murcia,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-03,Murcia,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-03,Murcia,,22.0,AC,"0,25€/kWh",0.25,ok
2025-03,Murcia,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-03,Murcia,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-03,Murcia,,22.0,AC,"0,45€/kWh ",0.45,ok
2025-03,Murcia,,22.0,AC,"0,39€/kWh",0.39,ok
2025-03,Murcia,,120.0,DC,"0,54€/kWh ",0.54,ok
2025-03,Murcia,,50.0,DC,"0,45€/kWh 50kW   ",0.45,ok
2025-03,Murcia,,50.0,DC,"0,45€/kWh 50kW   ",0.45,ok
2025-03,Murcia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-03,Murcia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-03,Murcia,,43.0,DC,0.47€/kWh ,0.47,ok
2025-03,Murcia,,22.0,AC,"0,39€/kWh",0.39,ok
2025-03,Murcia,,22.0,AC,"0,25€/kWh",0.25,ok
2025-03,Murcia,,7.4,AC,free,,free
2025-03,Murcia,,100.0,DC,"0,54€/kWh DC",0.54,ok
2025-03,Murcia,,22.0,AC,,,no_kwh
2025-03,Murcia,,60.0,DC,"0,45€/kWh DC - 0,29€/kWh AC",0.45,ok
2025-03,Murcia,,60.0,DC,"0,45€/kWh DC - 0,29€/kWh AC",0.45,ok
2025-03,Murcia,,22.0,AC,"0,45€/kWh DC - 0,29€/kWh AC",0.45,ok
2025-03,Murcia,,7.4,AC,free,,free
2025-03,Murcia,,11.0,AC,,,no_kwh
2025-03,Murcia,,7.4,AC,free,,free
2025-03,Murcia,,3.7,AC,,,empty
2025-03,Murcia,,3.7,AC,,,no_kwh
2025-03,Murcia,,22.0,AC,"0,25€/kWh",0.25,ok
2025-03,Murcia,,7.4,AC,free,,free
2025-03,Murcia,,7.4,AC,free,,free
2025-03,Murcia,,90.0,DC,"0,30€/kWh",0.3,ok
2025-03,Murcia,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-03,Murcia,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-03,Murcia,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-03,Murcia,,22.0,AC,,,empty
2025-03,Murcia,,3.7,AC,,,empty
2025-03,Murcia,,22.0,AC,"0,38€/kWh",0.38,ok
2025-03,Murcia,,100.0,DC,"0,54€/kWh DC >80kW - 0,42€/kWh DC - 0,35kWh AC",0.54,ok
2025-03,Murcia,,22.0,AC,"0,54€/kWh DC >80kW - 0,42€/kWh DC - 0,35kWh AC",0.54,ok
2025-03,Murcia,,17.0,AC,,,empty
2025-03,Murcia,,22.0,AC,,,no_kwh
2025-03,Murcia,,7.4,AC,,,empty
2025-03,Murcia,,3.7,AC,,,empty
2025-03,Murcia,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-03,Murcia,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-03,Murcia,,22.0,AC,"0,45€/kWh ",0.45,ok
2025-03,Murcia,,7.4,AC,,,no_kwh
2025-03,Murcia,,3.7,AC,,,no_kwh
2025-03,Murcia,,22.0,AC,"0,25€/kWh",0.25,ok
2025-03,Murcia,,22.0,AC,"0,39€/kWh",0.39,ok
2025-03,Murcia,,3.7,AC,,,empty
2025-03,Murcia,,11.0,AC,,,empty
2025-03,Murcia,,22.0,AC,"0,39€/kwh",0.39,ok
2025-03,Murcia,,50.0,DC," 0,47€/kWh ",0.47,ok
2025-03,Murcia,,43.0,DC," 0,47€/kWh ",0.47,ok
2025-03,Murcia,,50.0,DC," 0,47€/kWh ",0.47,ok
2025-03,Murcia,,11.0,AC,free,,free
2025-03,Murcia,,3.7,AC,,,empty
2025-03,Murcia,,11.0,AC,,,empty
2025-03,Murcia,,7.4,AC,free,,free
2025-03,Murcia,,22.0,AC,,,no_kwh
2025-03,Murcia,,22.0,AC,"0,38€/kWh",0.38,ok
2025-03,Murcia,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-03,Murcia,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-03,Murcia,,43.0,DC,"0,45€/kWh ",0.45,ok
2025-03,Murcia,,7.4,AC,Free,,free
2025-03,Murcia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-03,Murcia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-03,Murcia,,43.0,DC,0.47€/kWh ,0.47,ok
2025-03,Murcia,,11.0,AC,"0,38€/kWh",0.38,ok
2025-03,Murcia,,22.0,AC,"0,38€/kWh",0.38,ok
2025-03,Murcia,,7.4,AC,"0,39€/kWh ",0.39,ok
