month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-07,Málaga,,90.0,DC,"0,45€/kWh",0.45,ok
2025-07,Málaga,,22.0,AC,"0,45€/kWh",0.45,ok
2025-07,Málaga,,22.0,AC,,,no_kwh
2025-07,Málaga,,3.7,AC,,,no_kwh
2025-07,Málaga,,22.0,AC,"0,25€/kWh",0.25,ok
2025-07,Málaga,,50.0,DC," 0,45€/kWh DC - 0,39€/kWh 22kW AC",0.45,ok
2025-07,Málaga,,50.0,DC," 0,45€/kWh DC - 0,39€/kWh 22kW AC",0.45,ok
2025-07,Málaga,,22.0,AC," 0,45€/kWh DC - 0,39€/kWh 22kW AC",0.45,ok
2025-07,Málaga,,150.0,DC,0.59€/kWh,0.59,ok
2025-07,Málaga,,150.0,DC,"0,60€/kWh",0.6,ok
2025-07,Málaga,,150.0,DC,"0,60€/kWh",0.6,ok
2025-07,Málaga,,22.0,AC,,,empty
2025-07,Málaga,,11.0,AC,,,empty
2025-07,Málaga,,22.0,AC,,,empty
2025-07,Málaga,,11.0,AC,,,empty
2025-07,Málaga,,2.3,AC,,,empty
2025-07,Málaga,,250.0,DC,,,empty
2025-07,Málaga,,22.0,AC,"0,52€/kWh",0.52,ok
2025-07,Málaga,,90.0,DC,"0,55€/kWh DC - 0,39€/kWh AC",0.55,ok
2025-07,Málaga,,90.0,DC,"0,55€/kWh DC - 0,39€/kWh AC",0.55,ok
2025-07,Málaga,,22.0,AC,"0,55€/kWh DC - 0,39€/kWh AC",0.55,ok
2025-07,Málaga,,7.4,AC,,,empty
2025-07,Málaga,,3.7,AC,,,empty
2025-07,Málaga,,22.0,AC,,,no_kwh
2025-07,Málaga,,22.0,AC,,,no_kwh
2025-07,Málaga,,22.0,AC,"0,25€/kWh",0.25,ok
2025-07,Málaga,,7.4,AC,"0,39 €/kWh + parking fee (1-2€/day)",0.39,ok
2025-07,Málaga,,7.4,AC,"0,44€/kWh+parking fee",0.44,ok
2025-07,Málaga,,3.7,AC,"0,44€/kWh+parking fee",0.44,ok
2025-07,Málaga,,11.0,AC,free,,free
2025-07,Málaga,,60.0,DC," 0,45€/kWh DC - 0,40€/kWh AC ",0.45,ok
2025-07,Málaga,,22.0,AC," 0,45€/kWh DC - 0,40€/kWh AC ",0.45,ok
2025-07,Málaga,,360.0,DC,"0.48€/kWh DC - 0,41€/kWh AC",0.48,ok
2025-07,Málaga,,50.0,DC,"0.48€/kWh DC - 0,41€/kWh AC",0.48,ok
2025-07,Málaga,,50.0,DC,"0.48€/kWh DC - 0,41€/kWh AC",0.48,ok
2025-07,Málaga,,22.0,AC,"0.48€/kWh DC - 0,41€/kWh AC",0.48,ok
2025-07,Málaga,,22.0,AC,"0.48€/kWh DC - 0,41€/kWh AC",0.48,ok
2025-07,Málaga,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-07,Málaga,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-07,Málaga,,22.0,AC,free,,free
2025-07,Málaga,,7.4,AC,"0,20€/kWh",0.2,ok
2025-07,Málaga,,22.0,AC,,,empty
2025-07,Málaga,,11.0,AC,,,empty
2025-07,Málaga,,11.0,AC,,,no_kwh
2025-07,Málaga,,22.0,AC,"0,36€/kWh",0.36,ok
2025-07,Málaga,,22.0,AC,,,no_kwh
2025-07,Málaga,,22.0,AC,"0,25€/kWh",0.25,ok
2025-07,Málaga,,3.7,AC,,,no_kwh
2025-07,Málaga,,7.4,AC,"0,42€/kWh",0.42,ok
2025-07,Málaga,,22.0,AC,,,no_kwh
2025-07,Málaga,,7.4,AC,,,empty
2025-07,Málaga,,2.3,AC,,,empty
2025-07,Málaga,,11.0,AC,"2,5€/h",,no_kwh
2025-07,Málaga,,22.0,AC,"0,41€/kWh",0.41,ok
2025-07,Málaga,,22.0,AC,,,no_kwh
2025-07,Málaga,,3.7,AC,,,no_kwh
2025-07,Málaga,,11.0,AC,,,no_kwh
2025-07,Málaga,,17.0,AC,parking: 15€/day,,no_kwh
2025-07,Málaga,,11.0,AC,parking: 15€/day,,no_kwh
2025-07,Málaga,,150.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-07,Málaga,,150.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-07,Málaga,,22.0,AC,"0,25€/kWh",0.25,ok
2025-07,Málaga,,22.0,AC,free,,free
2025-07,Málaga,,11.0,AC,"0,36€/kWh + parking fee ",0.36,ok
2025-07,Málaga,,22.0,AC,"0,32€/kWh AC",0.32,ok
2025-07,Málaga,,7.4,AC,"parking fee + 0,20€/kWh (0,01€/min parked without charging)",0.2,ok
2025-07,Málaga,,10.0,AC,"parking 18€/day, free charging",,free
