month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-05,Palencia,,50.0,DC,"0,45€/kWh",0.45,ok
2025-05,Palencia,,50.0,DC,"0,45€/kWh",0.45,ok
2025-05,Palencia,,43.0,DC,"0,45€/kWh",0.45,ok
2025-05,Palencia,,250.0,DC,,,empty
2025-05,Palencia,,150.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-05,Palencia,,9.0,AC,"0,36€/kWh ",0.36,ok
2025-05,Palencia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Palencia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Palencia,,43.0,DC,0.47€/kWh ,0.47,ok
2025-05,Palencia,,7.4,AC,"0,35€/kWh ",0.35,ok
2025-05,Palencia,,22.0,AC,free,,free
2025-05,Palencia,,11.0,AC,,,no_kwh
2025-05,Palencia,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-05,Palencia,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-05,Palencia,,43.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-05,Palencia,,50.0,DC,"0,45€/kWh DC>100kW  0,39€/kWh DC - 0,29€/kWh AC",0.45,ok
2025-05,Palencia,,43.0,DC,"0,45€/kWh DC>100kW  0,39€/kWh DC - 0,29€/kWh AC",0.45,ok
2025-05,Palencia,,50.0,DC,"0,45€/kWh DC>100kW  0,39€/kWh DC - 0,29€/kWh AC",0.45,ok
2025-05,Palencia,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-05,Palencia,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-05,Palencia,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-05,Palencia,,180.0,DC," 0,55€/kWh DC >90KW  - 0.39€/kWh DC50kW/AC",0.55,ok
2025-05,Palencia,,360.0,DC," 0,55€/kWh DC >90KW  - 0.39€/kWh DC50kW/AC",0.55,ok
2025-05,Palencia,,360.0,DC," 0,55€/kWh DC >90KW  - 0.39€/kWh DC50kW/AC",0.55,ok
2025-05,Palencia,,50.0,DC," 0,55€/kWh DC >90KW  - 0.39€/kWh DC50kW/AC",0.55,ok
2025-05,Palencia,,50.0,DC," 0,55€/kWh DC >90KW  - 0.39€/kWh DC50kW/AC",0.55,ok
2025-05,Palencia,,43.0,DC," 0,55€/kWh DC >90KW  - 0.39€/kWh DC50kW/AC",0.55,ok
2025-05,Palencia,,22.0,AC,,,no_kwh
2025-05,Palencia,,3.7,AC,,,no_kwh
2025-05,Palencia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Palencia,,50.0,DC,0.47€/kWh ,0.47,ok
