month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-07,Santa Cruz de Tenerife,,3.7,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,50.0,DC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,22.0,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,7.4,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,50.0,DC,0.42€/kWh ,0.42,ok
2025-07,Santa Cruz de Tenerife,,50.0,DC,0.42€/kWh ,0.42,ok
2025-07,Santa Cruz de Tenerife,,43.0,DC,0.42€/kWh ,0.42,ok
2025-07,Santa Cruz de Tenerife,,3.7,AC,,,empty
2025-07,Santa Cruz de Tenerife,,7.4,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,11.0,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,2.3,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,22.0,AC,free,,free
2025-07,Santa Cruz de Tenerife,,7.4,AC,free,,free
2025-07,Santa Cruz de Tenerife,,3.7,AC,free,,free
2025-07,Santa Cruz de Tenerife,,7.4,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,7.4,AC,"0,40€/kWh",0.4,ok
2025-07,Santa Cruz de Tenerife,,60.0,DC,"0,38",,no_kwh
2025-07,Santa Cruz de Tenerife,,3.7,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,3.7,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,7.4,AC,"0,42€/kWh DC - 0,33€/kWh AC ",0.42,ok
2025-07,Santa Cruz de Tenerife,,60.0,DC,"0,42€/kWh DC - 0,33€/kWh AC ",0.42,ok
2025-07,Santa Cruz de Tenerife,,150.0,DC,"0,59€/kWh DC - 0,39€/kWh AC ",0.59,ok
2025-07,Santa Cruz de Tenerife,,22.0,AC,"0,59€/kWh DC - 0,39€/kWh AC ",0.59,ok
2025-07,Santa Cruz de Tenerife,,7.0,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,60.0,DC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,22.0,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,150.0,DC,0.54€/kWh,0.54,ok
2025-07,Santa Cruz de Tenerife,,150.0,DC,0.54€/kWh,0.54,ok
2025-07,Santa Cruz de Tenerife,,22.0,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,11.0,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,3.7,AC,,,empty
2025-07,Santa Cruz de Tenerife,,7.4,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,3.7,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,22.0,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,3.7,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,22.0,AC,free,,free
2025-07,Santa Cruz de Tenerife,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-07,Santa Cruz de Tenerife,,43.0,DC,"0,45€/kWh ",0.45,ok
2025-07,Santa Cruz de Tenerife,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-07,Santa Cruz de Tenerife,,7.4,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,2.3,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,7.4,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,3.7,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,11.0,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,7.4,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,2.3,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,3.6,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,2.3,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,7.4,AC,free,,free
2025-07,Santa Cruz de Tenerife,,7.4,AC,free,,free
2025-07,Santa Cruz de Tenerife,,3.7,AC,free,,free
2025-07,Santa Cruz de Tenerife,,22.0,AC,free,,free
2025-07,Santa Cruz de Tenerife,,22.0,AC,free,,free
2025-07,Santa Cruz de Tenerife,,3.7,AC,free,,free
2025-07,Santa Cruz de Tenerife,,7.4,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,7.4,AC,free,,free
2025-07,Santa Cruz de Tenerife,,3.7,AC,free,,free
2025-07,Santa Cruz de Tenerife,,7.0,AC,"0,42€/kWh DC - 0,33€/kWh AC ",0.42,ok
2025-07,Santa Cruz de Tenerife,,25.0,DC,"0,42€/kWh DC - 0,33€/kWh AC ",0.42,ok
2025-07,Santa Cruz de Tenerife,,7.4,AC,free,,free
2025-07,Santa Cruz de Tenerife,,3.7,AC,free,,free
2025-07,Santa Cruz de Tenerife,,7.4,AC,free,,free
2025-07,Santa Cruz de Tenerife,,3.7,AC,free,,free
2025-07,Santa Cruz de Tenerife,,7.4,AC,free,,free
2025-07,Santa Cruz de Tenerife,,3.7,AC,free,,free
2025-07,Santa Cruz de Tenerife,,22.0,AC,free,,free
2025-07,Santa Cruz de Tenerife,,22.0,AC,free,,free
2025-07,Santa Cruz de Tenerife,,22.0,AC,free,,free
2025-07,Santa Cruz de Tenerife,,3.68,AC,free,,free
2025-07,Santa Cruz de Tenerife,,7.4,AC,free,,free
2025-07,Santa Cruz de Tenerife,,22.0,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,7.4,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,22.0,AC,0.24€/kWh + parking fee,0.24,ok
2025-07,Santa Cruz de Tenerife,,22.0,AC,free,,free
2025-07,Santa Cruz de Tenerife,,7.4,AC,free,,free
2025-07,Santa Cruz de Tenerife,,3.7,AC,free,,free
2025-07,Santa Cruz de Tenerife,,7.4,AC,free,,free
2025-07,Santa Cruz de Tenerife,,3.7,AC,free,,free
2025-07,Santa Cruz de Tenerife,,22.0,AC,"0,35€/kWh. Parking: 0,80 €/hour",0.35,ok
2025-07,Santa Cruz de Tenerife,,22.0,AC," 0,55€/kWh DC - 0,35€/kWh AC ",0.55,ok
2025-07,Santa Cruz de Tenerife,,60.0,DC," 0,55€/kWh DC - 0,35€/kWh AC ",0.55,ok
2025-07,Santa Cruz de Tenerife,,150.0,DC," 0,55€/kWh DC - 0,35€/kWh AC ",0.55,ok
2025-07,Santa Cruz de Tenerife,,7.4,AC,free,,free
2025-07,Santa Cruz de Tenerife,,3.7,AC,free,,free
2025-07,Santa Cruz de Tenerife,,7.4,AC,"parking fee + 0,45€/kWh (0,01€/min parked without charging)",0.45,ok
2025-07,Santa Cruz de Tenerife,,7.4,AC,free,,free
2025-07,Santa Cruz de Tenerife,,3.7,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,22.0,AC,"0,21€/kWh",0.21,ok
2025-07,Santa Cruz de Tenerife,,7.4,AC,free,,free
2025-07,Santa Cruz de Tenerife,,3.7,AC,free,,free
2025-07,Santa Cruz de Tenerife,,22.0,AC,free,,free
2025-07,Santa Cruz de Tenerife,,7.4,AC,free,,free
2025-07,Santa Cruz de Tenerife,,7.4,AC,free,,free
2025-07,Santa Cruz de Tenerife,,3.7,AC,free,,free
2025-07,Santa Cruz de Tenerife,,90.0,DC,"0,62€/kWh",0.62,ok
2025-07,Santa Cruz de Tenerife,,50.0,DC,"0,62€/kWh",0.62,ok
2025-07,Santa Cruz de Tenerife,,43.0,DC,"0,62€/kWh",0.62,ok
2025-07,Santa Cruz de Tenerife,,50.0,DC,"0,62€/KWh",0.62,ok
2025-07,Santa Cruz de Tenerife,,50.0,DC,"0,62€/KWh",0.62,ok
2025-07,Santa Cruz de Tenerife,,22.0,AC,"0,62€/KWh",0.62,ok
2025-07,Santa Cruz de Tenerife,,7.4,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,3.7,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,7.4,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,22.0,AC,free,,free
2025-07,Santa Cruz de Tenerife,,7.4,AC,free,,free
2025-07,Santa Cruz de Tenerife,,3.7,AC,free,,free
2025-07,Santa Cruz de Tenerife,,22.0,AC,"0,21€/kWh",0.21,ok
2025-07,Santa Cruz de Tenerife,,7.4,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,22.0,AC,free,,free
2025-07,Santa Cruz de Tenerife,,3.7,AC,free,,free
2025-07,Santa Cruz de Tenerife,,7.4,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,3.7,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,50.0,DC,"0,62€/KWh DC - 0,41€/kWh AC",0.62,ok
2025-07,Santa Cruz de Tenerife,,50.0,DC,"0,62€/KWh DC - 0,41€/kWh AC",0.62,ok
2025-07,Santa Cruz de Tenerife,,22.0,AC,"0,62€/KWh DC - 0,41€/kWh AC",0.62,ok
2025-07,Santa Cruz de Tenerife,,22.0,AC,"0,62€/KWh DC - 0,41€/kWh AC",0.62,ok
2025-07,Santa Cruz de Tenerife,,22.0,AC," 0,39€/kWh ",0.39,ok
2025-07,Santa Cruz de Tenerife,,7.4,AC,free,,free
2025-07,Santa Cruz de Tenerife,,3.7,AC,free,,free
2025-07,Santa Cruz de Tenerife,,22.0,AC,"0,21€/kWh",0.21,ok
2025-07,Santa Cruz de Tenerife,,3.7,AC,Free charging + parking fee,,free
2025-07,Santa Cruz de Tenerife,,7.4,AC,Free charging + parking fee,,free
2025-07,Santa Cruz de Tenerife,,7.4,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,7.4,AC,free,,free
2025-07,Santa Cruz de Tenerife,,3.7,AC,free,,free
2025-07,Santa Cruz de Tenerife,,22.0,AC,"0,57€/kWh",0.57,ok
2025-07,Santa Cruz de Tenerife,,50.0,DC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,11.0,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,50.0,DC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,22.0,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,150.0,DC," 0,59€/kWh - 0,40€/kWh AC ",0.59,ok
2025-07,Santa Cruz de Tenerife,,22.0,AC," 0,59€/kWh - 0,40€/kWh AC ",0.59,ok
2025-07,Santa Cruz de Tenerife,,22.0,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,50.0,DC,"0,62€/kWh",0.62,ok
2025-07,Santa Cruz de Tenerife,,50.0,DC,"0,62€/kWh",0.62,ok
2025-07,Santa Cruz de Tenerife,,43.0,DC,"0,62€/kWh",0.62,ok
2025-07,Santa Cruz de Tenerife,,7.4,AC,,,empty
2025-07,Santa Cruz de Tenerife,,22.0,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,25.0,DC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,22.0,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,22.0,AC,"0,21€/kWh",0.21,ok
2025-07,Santa Cruz de Tenerife,,22.0,AC,"0,38€/kWh",0.38,ok
2025-07,Santa Cruz de Tenerife,,7.4,AC,free,,free
2025-07,Santa Cruz de Tenerife,,7.0,AC,"0,39€/kWh",0.39,ok
2025-07,Santa Cruz de Tenerife,,7.4,AC,free,,free
2025-07,Santa Cruz de Tenerife,,3.7,AC,free,,free
2025-07,Santa Cruz de Tenerife,,160.0,DC,,,empty
2025-07,Santa Cruz de Tenerife,,50.0,DC,"0,45€/kWh DC50kW/AC43kW ",0.45,ok
2025-07,Santa Cruz de Tenerife,,50.0,DC,"0,45€/kWh DC50kW/AC43kW ",0.45,ok
2025-07,Santa Cruz de Tenerife,,43.0,DC,"0,45€/kWh DC50kW/AC43kW ",0.45,ok
2025-07,Santa Cruz de Tenerife,,320.0,DC,,,empty
2025-07,Santa Cruz de Tenerife,,22.0,AC,,,empty
2025-07,Santa Cruz de Tenerife,,7.4,AC,free,,free
2025-07,Santa Cruz de Tenerife,,3.7,AC,free,,free
2025-07,Santa Cruz de Tenerife,,7.4,AC,,,no_kwh
2025-07,Santa Cruz de Tenerife,,3.7,AC,,,empty
2025-07,Santa Cruz de Tenerife,,11.0,AC,free,,free
