month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-04,Segovia,,220.0,DC," 0,59€/kWh",0.59,ok
2025-04,Segovia,,220.0,DC," 0,59€/kWh",0.59,ok
2025-04,Segovia,,50.0,DC,"0,47€/kWh",0.47,ok
2025-04,Segovia,,50.0,DC,"0,47€/kWh",0.47,ok
2025-04,Segovia,,43.0,DC,"0,47€/kWh",0.47,ok
2025-04,Segovia,,22.0,AC,,,no_kwh
2025-04,Segovia,,50.0,DC,0.53€/kWh,0.53,ok
2025-04,Segovia,,50.0,DC,0.53€/kWh,0.53,ok
2025-04,Segovia,,22.0,AC,0.53€/kWh,0.53,ok
2025-04,Segovia,,7.4,AC,free,,free
2025-04,Segovia,,150.0,DC,0.59€/kWh,0.59,ok
2025-04,Segovia,,22.0,AC,,,no_kwh
2025-04,Segovia,,150.0,DC,"0,50€/kWh DC 100kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-04,Segovia,,50.0,DC,"0,50€/kWh DC 100kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-04,Segovia,,22.0,AC,"0,50€/kWh DC 100kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-04,Segovia,,22.0,AC,,,no_kwh
2025-04,Segovia,,22.0,AC,"0,39€/kWh ",0.39,ok
2025-04,Segovia,,400.0,DC,"0,69€/kWh >200kW - 0,54€/kWh 80-200kW - 0,39€/kWh 22kW AC",0.69,ok
2025-04,Segovia,,200.0,DC,"0,69€/kWh >200kW - 0,54€/kWh 80-200kW - 0,39€/kWh 22kW AC",0.69,ok
2025-04,Segovia,,80.0,DC,"0,69€/kWh >200kW - 0,54€/kWh 80-200kW - 0,39€/kWh 22kW AC",0.69,ok
2025-04,Segovia,,22.0,AC,"0,69€/kWh >200kW - 0,54€/kWh 80-200kW - 0,39€/kWh 22kW AC",0.69,ok
2025-04,Segovia,,100.0,DC,,,no_kwh
2025-04,Segovia,,22.0,AC,,,no_kwh
