month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-09,Soria,,100.0,DC,"0,45€/kWh",0.45,ok
2025-09,Soria,,50.0,DC,"0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Soria,,50.0,DC,"0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Soria,,43.0,DC,"0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Soria,,22.0,AC,"0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Soria,,11.0,AC,Free,,free
2025-09,Soria,,11.0,AC,Free,,free
2025-09,Soria,,3.7,AC,,,no_kwh
2025-09,Soria,,22.0,AC,"0,29€/kWh",0.29,ok
2025-09,Soria,,3.7,AC,Free,,free
2025-09,Soria,,7.4,AC,"0,35€/kWh",0.35,ok
2025-09,Soria,,22.0,AC,,,empty
2025-09,Soria,,11.0,AC,,,no_kwh
2025-09,Soria,,3.7,AC,,,no_kwh
2025-09,Soria,,30.0,DC,"0,39€/kWh DC - 0,32kWh AC",0.39,ok
2025-09,Soria,,22.0,AC,"0,39€/kWh DC - 0,32kWh AC",0.39,ok
2025-09,Soria,,3.7,AC,"0,39€/kWh DC - 0,32kWh AC",0.39,ok
2025-09,Soria,,2.3,AC,,,no_kwh
2025-09,Soria,,11.0,AC,,,no_kwh
2025-09,Soria,,22.0,AC," 0,40€/kWh AC ",0.4,ok
2025-09,Soria,,22.0,AC,"0,39€/kWh AC ",0.39,ok
2025-09,Soria,,3.7,AC,,,no_kwh
2025-09,Soria,,2.3,AC,,,no_kwh
2025-09,Soria,,7.4,AC,"0,35€/kWh",0.35,ok
2025-09,Soria,,7.4,AC," 0,25€/kWh",0.25,ok
2025-09,Soria,,7.4,AC," 0,20€/kWh",0.2,ok
2025-09,Soria,,7.4,AC," 0,20€/kWh",0.2,ok
2025-09,Soria,,11.0,AC,,,no_kwh
2025-09,Soria,,2.3,AC,,,no_kwh
2025-09,Soria,,250.0,DC,,,no_kwh
2025-09,Soria,,150.0,DC,"0,54€/kWh DC >80kW - 0,42€/kWh DC - 0,35kWh AC",0.54,ok
2025-09,Soria,,60.0,DC,"0,59-0,49€/kWh",0.49,ok
2025-09,Soria,,300.0,DC,"0,59-0,49€/kWh",0.49,ok
2025-09,Soria,,50.0,DC,"0,47€/kWh",0.47,ok
2025-09,Soria,,43.0,DC,"0,47€/kWh",0.47,ok
2025-09,Soria,,50.0,DC,"0,47€/kWh",0.47,ok
2025-09,Soria,,7.4,AC,,,no_kwh
2025-09,Soria,,2.3,AC,,,no_kwh
2025-09,Soria,,60.0,DC," 0,40€/kWh DC - 0,35€/kWh AC ",0.4,ok
2025-09,Soria,,22.0,AC," 0,40€/kWh DC - 0,35€/kWh AC ",0.4,ok
2025-09,Soria,,11.0,AC,10€/charge,,no_kwh
2025-09,Soria,,3.7,AC,,,no_kwh
2025-09,Soria,,3.7,AC,,,no_kwh
2025-09,Soria,,7.4,AC,"0,40€/kWh",0.4,ok
2025-09,Soria,,22.0,AC,,,no_kwh
2025-09,Soria,,50.0,DC,,,no_kwh
2025-09,Soria,,11.0,AC,charge: 5€/day + parking: 17€/day,,no_kwh
2025-09,Soria,,11.0,AC,"0,46€/kWh + parking fee",0.46,ok
2025-09,Soria,,11.0,AC,"0,30€/kWh + 14€/day parking",0.3,ok
2025-09,Soria,,7.4,AC,parking fee,,no_kwh
2025-09,Soria,,3.4,AC,parking fee,,no_kwh
2025-09,Soria,,7.4,AC,,,empty
2025-09,Soria,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Soria,,22.0,AC,,,no_kwh
2025-09,Soria,,210.0,DC,"0,58€/kWh DC >60kW (0,40€/min parked without charging)",0.58,ok
2025-09,Soria,,100.0,DC,"0,60€/kWh",0.6,ok
2025-09,Soria,,150.0,DC,"0,60€/kWh",0.6,ok
2025-09,Soria,,150.0,DC,"0,60€/kWh",0.6,ok
2025-09,Soria,,22.0,AC,,,no_kwh
2025-09,Soria,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Soria,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Soria,,43.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Soria,,50.0,DC,,,no_kwh
2025-09,Soria,,3.5,AC,,,no_kwh
2025-09,Soria,,3.7,AC,,,no_kwh
2025-09,Soria,,22.0,AC,,,no_kwh
2025-09,Soria,,22.0,AC,"0,39€/kwh",0.39,ok
2025-09,Soria,,22.0,AC,"0,45€/kWh",0.45,ok
2025-09,Soria,,7.4,AC,"0,35€/kWh",0.35,ok
2025-09,Soria,,3.7,AC,,,no_kwh
2025-09,Soria,,7.4,AC,"0,25€/kWh",0.25,ok
2025-09,Soria,,11.0,AC,,,no_kwh
2025-09,Soria,,2.3,AC,,,no_kwh
2025-09,Soria,,11.0,AC,,,no_kwh
2025-09,Soria,,22.0,AC,,,no_kwh
2025-09,Soria,,22.0,AC," 0,39€/kWh",0.39,ok
2025-09,Soria,,50.0,DC,"0,45€/kWh DC - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Soria,,50.0,DC,"0,45€/kWh DC - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Soria,,22.0,AC,"0,45€/kWh DC - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Soria,,7.0,AC,"0,25€/kWh",0.25,ok
2025-09,Soria,,50.0,DC,"0,43 €/kWh DC - 0,39 €/kWh AC",0.43,ok
2025-09,Soria,,50.0,DC,"0,43 €/kWh DC - 0,39 €/kWh AC",0.43,ok
2025-09,Soria,,22.0,AC,"0,43 €/kWh DC - 0,39 €/kWh AC",0.43,ok
2025-09,Soria,,7.4,AC,,,no_kwh
2025-09,Soria,,50.0,DC,"0,48€/kWh DC - 0,41€/kWh AC",0.48,ok
2025-09,Soria,,50.0,DC,"0,48€/kWh DC - 0,41€/kWh AC",0.48,ok
2025-09,Soria,,22.0,AC,"0,48€/kWh DC - 0,41€/kWh AC",0.48,ok
2025-09,Soria,,7.4,AC,,,no_kwh
2025-09,Soria,,7.0,AC,"0,25€/kWh",0.25,ok
2025-09,Soria,,7.4,AC," 0,35€/kWh",0.35,ok
2025-09,Soria,,7.4,AC,20€/charge,,no_kwh
2025-09,Soria,,7.4,AC,"0,25€/kWh",0.25,ok
2025-09,Soria,,3.7,AC,"0,25€/kWh",0.25,ok
2025-09,Soria,,11.0,AC,"0,31€/kWh",0.31,ok
2025-09,Soria,,22.0,AC,,,no_kwh
2025-09,Soria,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Soria,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Soria,,22.0,AC,"0,45€/kWh ",0.45,ok
2025-09,Soria,,11.0,AC,free,,free
2025-09,Soria,,22.0,AC,,,no_kwh
2025-09,Soria,,43.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Soria,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Soria,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Soria,,3.7,AC,15€/day,,no_kwh
2025-09,Soria,,22.0,AC,free,,free
2025-09,Soria,,7.4,AC," 0,20€/kWh",0.2,ok
2025-09,Soria,,7.4,AC," 0,20€/kWh",0.2,ok
2025-09,Soria,,22.0,AC,"0,33€/kWh",0.33,ok
2025-09,Soria,,100.0,DC,"0,55€/kWh",0.55,ok
2025-09,Soria,,7.4,AC," 0,20€/kWh",0.2,ok
2025-09,Soria,,7.4,AC,"0,35€/kWh",0.35,ok
2025-09,Soria,,100.0,DC,"0,55€/kWh",0.55,ok
2025-09,Soria,,80.0,DC,"0,55€/kWh",0.55,ok
2025-09,Soria,,2.3,AC,"0,50€/hora",,no_kwh
2025-09,Soria,,7.4,AC,"0,50€/hora",,no_kwh
2025-09,Soria,,11.0,AC,,,no_kwh
2025-09,Soria,,180.0,DC,"0,60€/kWh",0.6,ok
2025-09,Soria,,120.0,DC,"0,54€/kWh",0.54,ok
2025-09,Soria,,22.0,AC,free,,free
2025-09,Soria,,3.7,AC,free,,free
2025-09,Soria,,7.4,AC,"0,35€/kWh",0.35,ok
2025-09,Soria,,11.0,AC,free,,free
2025-09,Soria,,11.0,AC,free,,free
2025-09,Soria,,22.0,AC,"0,42€/kWh AC ",0.42,ok
2025-09,Soria,,22.0,AC,"0,37€/kWh",0.37,ok
2025-09,Soria,,3.7,AC,"0,37€/kWh",0.37,ok
