month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-08,Teruel,,22.0,AC,"0,39€/kWh",0.39,ok
2025-08,Teruel,,60.0,DC,"0,49€/kWh",0.49,ok
2025-08,Teruel,,100.0,DC,"0,54€/kWh ",0.54,ok
2025-08,Teruel,,43.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-08,Teruel,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-08,Teruel,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-08,Teruel,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-08,Teruel,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-08,Teruel,,43.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-08,Teruel,,50.0,DC,"0,45 €/kWh DC - 0,39€/kWh AC",0.45,ok
2025-08,Teruel,,150.0,DC,"0,65€/kWh >150kW - 0,55€/kWh >60kW - 0,45€/kWh DC - 0,39€/kWh AC ",0.65,ok
2025-08,Teruel,,150.0,DC,"0,65€/kWh >150kW - 0,55€/kWh >60kW - 0,45€/kWh DC - 0,39€/kWh AC ",0.65,ok
2025-08,Teruel,,150.0,DC,"0,58€/kWh DC >60kW (0,40€/min parked without charging)",0.58,ok
2025-08,Teruel,,11.0,AC,5€/cahrge + parking fee,,no_kwh
2025-08,Teruel,,3.7,AC,Gratis,,free
2025-08,Teruel,,50.0,DC," 0,47€/kWh",0.47,ok
2025-08,Teruel,,50.0,DC," 0,47€/kWh",0.47,ok
2025-08,Teruel,,43.0,DC," 0,47€/kWh",0.47,ok
2025-08,Teruel,,22.0,AC,"0,39€/kWh",0.39,ok
2025-08,Teruel,,50.0,DC,"0,39€/kWh",0.39,ok
2025-08,Teruel,,3.7,AC,,,no_kwh
2025-08,Teruel,,22.0,AC,,,no_kwh
2025-08,Teruel,,120.0,DC,"0,57€/kWh",0.57,ok
2025-08,Teruel,,22.0,AC,"0,57€/kWh",0.57,ok
2025-08,Teruel,,100.0,DC,"0,54€/kWh",0.54,ok
2025-08,Teruel,,22.0,AC,"0,39/kWh",,no_kwh
2025-08,Teruel,,22.0,AC,"0,39€/kWh",0.39,ok
2025-08,Teruel,,100.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-08,Teruel,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-08,Teruel,,22.0,AC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-08,Teruel,,22.0,AC,"0,35€/kWh",0.35,ok
2025-08,Teruel,,60.0,DC," 0,55€/kWh DC - 0,35€/kWh AC ",0.55,ok
2025-08,Teruel,,30.0,DC," 0,55€/kWh DC - 0,35€/kWh AC ",0.55,ok
2025-08,Teruel,,3.7,AC,,,no_kwh
2025-08,Teruel,,11.0,AC,,,no_kwh
2025-08,Teruel,,50.0,DC,"0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-08,Teruel,,50.0,DC,"0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-08,Teruel,,22.0,AC,"0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-08,Teruel,,7.4,AC,free,,free
2025-08,Teruel,,22.0,AC,,,no_kwh
2025-08,Teruel,,30.0,DC,"0,43€/kWh ",0.43,ok
2025-08,Teruel,,30.0,DC,"0,43€/kWh ",0.43,ok
2025-08,Teruel,,60.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-08,Teruel,,3.7,AC,,,no_kwh
2025-08,Teruel,,3.7,AC,,,no_kwh
2025-08,Teruel,,3.7,AC,,,no_kwh
2025-08,Teruel,,22.0,AC,"0,35€/kWh",0.35,ok
2025-08,Teruel,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-08,Teruel,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-08,Teruel,,43.0,DC,"0,47€/kWh ",0.47,ok
2025-08,Teruel,,4.6,AC,free,,free
2025-08,Teruel,,3.0,AC,free,,free
2025-08,Teruel,,50.0,DC,0.47€/kWh ,0.47,ok
2025-08,Teruel,,50.0,DC,0.47€/kWh ,0.47,ok
2025-08,Teruel,,43.0,DC,0.47€/kWh ,0.47,ok
2025-08,Teruel,,100.0,DC,"CCS 0,54€/kWh - CHAdeMO 0,48€/kWh",0.54,ok
2025-08,Teruel,,80.0,DC,"CCS 0,54€/kWh - CHAdeMO 0,48€/kWh",0.54,ok
2025-08,Teruel,,120.0,DC,"CCS 0,54€/kWh - CHAdeMO 0,48€/kWh",0.54,ok
2025-08,Teruel,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-08,Teruel,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-08,Teruel,,43.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-08,Teruel,,350.0,DC,"0,65€/kWh (or subscription rates) ",0.65,ok
2025-08,Teruel,,100.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-08,Teruel,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-08,Teruel,,22.0,AC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-08,Teruel,,11.0,AC,"0,38€/kwh",0.38,ok
2025-08,Teruel,,11.0,AC,"0,39€/kWh",0.39,ok
2025-08,Teruel,,22.0,AC,"0,39€/kWh",0.39,ok
2025-08,Teruel,,22.0,AC,"0,39€/kWh",0.39,ok
2025-08,Teruel,,7.4,AC,,,no_kwh
2025-08,Teruel,,22.0,AC,,,empty
2025-08,Teruel,,50.0,DC,0.47€/kWh ,0.47,ok
2025-08,Teruel,,50.0,DC,0.47€/kWh ,0.47,ok
2025-08,Teruel,,43.0,DC,0.47€/kWh ,0.47,ok
2025-08,Teruel,,22.0,AC,"0,58€/kWh",0.58,ok
2025-08,Teruel,,100.0,DC,"0,78€/kWh",0.78,ok
2025-08,Teruel,,7.2,AC,Free,,free
2025-08,Teruel,,,,Free,,free
2025-08,Teruel,,180.0,DC,"0,54€/kWh DC ",0.54,ok
2025-08,Teruel,,180.0,DC,"0,54€/kWh DC ",0.54,ok
2025-08,Teruel,,7.4,AC,,,no_kwh
2025-08,Teruel,,7.4,AC,,,no_kwh
2025-08,Teruel,,2.3,AC,,,no_kwh
2025-08,Teruel,,100.0,DC,"0,54€/kWh",0.54,ok
2025-08,Teruel,,3.7,AC,,,no_kwh
2025-08,Teruel,,250.0,DC,,,empty
2025-08,Teruel,,7.4,AC,free,,free
2025-08,Teruel,,150.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-08,Teruel,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-08,Teruel,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-08,Teruel,,43.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-08,Teruel,,60.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-08,Teruel,,14.0,AC,,,empty
2025-08,Teruel,,11.0,AC,,,empty
2025-08,Teruel,,150.0,DC,"0,56€/kWh >80kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-08,Teruel,,50.0,DC,"0,56€/kWh >80kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-08,Teruel,,22.0,AC,"0,56€/kWh >80kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-08,Teruel,,50.0,DC,"0,56€/kWh >80kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-08,Teruel,,50.0,DC,"0,56€/kWh >80kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-08,Teruel,,43.0,DC,"0,56€/kWh >80kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-08,Teruel,,22.0,AC,free,,free
2025-08,Teruel,,50.0,DC,0.47€/kWh ,0.47,ok
2025-08,Teruel,,50.0,DC,0.47€/kWh ,0.47,ok
