month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-06,Toledo,,22.0,AC,0,,no_kwh
2025-06,Toledo,,3.3,AC,0,,no_kwh
2025-06,Toledo,,7.4,AC,,,no_kwh
2025-06,Toledo,,22.0,AC,"0,45€/kWh + 0,05€/min after 3 hours",0.45,ok
2025-06,Toledo,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Toledo,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Toledo,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Toledo,,60.0,DC,"0,36€/kWh",0.36,ok
2025-06,Toledo,,22.0,AC,"0,36€/kWh",0.36,ok
2025-06,Toledo,,50.0,DC,"0,45€/kWh + 0,05€/min after 3 hours",0.45,ok
2025-06,Toledo,,50.0,DC,"0,45€/kWh + 0,05€/min after 3 hours",0.45,ok
2025-06,Toledo,,22.0,AC,"0,45€/kWh + 0,05€/min after 3 hours",0.45,ok
2025-06,Toledo,,11.0,AC,,,empty
2025-06,Toledo,,11.0,AC,,,empty
2025-06,Toledo,,2.3,AC,,,empty
2025-06,Toledo,,7.3,AC,"0,25€/kWh",0.25,ok
2025-06,Toledo,,3.7,AC,"0,25€/kWh",0.25,ok
2025-06,Toledo,,100.0,DC,"0,48€/kWh >50kW - 0,36€kW",0.48,ok
2025-06,Toledo,,3.7,AC,,,no_kwh
2025-06,Toledo,,32.0,DC," 0,36€/kWh ",0.36,ok
2025-06,Toledo,,32.0,DC," 0,36€/kWh ",0.36,ok
2025-06,Toledo,,32.0,DC," 0,36€/kWh ",0.36,ok
2025-06,Toledo,,11.0,AC,,,empty
2025-06,Toledo,,11.0,AC,,,empty
2025-06,Toledo,,3.0,AC,,,no_kwh
2025-06,Toledo,,11.0,AC,Free,,free
2025-06,Toledo,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Toledo,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Toledo,,43.0,DC,0.47€/kWh ,0.47,ok
2025-06,Toledo,,22.0,AC,,,empty
2025-06,Toledo,,3.7,AC,,,empty
2025-06,Toledo,,220.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-06,Toledo,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-06,Toledo,,43.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-06,Toledo,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-06,Toledo,,150.0,DC,"0,54€/kWh 80-200kW - 0,45€/kWh 50kW / AC43kW - 0,39€/kWh 22kW AC",0.54,ok
2025-06,Toledo,,50.0,DC,"0,54€/kWh 80-200kW - 0,45€/kWh 50kW / AC43kW - 0,39€/kWh 22kW AC",0.54,ok
2025-06,Toledo,,50.0,DC,"0,54€/kWh 80-200kW - 0,45€/kWh 50kW / AC43kW - 0,39€/kWh 22kW AC",0.54,ok
2025-06,Toledo,,22.0,AC,"0,54€/kWh 80-200kW - 0,45€/kWh 50kW / AC43kW - 0,39€/kWh 22kW AC",0.54,ok
2025-06,Toledo,,360.0,DC,"0,69€/kWh >200kW - 0,54€/kWh 80-200kW",0.69,ok
2025-06,Toledo,,180.0,DC,"0,69€/kWh >200kW - 0,54€/kWh 80-200kW",0.69,ok
2025-06,Toledo,,80.0,DC,"0,69€/kWh >200kW - 0,54€/kWh 80-200kW",0.69,ok
2025-06,Toledo,,2.3,AC,free,,free
2025-06,Toledo,,350.0,DC,"0,65€/kWh (or subscription rates) ",0.65,ok
2025-06,Toledo,,2.3,AC,,,no_kwh
2025-06,Toledo,,43.0,DC,,,no_kwh
2025-06,Toledo,,50.0,DC,"0,41€/kWh DC/AC43kW",0.41,ok
2025-06,Toledo,,43.0,DC,"0,41€/kWh DC/AC43kW",0.41,ok
2025-06,Toledo,,50.0,DC,"0,41€/kWh DC/AC43kW",0.41,ok
2025-06,Toledo,,3.7,AC,,,no_kwh
2025-06,Toledo,,2.3,AC,,,no_kwh
2025-06,Toledo,,7.4,AC,,,no_kwh
2025-06,Toledo,,11.0,AC,,,no_kwh
2025-06,Toledo,,22.0,AC,,,empty
2025-06,Toledo,,100.0,DC,"0,60€/kWh DC - 0,40€/kWh AC",0.6,ok
