month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-05,Valencia,,7.2,AC,Free,,free
2025-05,Valencia,,,,Free,,free
2025-05,Valencia,,180.0,DC,"0,54€/kWh DC ",0.54,ok
2025-05,Valencia,,180.0,DC,"0,54€/kWh DC ",0.54,ok
2025-05,Valencia,,7.4,AC,,,no_kwh
2025-05,Valencia,,7.4,AC,,,no_kwh
2025-05,Valencia,,2.3,AC,,,no_kwh
2025-05,Valencia,,14.0,AC,,,empty
2025-05,Valencia,,11.0,AC,,,empty
2025-05,Valencia,,150.0,DC,"0,56€/kWh >80kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-05,Valencia,,50.0,DC,"0,56€/kWh >80kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-05,Valencia,,22.0,AC,"0,56€/kWh >80kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-05,Valencia,,50.0,DC,"0,56€/kWh >80kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-05,Valencia,,50.0,DC,"0,56€/kWh >80kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-05,Valencia,,43.0,DC,"0,56€/kWh >80kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-05,Valencia,,22.0,AC,free,,free
2025-05,Valencia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Valencia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Valencia,,43.0,DC,0.47€/kWh ,0.47,ok
2025-05,Valencia,,22.0,AC,,,empty
2025-05,Valencia,,50.0,DC,"0,40€/kWh DC - 0,35€/kWh AC",0.4,ok
2025-05,Valencia,,50.0,DC,"0,40€/kWh DC - 0,35€/kWh AC",0.4,ok
2025-05,Valencia,,43.0,DC,"0,40€/kWh DC - 0,35€/kWh AC",0.4,ok
2025-05,Valencia,,3.7,AC,,,empty
2025-05,Valencia,,60.0,DC," 0,45€/kWh ",0.45,ok
2025-05,Valencia,,22.0,AC," 0,45€/kWh ",0.45,ok
2025-05,Valencia,,11.0,AC,"0,39€/kWh",0.39,ok
2025-05,Valencia,,22.0,AC,free,,free
