month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-05,Valladolid,,7.4,AC,"0,20€/kWh 7,4kW AC",0.2,ok
2025-05,Valladolid,,7.4,AC,"0,35€/kWh 7,4kW AC",0.35,ok
2025-05,Valladolid,,7.4,AC,"0,35€/kWh 7,4kW AC",0.35,ok
2025-05,Valladolid,,22.0,AC,"0,35€/kWh",0.35,ok
2025-05,Valladolid,,50.0,DC,0.36€/kWh ,0.36,ok
2025-05,Valladolid,,50.0,DC,0.36€/kWh ,0.36,ok
2025-05,Valladolid,,22.0,AC,0.36€/kWh ,0.36,ok
2025-05,Valladolid,,150.0,DC," 0,59€/kWh DC ",0.59,ok
2025-05,Valladolid,,150.0,DC," 0,59€/kWh DC ",0.59,ok
2025-05,Valladolid,,150.0,DC," 0,59€/kWh DC ",0.59,ok
2025-05,Valladolid,,180.0,DC,"0,58€/kWh",0.58,ok
2025-05,Valladolid,,360.0,DC,"0,58€/kWh",0.58,ok
2025-05,Valladolid,,360.0,DC,"0,58€/kWh",0.58,ok
2025-05,Valladolid,,400.0,DC,"0,55€/kWh DC ",0.55,ok
2025-05,Valladolid,,50.0,DC,"0,45€/kWh",0.45,ok
2025-05,Valladolid,,50.0,DC,"0,45€/kWh",0.45,ok
2025-05,Valladolid,,43.0,DC,"0,45€/kWh",0.45,ok
2025-05,Valladolid,,250.0,DC,,,empty
2025-05,Valladolid,,50.0,DC,0.44€/kWh ,0.44,ok
2025-05,Valladolid,,50.0,DC,0.44€/kWh ,0.44,ok
2025-05,Valladolid,,43.0,DC,0.44€/kWh ,0.44,ok
2025-05,Valladolid,,22.0,AC,"0,45€/kWh",0.45,ok
2025-05,Valladolid,,150.0,DC,"0,54€/kWh 80-200kW - 0,45€/kWh - 0,39€/kWh 22kW AC",0.54,ok
2025-05,Valladolid,,50.0,DC,"0,54€/kWh 80-200kW - 0,45€/kWh - 0,39€/kWh 22kW AC",0.54,ok
2025-05,Valladolid,,50.0,DC,"0,54€/kWh 80-200kW - 0,45€/kWh - 0,39€/kWh 22kW AC",0.54,ok
2025-05,Valladolid,,22.0,AC,"0,54€/kWh 80-200kW - 0,45€/kWh - 0,39€/kWh 22kW AC",0.54,ok
2025-05,Valladolid,,22.0,AC,"0,54€/kWh DC - 0,39€/kWh AC",0.54,ok
2025-05,Valladolid,,150.0,DC,"0,54€/kWh DC - 0,39€/kWh AC",0.54,ok
2025-05,Valladolid,,100.0,DC,"0,54€/kWh DC - 0,39€/kWh AC",0.54,ok
2025-05,Valladolid,,50.0,DC,"0,54€/kWh DC - 0,39€/kWh AC",0.54,ok
2025-05,Valladolid,,7.4,AC,,,no_kwh
2025-05,Valladolid,,7.4,AC,free,,free
2025-05,Valladolid,,22.0,AC,3€/hour,,no_kwh
2025-05,Valladolid,,100.0,DC,"0,54€/kWh DC - 0,36€/kWh AC",0.54,ok
2025-05,Valladolid,,400.0,DC,"0,55€/kWh DC ",0.55,ok
2025-05,Valladolid,,100.0,DC,"0,54€/kWh ",0.54,ok
2025-05,Valladolid,,22.0,AC,,,no_kwh
2025-05,Valladolid,,100.0,DC,"0,54€/kWh ",0.54,ok
2025-05,Valladolid,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Valladolid,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Valladolid,,43.0,DC,0.47€/kWh ,0.47,ok
2025-05,Valladolid,,150.0,DC," 0,55€/kWh",0.55,ok
2025-05,Valladolid,,150.0,DC," 0,55€/kWh",0.55,ok
2025-05,Valladolid,,150.0,DC," 0,55€/kWh",0.55,ok
2025-05,Valladolid,,22.0,AC," 0,55€/kWh",0.55,ok
2025-05,Valladolid,,43.0,DC,"0,47€/kWh DC - 0,35€/kWh AC",0.47,ok
2025-05,Valladolid,,50.0,DC,"0,47€/kWh DC - 0,35€/kWh AC",0.47,ok
2025-05,Valladolid,,50.0,DC,"0,47€/kWh DC - 0,35€/kWh AC",0.47,ok
2025-05,Valladolid,,50.0,DC,"0,45€/kWh DC - 0,39€/kWh 22kW AC",0.45,ok
2025-05,Valladolid,,50.0,DC,"0,45€/kWh DC - 0,39€/kWh 22kW AC",0.45,ok
2025-05,Valladolid,,22.0,AC,"0,45€/kWh DC - 0,39€/kWh 22kW AC",0.45,ok
2025-05,Valladolid,,100.0,DC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-05,Valladolid,,50.0,DC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-05,Valladolid,,22.0,AC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-05,Valladolid,,400.0,DC,"0,55€/kWh ",0.55,ok
2025-05,Valladolid,,22.0,AC,"0,30€/kWh",0.3,ok
2025-05,Valladolid,,75.0,DC,"0,54€/kWh",0.54,ok
2025-05,Valladolid,,7.4,AC,"0,25€/kWh",0.25,ok
2025-05,Valladolid,,3.7,AC,"0,25€/kWh",0.25,ok
2025-05,Valladolid,,11.0,AC,,,no_kwh
2025-05,Valladolid,,22.0,AC,Free,,free
2025-05,Valladolid,,11.0,AC,Free,,free
2025-05,Valladolid,,220.0,DC,"0,65€/kWh 200kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.65,ok
2025-05,Valladolid,,50.0,DC,"0,65€/kWh 200kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.65,ok
2025-05,Valladolid,,43.0,DC,"0,65€/kWh 200kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.65,ok
2025-05,Valladolid,,50.0,DC,"0,65€/kWh 200kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.65,ok
2025-05,Valladolid,,150.0,DC,"0,54€/kWh 80-200kW - 0,45€/kWh - 0,39€/kWh 22kW AC",0.54,ok
2025-05,Valladolid,,50.0,DC,"0,54€/kWh 80-200kW - 0,45€/kWh - 0,39€/kWh 22kW AC",0.54,ok
2025-05,Valladolid,,50.0,DC,"0,54€/kWh 80-200kW - 0,45€/kWh - 0,39€/kWh 22kW AC",0.54,ok
2025-05,Valladolid,,22.0,AC,"0,54€/kWh 80-200kW - 0,45€/kWh - 0,39€/kWh 22kW AC",0.54,ok
2025-05,Valladolid,,7.4,AC,"0,25€/kWh",0.25,ok
2025-05,Valladolid,,43.0,DC,"0,47€/kWh",0.47,ok
2025-05,Valladolid,,50.0,DC,"0,47€/kWh",0.47,ok
2025-05,Valladolid,,50.0,DC,"0,47€/kWh",0.47,ok
2025-05,Valladolid,,250.0,DC,,,empty
2025-05,Valladolid,,150.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-05,Valladolid,,9.0,AC,"0,36€/kWh ",0.36,ok
2025-05,Valladolid,,22.0,AC,free,,free
2025-05,Valladolid,,11.0,AC,,,no_kwh
2025-05,Valladolid,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-05,Valladolid,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-05,Valladolid,,43.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-05,Valladolid,,50.0,DC,"0,45€/kWh DC>100kW  0,39€/kWh DC - 0,29€/kWh AC",0.45,ok
2025-05,Valladolid,,43.0,DC,"0,45€/kWh DC>100kW  0,39€/kWh DC - 0,29€/kWh AC",0.45,ok
2025-05,Valladolid,,50.0,DC,"0,45€/kWh DC>100kW  0,39€/kWh DC - 0,29€/kWh AC",0.45,ok
2025-05,Valladolid,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-05,Valladolid,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-05,Valladolid,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-05,Valladolid,,180.0,DC," 0,55€/kWh DC >90KW  - 0.39€/kWh DC50kW/AC",0.55,ok
2025-05,Valladolid,,360.0,DC," 0,55€/kWh DC >90KW  - 0.39€/kWh DC50kW/AC",0.55,ok
2025-05,Valladolid,,360.0,DC," 0,55€/kWh DC >90KW  - 0.39€/kWh DC50kW/AC",0.55,ok
2025-05,Valladolid,,50.0,DC," 0,55€/kWh DC >90KW  - 0.39€/kWh DC50kW/AC",0.55,ok
2025-05,Valladolid,,50.0,DC," 0,55€/kWh DC >90KW  - 0.39€/kWh DC50kW/AC",0.55,ok
2025-05,Valladolid,,43.0,DC," 0,55€/kWh DC >90KW  - 0.39€/kWh DC50kW/AC",0.55,ok
2025-05,Valladolid,,22.0,AC,,,no_kwh
2025-05,Valladolid,,3.7,AC,,,no_kwh
