month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-03,Zamora,,7.4,AC,"0,20€/kWh 7,4kW AC",0.2,ok
2025-03,Zamora,,50.0,DC,"0,48€/kWh DC/AC43kW (0,14€/min parked without charging)",0.48,ok
2025-03,Zamora,,50.0,DC,"0,48€/kWh DC/AC43kW (0,14€/min parked without charging)",0.48,ok
2025-03,Zamora,,43.0,DC,"0,48€/kWh DC/AC43kW (0,14€/min parked without charging)",0.48,ok
2025-03,Zamora,,22.0,AC,"0,35€/kWh",0.35,ok
2025-03,Zamora,,150.0,DC,0.54€/kWh,0.54,ok
2025-03,Zamora,,250.0,DC,,,no_kwh
2025-03,Zamora,,22.0,AC,,,empty
2025-03,Zamora,,210.0,DC,"0,58€/kWh DC >60kW (0,40€/min parked without charging)",0.58,ok
2025-03,Zamora,,50.0,DC,0.47€/kWh ,0.47,ok
2025-03,Zamora,,43.0,DC,0.47€/kWh ,0.47,ok
2025-03,Zamora,,3.7,AC,1€/hour,,no_kwh
2025-03,Zamora,,2.3,AC,1€/hour,,no_kwh
2025-03,Zamora,,11.0,AC,1€/hour,,no_kwh
2025-03,Zamora,,11.0,AC,free,,free
2025-03,Zamora,,350.0,DC,"0,65€/kWh (or subscription rates) ",0.65,ok
2025-03,Zamora,,160.0,DC,"0,54€/kWh",0.54,ok
2025-03,Zamora,,7.4,AC,,,no_kwh
2025-03,Zamora,,2.3,AC,,,no_kwh
2025-03,Zamora,,22.0,AC,"0,25€/kWh",0.25,ok
2025-03,Zamora,,22.0,AC,,,empty
2025-03,Zamora,,4.0,AC,free,,free
2025-03,Zamora,,2.3,AC,free,,free
2025-03,Zamora,,11.0,AC,"0,39€/kWh AC + parking fee",0.39,ok
2025-03,Zamora,,11.0,AC,,,no_kwh
2025-03,Zamora,,3.7,AC,,,no_kwh
2025-03,Zamora,,11.0,AC,,,no_kwh
2025-03,Zamora,,7.0,AC,"0,25€/kWh",0.25,ok
2025-03,Zamora,,50.0,DC,0.36€/kWh ,0.36,ok
2025-03,Zamora,,50.0,DC,0.36€/kWh ,0.36,ok
2025-03,Zamora,,22.0,AC,0.36€/kWh ,0.36,ok
2025-03,Zamora,,50.0,DC,"0,50€/kWh ",0.5,ok
2025-03,Zamora,,50.0,DC,"0,50€/kWh ",0.5,ok
2025-03,Zamora,,22.0,AC,"0,50€/kWh ",0.5,ok
2025-03,Zamora,,150.0,DC," 0,59€/kWh DC ",0.59,ok
2025-03,Zamora,,150.0,DC," 0,59€/kWh DC ",0.59,ok
2025-03,Zamora,,150.0,DC," 0,59€/kWh DC ",0.59,ok
2025-03,Zamora,,180.0,DC,"0,58€/kWh",0.58,ok
2025-03,Zamora,,360.0,DC,"0,58€/kWh",0.58,ok
2025-03,Zamora,,360.0,DC,"0,58€/kWh",0.58,ok
2025-03,Zamora,,400.0,DC,"0,55€/kWh DC ",0.55,ok
2025-03,Zamora,,50.0,DC,"0,45€/kWh",0.45,ok
2025-03,Zamora,,50.0,DC,"0,45€/kWh",0.45,ok
2025-03,Zamora,,43.0,DC,"0,45€/kWh",0.45,ok
2025-03,Zamora,,250.0,DC,,,empty
2025-03,Zamora,,50.0,DC,0.44€/kWh ,0.44,ok
2025-03,Zamora,,50.0,DC,0.44€/kWh ,0.44,ok
2025-03,Zamora,,43.0,DC,0.44€/kWh ,0.44,ok
2025-03,Zamora,,150.0,DC,"0,54€/kWh 80-200kW - 0,45€/kWh - 0,39€/kWh 22kW AC",0.54,ok
2025-03,Zamora,,50.0,DC,"0,54€/kWh 80-200kW - 0,45€/kWh - 0,39€/kWh 22kW AC",0.54,ok
2025-03,Zamora,,50.0,DC,"0,54€/kWh 80-200kW - 0,45€/kWh - 0,39€/kWh 22kW AC",0.54,ok
2025-03,Zamora,,22.0,AC,"0,54€/kWh 80-200kW - 0,45€/kWh - 0,39€/kWh 22kW AC",0.54,ok
2025-03,Zamora,,22.0,AC,"0,54€/kWh DC - 0,39€/kWh AC",0.54,ok
2025-03,Zamora,,150.0,DC,"0,54€/kWh DC - 0,39€/kWh AC",0.54,ok
2025-03,Zamora,,100.0,DC,"0,54€/kWh DC - 0,39€/kWh AC",0.54,ok
2025-03,Zamora,,50.0,DC,"0,54€/kWh DC - 0,39€/kWh AC",0.54,ok
2025-03,Zamora,,7.4,AC,,,no_kwh
2025-03,Zamora,,7.4,AC,free,,free
2025-03,Zamora,,22.0,AC,3€/hour,,no_kwh
2025-03,Zamora,,100.0,DC,"0,54€/kWh DC - 0,36€/kWh AC",0.54,ok
2025-03,Zamora,,400.0,DC,"0,55€/kWh DC ",0.55,ok
2025-03,Zamora,,100.0,DC,"0,54€/kWh ",0.54,ok
2025-03,Zamora,,22.0,AC,,,no_kwh
2025-03,Zamora,,100.0,DC,"0,54€/kWh ",0.54,ok
2025-03,Zamora,,400.0,DC,"0,55€/kWh ",0.55,ok
2025-03,Zamora,,22.0,AC,"0,30€/kWh",0.3,ok
2025-03,Zamora,,75.0,DC,"0,54€/kWh",0.54,ok
2025-03,Zamora,,7.4,AC,"0,25€/kWh",0.25,ok
2025-03,Zamora,,3.7,AC,"0,25€/kWh",0.25,ok
2025-03,Zamora,,11.0,AC,,,no_kwh
2025-03,Zamora,,100.0,DC,"0,54€/kWh DC - 0,36€/kWh AC",0.54,ok
