month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-04,Zaragoza,,7.4,AC,,,empty
2025-04,Zaragoza,,50.0,DC,"0,39€/kWh 50 kW - 0,32€/kWh AC",0.39,ok
2025-04,Zaragoza,,50.0,DC,"0,39€/kWh 50 kW - 0,32€/kWh AC",0.39,ok
2025-04,Zaragoza,,43.0,DC,"0,39€/kWh 50 kW - 0,32€/kWh AC",0.39,ok
2025-04,Zaragoza,,22.0,AC,"0,25€/kWh",0.25,ok
2025-04,Zaragoza,,50.0,DC,"0,48€/kWh DC 50 kW -  0,38€/kWh AC",0.48,ok
2025-04,Zaragoza,,50.0,DC,"0,48€/kWh DC 50 kW -  0,38€/kWh AC",0.48,ok
2025-04,Zaragoza,,22.0,AC,"0,48€/kWh DC 50 kW -  0,38€/kWh AC",0.48,ok
2025-04,Zaragoza,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-04,Zaragoza,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-04,Zaragoza,,43.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-04,Zaragoza,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,120.0,DC,"0,54€/kWh DC - 0,39€/kWh AC",0.54,ok
2025-04,Zaragoza,,22.0,AC,"0,54€/kWh DC - 0,39€/kWh AC",0.54,ok
2025-04,Zaragoza,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-04,Zaragoza,,43.0,DC,"0,45€/kWh ",0.45,ok
2025-04,Zaragoza,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-04,Zaragoza,,3.7,AC,,,empty
2025-04,Zaragoza,,22.0,AC,,,no_kwh
2025-04,Zaragoza,,2.3,AC,,,no_kwh
