month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-01,Álava,,11.0,AC,,,no_kwh
2025-01,Álava,,22.0,AC,€0.24/kWh; Otras tarifas posibles para los coches antiguos,,no_kwh
2025-01,Álava,,22.0,AC," 0,20€/kWh",0.2,ok
2025-01,Álava,,22.0,AC,,,no_kwh
2025-01,Álava,,22.0,AC," 0,15€/kWh",0.15,ok
2025-01,Álava,,180.0,DC,"0,54€/kWh ",0.54,ok
2025-01,Álava,,180.0,DC,"0,54€/kWh ",0.54,ok
2025-01,Álava,,3.7,AC,,,empty
2025-01,Álava,,11.0,AC,,,no_kwh
2025-01,Álava,,50.0,DC,"0,45€/kWh",0.45,ok
2025-01,Álava,,50.0,DC,"0,45€/kWh",0.45,ok
2025-01,Álava,,50.0,DC,,,no_kwh
2025-01,Álava,,22.0,AC,"0,25€/kWh",0.25,ok
2025-01,Álava,,3.7,AC,,,empty
2025-01,Álava,,3.7,AC,,,empty
2025-01,Álava,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-01,Álava,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-01,Álava,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-01,Álava,,22.0,AC," 0,35€/kWh",0.35,ok
2025-01,Álava,,3.7,AC,,,empty
2025-01,Álava,,3.7,AC,,,empty
2025-01,Álava,,100.0,DC,"0,50€/kWh 150kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-01,Álava,,50.0,DC,"0,50€/kWh 150kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-01,Álava,,22.0,AC,"0,50€/kWh 150kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-01,Álava,,7.4,AC,"0,35€/kWh",0.35,ok
2025-01,Álava,,22.0,AC,"0,39€/kWh",0.39,ok
2025-01,Álava,,22.0,AC,,,empty
2025-01,Álava,,60.0,DC," 0,45€/kWh - 0,40€/kWh AC ",0.45,ok
2025-01,Álava,,22.0,AC," 0,45€/kWh - 0,40€/kWh AC ",0.45,ok
2025-01,Álava,,22.0,AC,"0,25€/kWh",0.25,ok
2025-01,Álava,,50.0,DC,free,,free
2025-01,Álava,,50.0,DC,free,,free
2025-01,Álava,,3.7,AC,,,empty
2025-01,Álava,,7.4,AC,,,empty
2025-01,Álava,,150.0,DC,"0,70€/kWh",0.7,ok
2025-01,Álava,,50.0,DC," 0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-01,Álava,,50.0,DC," 0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-01,Álava,,22.0,AC," 0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-01,Álava,,150.0,DC,,,empty
2025-01,Álava,,3.7,AC,,,no_kwh
2025-01,Álava,,3.7,AC,,,no_kwh
2025-01,Álava,,7.4,AC,free,,free
2025-01,Álava,,50.0,DC,0.47€/kWh ,0.47,ok
2025-01,Álava,,50.0,DC,0.47€/kWh ,0.47,ok
