tipoDocumento,concesionaria,autopista,fechaHora,categoriaVehiculo,importe,ivaIncluido,formaPago,referencia,idEmpresa,empresaNombre,idUsuario,provincia,tramo,entrada,salida
Peaje,Estatal,AP-7,2025-06-04 03:19:23,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-B6D90551,EMP001,Transporte_01 S.L.,EMP001-U1,ALICANTE,763 La Zenia Urbanizaciones – 786 Los Alcazares (Norte),763 La Zenia Urbanizaciones,786 Los Alcazares (Norte)
Peaje,Estatal,AP-7,2025-07-26 14:48:18,B,"5,50 €",IVA incluido,Tarjeta crédito,PASO-71D18053,EMP001,Transporte_01 S.L.,EMP001-U1,ALICANTE,768 Campoamor-Urbanizaciones – 786 Los Alcazares (Norte),768 Campoamor-Urbanizaciones,786 Los Alcazares (Norte)
Peaje,Estatal,AP-53,2025-06-05 21:12:49,B,"7,00 €",IVA incluido,Efectivo,PASO-F5950A17,EMP001,Transporte_01 S.L.,EMP001-U1,PONTEVEDRA,Santiago – Lalín Oeste,Santiago,Lalín Oeste
Peaje,Estatal,AP-71,2025-01-25 02:28:33,B,"1,60 €",IVA incluido,Tarjeta crédito,PASO-B56AA05D,EMP001,Transporte_01 S.L.,EMP001-U1,LEÓN,Hospital de Órbigo – Astorga,Hospital de Órbigo,Astorga
Peaje,Estatal,AP-7,2025-07-06 20:35:49,B,"2,75 €",IVA incluido,Efectivo,PASO-0A88F721,EMP001,Transporte_01 S.L.,EMP001-U1,CÁDIZ,758 San Miguel de Salinas-Torrevieja – 768 Campoamor-Urbanizaciones,758 San Miguel de Salinas-Torrevieja,768 Campoamor-Urbanizaciones
Peaje,Estatal,AP-7,2025-05-24 12:37:23,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-ECD3D2F1,EMP001,Transporte_01 S.L.,EMP001-U1,ALICANTE,754 Carretera San Miguel Benijofar – 794 Los Alcazares (Sur),754 Carretera San Miguel Benijofar,794 Los Alcazares (Sur)
Peaje,Estatal,AP-7,2025-05-12 11:45:57,B,"2,75 €",IVA incluido,Efectivo,PASO-1441BE0A,EMP001,Transporte_01 S.L.,EMP001-U1,CÁDIZ,754 Carretera San Miguel Benijofar – 784 San Javier (Sur)-Acceso aeropuerto,754 Carretera San Miguel Benijofar,784 San Javier (Sur)-Acceso aeropuerto
Peaje,Estatal,AP-7,2025-07-11 06:21:40,B,"5,50 €",IVA incluido,Tarjeta crédito,PASO-BD55C43E,EMP001,Transporte_01 S.L.,EMP001-U1,BARCELONA,775 Los Tárragas – 797 Torre del Negro,775 Los Tárragas,797 Torre del Negro
Peaje,Estatal,AP-7,2025-07-23 13:12:38,B,"2,15 €",IVA incluido,Tarjeta crédito,PASO-657288E5,EMP001,Transporte_01 S.L.,EMP001-U1,MÁLAGA,Acceso de San Pedro de Alcantara – ,Acceso de San Pedro de Alcantara,
Peaje,Estatal,AP-7,2025-06-25 03:03:49,B,"5,50 €",IVA incluido,Tarjeta crédito,PASO-252762FE,EMP001,Transporte_01 S.L.,EMP001-U1,TARRAGONA,763 La Zenia Urbanizaciones – 784 San Javier (Sur)-Acceso aeropuerto,763 La Zenia Urbanizaciones,784 San Javier (Sur)-Acceso aeropuerto
Peaje,Estatal,AP-7,2025-02-14 11:22:41,B,"2,40 €",IVA incluido,Tarjeta crédito,PASO-88317CF8,EMP001,Transporte_01 S.L.,EMP001-U1,GIRONA,Troncal de Manilva – ,Troncal de Manilva,
Peaje,Estatal,AP-7,2025-05-01 18:07:50,B,"2,15 €",IVA incluido,Tarjeta crédito,PASO-D24A018A,EMP001,Transporte_01 S.L.,EMP001-U1,BARCELONA,Acceso de San Pedro de Alcantara – ,Acceso de San Pedro de Alcantara,
Peaje,Estatal,AP-7,2025-06-28 09:21:19,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-F80921CC,EMP001,Transporte_01 S.L.,EMP001-U1,VALENCIA / VALÈNCIA,784 San Javier (Sur)-Acceso aeropuerto – 790 Los Alcazares (Centro)-Torre Pacheco,784 San Javier (Sur)-Acceso aeropuerto,790 Los Alcazares (Centro)-Torre Pacheco
Peaje,Estatal,AP-7,2025-01-15 16:03:55,B,"5,50 €",IVA incluido,Tarjeta crédito,PASO-2088657C,EMP001,Transporte_01 S.L.,EMP001-U1,CASTELLÓN / CASTELLÓ,754 Carretera San Miguel Benijofar – 780 San Javier (Norte)-Sucina,754 Carretera San Miguel Benijofar,780 San Javier (Norte)-Sucina
Peaje,Estatal,AP-7,2025-03-24 12:03:34,B,"2,75 €",IVA incluido,Efectivo,PASO-ACC75C6F,EMP001,Transporte_01 S.L.,EMP001-U1,ALICANTE,763 La Zenia Urbanizaciones – 774 San Pedro del Pinatar (Norte),763 La Zenia Urbanizaciones,774 San Pedro del Pinatar (Norte)
Peaje,Estatal,AP-7,2025-06-05 22:13:03,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-117020CA,EMP001,Transporte_01 S.L.,EMP001-U1,BARCELONA,754 Carretera San Miguel Benijofar – 784 San Javier (Sur)-Acceso aeropuerto,754 Carretera San Miguel Benijofar,784 San Javier (Sur)-Acceso aeropuerto
Peaje,Estatal,AP-6,2025-06-11 11:59:28,B,"15,15 €",IVA incluido,Tarjeta crédito,PASO-C4C96CFA,EMP001,Transporte_01 S.L.,EMP001-U1,MADRID,Villalba – Adanero,Villalba,Adanero
Peaje,Estatal,AP-7,2025-07-27 16:44:00,B,"2,75 €",IVA incluido,Efectivo,PASO-4ABB4BA4,EMP001,Transporte_01 S.L.,EMP001-U1,BARCELONA,724 Entronque A-7 – 754 Carretera San Miguel Benijofar,724 Entronque A-7,754 Carretera San Miguel Benijofar
Peaje,Estatal,AP-7,2025-03-06 05:45:08,B,"5,50 €",IVA incluido,Tarjeta crédito,PASO-CC2317DB,EMP001,Transporte_01 S.L.,EMP001-U1,VALENCIA / VALÈNCIA,754 Carretera San Miguel Benijofar – 780 San Javier (Norte)-Sucina,754 Carretera San Miguel Benijofar,780 San Javier (Norte)-Sucina
Peaje,Estatal,AP-61,2025-03-06 03:47:34,B,"2,95 €",IVA incluido,Efectivo,PASO-85243888,EMP001,Transporte_01 S.L.,EMP001-U1,MADRID,San Rafael – Segovia,San Rafael,Segovia
Peaje,Estatal,AP-7,2025-07-01 01:39:44,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-AFF6DA2A,EMP001,Transporte_01 S.L.,EMP001-U1,BARCELONA,754 Carretera San Miguel Benijofar – 786 Los Alcazares (Norte),754 Carretera San Miguel Benijofar,786 Los Alcazares (Norte)
Peaje,Estatal,AP-66,2025-04-17 07:48:57,B,"9,95 €",IVA incluido,Tarjeta crédito,PASO-26C8D0F4,EMP001,Transporte_01 S.L.,EMP001-U1,ASTURIAS,Oblanca – León,Oblanca,León
Peaje,Estatal,AP-7,2025-06-24 21:09:53,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-DE65282F,EMP001,Transporte_01 S.L.,EMP001-U1,BARCELONA,763 La Zenia Urbanizaciones – 777 El Mirador-Colonia Ruiz de Alda,763 La Zenia Urbanizaciones,777 El Mirador-Colonia Ruiz de Alda
Peaje,Estatal,AP-7,2025-04-20 08:15:05,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-1B931F0B,EMP001,Transporte_01 S.L.,EMP001-U1,ALICANTE,724 Entronque A-7 – 754 Carretera San Miguel Benijofar,724 Entronque A-7,754 Carretera San Miguel Benijofar
Peaje,Estatal,AP-7,2025-03-14 11:06:59,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-4181C537,EMP001,Transporte_01 S.L.,EMP001-U1,CASTELLÓN / CASTELLÓ,784 San Javier (Sur)-Acceso aeropuerto – 797 Torre del Negro,784 San Javier (Sur)-Acceso aeropuerto,797 Torre del Negro
Peaje,Estatal,AP-61,2025-02-22 01:24:01,B,"2,95 €",IVA incluido,Tarjeta crédito,PASO-111BE012,EMP001,Transporte_01 S.L.,EMP001-U1,MADRID,San Rafael – El Hontoria,San Rafael,El Hontoria
Peaje,Estatal,AP-61,2025-02-23 17:29:17,B,"2,95 €",IVA incluido,Tarjeta crédito,PASO-449059F7,EMP001,Transporte_01 S.L.,EMP001-U1,MADRID,San Rafael – El Hontoria,San Rafael,El Hontoria
Peaje,Estatal,AP-7,2025-06-08 01:34:09,B,"2,75 €",IVA incluido,Efectivo,PASO-E2453468,EMP001,Transporte_01 S.L.,EMP001-U2,BARCELONA,754 Carretera San Miguel Benijofar – 784 San Javier (Sur)-Acceso aeropuerto,754 Carretera San Miguel Benijofar,784 San Javier (Sur)-Acceso aeropuerto
Peaje,Estatal,AP-68,2025-02-16 20:56:18,B,"15,85 €",IVA incluido,Tarjeta crédito,PASO-020DE5BE,EMP001,Transporte_01 S.L.,EMP001-U2,ZARAGOZA,Lodosa – Zaragoza,Lodosa,Zaragoza
Peaje,Estatal,AP-9,2025-05-05 23:55:00,B,"2,50 €",IVA incluido,Efectivo,PASO-DD99C3FD,EMP001,Transporte_01 S.L.,EMP001-U2,PONTEVEDRA,Cabanas – Guísamo,Cabanas,Guísamo
Peaje,Estatal,AP-7,2025-03-25 04:57:26,B,"2,75 €",IVA incluido,Efectivo,PASO-DAC253EB,EMP001,Transporte_01 S.L.,EMP001-U2,VALENCIA / VALÈNCIA,758 San Miguel de Salinas-Torrevieja – 768 Campoamor-Urbanizaciones,758 San Miguel de Salinas-Torrevieja,768 Campoamor-Urbanizaciones
