month,provincia,band,median_eur_kWh,mean_eur_kWh,n
2025-01,A Coruña,AC,0.4,0.4117037037037037,135
2025-01,A Coruña,DC,0.47,0.476518771331058,293
2025-01,Alacant,AC,0.39,0.3707428571428571,350
2025-01,Alacant,DC,0.47,0.4721119133574007,554
2025-01,Albacete,AC,0.4,0.4074038461538461,104
2025-01,Albacete,DC,0.47,0.4787323943661972,284
2025-01,Almería,AC,0.35,0.3508045977011494,87
2025-01,Almería,DC,0.47,0.4761722488038277,209
2025-01,Asturias,AC,0.4,0.4013937282229965,287
2025-01,Asturias,DC,0.48,0.4886054421768707,294
2025-01,Badajoz,AC,0.38,0.373203125,128
2025-01,Badajoz,DC,0.47,0.4804,250
2025-01,Barcelona,AC,0.39,0.3767543859649123,684
2025-01,Barcelona,DC,0.47,0.4645170731707317,1025
2025-01,Bizkaia,AC,0.35,0.3542,150
2025-01,Bizkaia,DC,0.47,0.483414847161572,229
2025-01,Burgos,AC,0.35,0.3702816901408451,213
2025-01,Burgos,DC,0.48,0.4948293963254593,381
2025-01,Cantabria,AC,0.34,0.353542600896861,223
2025-01,Cantabria,DC,0.48,0.491711229946524,187
2025-01,Castellón,AC,0.39,0.3681679389312977,131
2025-01,Castellón,DC,0.47,0.4848611111111111,216
2025-01,Ceuta,AC,0.25,0.25,1
2025-01,Ciudad Real,AC,0.4,0.4167441860465116,86
2025-01,Ciudad Real,DC,0.47,0.4882432432432432,222
2025-01,Cuenca,AC,0.4,0.4306153846153845,65
2025-01,Cuenca,DC,0.47,0.4950898203592814,167
2025-01,Cáceres,AC,0.4,0.389448275862069,145
2025-01,Cáceres,DC,0.4649999999999999,0.4835849056603773,212
2025-01,Cádiz,AC,0.4,0.3914814864864864,148
2025-01,Cádiz,DC,0.47,0.4817808219178082,292
2025-01,Córdoba,AC,0.39,0.3810434782608696,115
2025-01,Córdoba,DC,0.47,0.4801818181818182,220
2025-01,Gipuzkoa,AC,0.375,0.3713333333333333,90
2025-01,Gipuzkoa,DC,0.47,0.485032679738562,153
2025-01,Girona,AC,0.4,0.4147750865051903,289
2025-01,Girona,DC,0.47,0.4825272331154684,459
2025-01,Granada,AC,0.39,0.3764732142857143,224
2025-01,Granada,DC,0.47,0.4836879432624113,423
2025-01,Guadalajara,AC,0.42,0.4105263157894737,133
2025-01,Guadalajara,DC,0.47,0.4840727272727272,275
2025-01,Huelva,AC,0.39,0.3709345794392523,107
2025-01,Huelva,DC,0.48,0.4898347107438017,121
2025-01,Huesca,AC,0.39,0.3842156862745098,204
2025-01,Huesca,DC,0.5,0.4879127725856698,321
2025-01,Illes Balears,AC,0.39,0.3848387096774193,155
2025-01,Illes Balears,DC,0.47,0.4876960784313725,204
2025-01,Jaén,AC,0.45,0.3961111111111111,54
2025-01,Jaén,DC,0.47,0.497958115183246,191
2025-01,La Rioja,AC,0.39,0.3892537313432836,67
2025-01,La Rioja,DC,0.5,0.4946616541353384,133
2025-01,Las Palmas,AC,0.38,0.3484269662921349,89
2025-01,Las Palmas,DC,0.45,0.4720858895705521,163
2025-01,León,AC,0.39,0.3585849056603773,106
2025-01,León,DC,0.47,0.4870344827586207,145
2025-01,Lleida,AC,0.39,0.4127918781725888,197
2025-01,Lleida,DC,0.47,0.4796526054590571,403
2025-01,Lugo,AC,0.42,0.4185483870967741,62
2025-01,Lugo,DC,0.47,0.4832085561497326,187
2025-01,Madrid,AC,0.4,0.3904431914893617,940
2025-01,Madrid,DC,0.47,0.4830125523012552,1434
2025-01,Murcia,AC,0.39,0.3858359621451104,317
2025-01,Murcia,DC,0.47,0.4635436893203884,618
2025-01,Málaga,AC,0.39,0.3625909090909091,220
2025-01,Málaga,DC,0.47,0.4783152173913044,368
2025-01,Navarra,AC,0.39,0.3851754385964913,228
2025-01,Navarra,DC,0.47,0.4873415132924335,489
2025-01,Ourense,AC,0.39,0.3935897435897436,39
2025-01,Ourense,DC,0.47,0.4656730769230769,104
2025-01,Palencia,AC,0.385,0.3571739130434782,46
2025-01,Palencia,DC,0.47,0.4745833333333333,96
2025-01,Pontevedra,AC,0.39,0.3997849462365591,93
2025-01,Pontevedra,DC,0.47,0.463015873015873,252
2025-01,Salamanca,AC,0.35,0.3481707317073171,82
2025-01,Salamanca,DC,0.47,0.4850724637681159,138
2025-01,Santa Cruz de Tenerife,AC,0.39,0.389468085106383,94
2025-01,Santa Cruz de Tenerife,DC,0.47,0.4970992366412214,131
2025-01,Segovia,AC,0.39,0.3856320754716981,106
2025-01,Segovia,DC,0.5,0.4994554455445544,202
2025-01,Sevilla,AC,0.39,0.3925587467362924,383
2025-01,Sevilla,DC,0.48,0.4886220472440944,508
2025-01,Soria,AC,0.37,0.3574,50
2025-01,Soria,DC,0.47,0.48,74
2025-01,Tarragona,AC,0.39,0.3815584415584415,154
2025-01,Tarragona,DC,0.47,0.4782568807339449,327
2025-01,Territorio no asociado a ninguna provincia,AC,0.25,0.25,1
2025-01,Teruel,AC,0.39,0.3641605839416058,137
2025-01,Teruel,DC,0.47,0.478590308370044,227
2025-01,Toledo,AC,0.42,0.4004651162790697,215
2025-01,Toledo,DC,0.47,0.4856009070294784,441
2025-01,Valencia,AC,0.39,0.3636526946107784,501
2025-01,Valencia,DC,0.47,0.4705511515151515,825
2025-01,Valladolid,AC,0.36,0.3509090909090909,165
2025-01,Valladolid,DC,0.47,0.4860828025477707,314
2025-01,Zamora,AC,0.3,0.3346031746031745,63
2025-01,Zamora,DC,0.47,0.4941489361702127,94
2025-01,Zaragoza,AC,0.39,0.3838775510204081,245
2025-01,Zaragoza,DC,0.49,0.4883177570093458,535
2025-01,Álava,AC,0.37,0.3695833333333333,96
2025-01,Álava,DC,0.47,0.4931506849315068,219
2025-01,Ávila,AC,0.38,0.3667032967032966,91
2025-01,Ávila,DC,0.47,0.4984343434343434,198
2025-02,A Coruña,AC,0.4,0.4117037037037037,135
2025-02,A Coruña,DC,0.47,0.476518771331058,293
2025-02,Alacant,AC,0.39,0.3707428571428571,350
2025-02,Alacant,DC,0.47,0.4721119133574007,554
2025-02,Albacete,AC,0.4,0.4074038461538461,104
2025-02,Albacete,DC,0.47,0.4787323943661972,284
2025-02,Almería,AC,0.35,0.3508045977011494,87
2025-02,Almería,DC,0.47,0.4761722488038277,209
2025-02,Asturias,AC,0.4,0.4013937282229965,287
2025-02,Asturias,DC,0.48,0.4886054421768707,294
2025-02,Badajoz,AC,0.38,0.373203125,128
2025-02,Badajoz,DC,0.47,0.4804,250
2025-02,Barcelona,AC,0.39,0.3767543859649123,684
2025-02,Barcelona,DC,0.47,0.4645170731707317,1025
2025-02,Bizkaia,AC,0.35,0.3542,150
2025-02,Bizkaia,DC,0.47,0.483414847161572,229
2025-02,Burgos,AC,0.35,0.3702816901408451,213
2025-02,Burgos,DC,0.48,0.4948293963254593,381
2025-02,Cantabria,AC,0.34,0.353542600896861,223
2025-02,Cantabria,DC,0.48,0.491711229946524,187
2025-02,Castellón,AC,0.39,0.3681679389312977,131
2025-02,Castellón,DC,0.47,0.4848611111111111,216
2025-02,Ceuta,AC,0.25,0.25,1
2025-02,Ciudad Real,AC,0.4,0.4167441860465116,86
2025-02,Ciudad Real,DC,0.47,0.4882432432432432,222
2025-02,Cuenca,AC,0.4,0.4306153846153845,65
2025-02,Cuenca,DC,0.47,0.4950898203592814,167
2025-02,Cáceres,AC,0.4,0.389448275862069,145
2025-02,Cáceres,DC,0.4649999999999999,0.4835849056603773,212
