idTicket,idEmpresa,empresaNombre,idUsuario,fechaEmision,horaEmision,metodoPago,estacion,lineas,baseImponible,iva,total,moneda,tipoDocumento
T-57C91D724447,EMP001,Transporte_01 S.L.,EMP001-U1,2025-04-13,04:23:15,Tarjeta de empresa,"{'id': '1492', 'nombre': 'COOP. LA SIBERIA EXTREMEÑA', 'provincia': 'BADAJOZ', 'municipio': 'TALARRUBIAS', 'direccion': 'AVENIDA EXTREMADURA, 118', 'lat': 39.042917, 'lon': -5.234583, 'grupo': 'COOP. LA SIBERIA EXTREMEÑA', 'nifEmpresa': 'P4078161I'}","[{'producto': 'Gasóleo A', 'litros': 17.44, 'precioUnitario': 1.423, 'importe': 24.82}]",20.51,4.31,24.82,EUR,Factura simplificada
T-CA208B96C7F3,EMP001,Transporte_01 S.L.,EMP001-U1,2025-06-14,00:57:19,Tarjeta de empresa,"{'id': '6170', 'nombre': 'E.S SANT ISIDRE', 'provincia': 'LLEIDA', 'municipio': 'BORGES BLANQUES (LES)', 'direccion': 'AVINGUDA JAUME SEGARRA, S/N', 'lat': 41.523167, 'lon': 0.861694, 'grupo': 'E.S SANT ISIDRE', 'nifEmpresa': 'P5931034B'}","[{'producto': 'Gasóleo A', 'litros': 25.64, 'precioUnitario': 1.413, 'importe': 36.23}]",29.94,6.29,36.23,EUR,Factura simplificada
T-C2848B67488F,EMP001,Transporte_01 S.L.,EMP001-U1,2025-01-03,13:38:09,Efectivo,"{'id': '3956', 'nombre': 'REPSOL', 'provincia': 'CÓRDOBA', 'municipio': 'CASTRO DEL RÍO', 'direccion': 'CALLE RONDA PUENTE NUEVO, SN', 'lat': 37.691333, 'lon': -4.486028, 'grupo': 'REPSOL', 'nifEmpresa': 'A78374725'}","[{'producto': 'Gasóleo A', 'litros': 50.44, 'precioUnitario': 1.436, 'importe': 72.43}]",59.86,12.57,72.43,EUR,Factura simplificada
T-92E73174371E,EMP001,Transporte_01 S.L.,EMP001-U1,2025-06-04,00:23:23,Tarjeta de empresa,"{'id': '550', 'nombre': 'GLOBAL OIL', 'provincia': 'ALICANTE', 'municipio': 'SAN MIGUEL DE SALINAS', 'direccion': 'CALLE CV-95, 17,4', 'lat': 37.990083, 'lon': -0.799444, 'grupo': 'GLOBAL OIL', 'nifEmpresa': 'Q5255341I'}","[{'producto': 'Gasóleo A', 'litros': 23.02, 'precioUnitario': 1.43, 'importe': 32.92}]",27.21,5.71,32.92,EUR,Factura simplificada
T-545A3AC0145B,EMP001,Transporte_01 S.L.,EMP001-U1,2025-07-26,17:43:18,Tarjeta de empresa,"{'id': '451', 'nombre': 'BP', 'provincia': 'ALICANTE', 'municipio': 'JÁVEA/XÀBIA', 'direccion': 'CARRETERA JAVEA BENITACHELL KM. 7,093', 'lat': 38.74075, 'lon': 0.150944, 'grupo': 'BP', 'nifEmpresa': 'A28011559'}","[{'producto': 'Gasóleo A', 'litros': 52.21, 'precioUnitario': 1.43, 'importe': 74.66}]",61.7,12.96,74.66,EUR,Factura simplificada
T-83806534828F,EMP001,Transporte_01 S.L.,EMP001-U1,2025-04-21,12:50:49,Tarjeta de empresa,"{'id': '644', 'nombre': 'REPSOL', 'provincia': 'ALMERÍA', 'municipio': 'ALHAMA DE ALMERÍA', 'direccion': 'CARRETERA A-348 KM. 138,830', 'lat': 36.949944, 'lon': -2.555722, 'grupo': 'REPSOL', 'nifEmpresa': 'A78374725'}","[{'producto': 'Gasóleo A', 'litros': 33.33, 'precioUnitario': 1.411, 'importe': 47.03}]",38.87,8.16,47.03,EUR,Factura simplificada
T-6E713F0AB046,EMP001,Transporte_01 S.L.,EMP001-U1,2025-06-05,22:32:49,Efectivo,"{'id': '8951', 'nombre': 'AIRA SILLEDA', 'provincia': 'PONTEVEDRA', 'municipio': 'SILLEDA', 'direccion': 'CARRETERA DE SIADOR KM. 1', 'lat': 42.688083, 'lon': -8.253111, 'grupo': 'AIRA SILLEDA', 'nifEmpresa': 'X35030568'}","[{'producto': 'Gasóleo A', 'litros': 37.9, 'precioUnitario': 1.464, 'importe': 55.49}]",45.86,9.63,55.49,EUR,Factura simplificada
T-1F871F8C567F,EMP001,Transporte_01 S.L.,EMP001-U1,2025-01-25,02:29:33,Tarjeta de empresa,"{'id': '6090', 'nombre': 'MOEVE', 'provincia': 'LEÓN', 'municipio': 'VILLAGATÓN', 'direccion': 'AUTOVIA A-6 (MRG.DCHO.) KM. 350', 'lat': 42.60175, 'lon': -6.232, 'grupo': 'MOEVE', 'nifEmpresa': 'A28003119'}","[{'producto': 'Gasóleo A', 'litros': 30.06, 'precioUnitario': 1.45, 'importe': 43.59}]",36.02,7.57,43.59,EUR,Factura simplificada
T-9D33737C023B,EMP001,Transporte_01 S.L.,EMP001-U1,2025-07-06,18:20:49,Efectivo,"{'id': '3250', 'nombre': 'REPSOL', 'provincia': 'CÁDIZ', 'municipio': 'SAN ROQUE', 'direccion': 'AUTOVIA A-7 KM. 116,000', 'lat': 36.207222, 'lon': -5.410139, 'grupo': 'REPSOL', 'nifEmpresa': 'A78374725'}","[{'producto': 'Gasóleo A', 'litros': 45.52, 'precioUnitario': 1.435, 'importe': 65.32}]",53.98,11.34,65.32,EUR,Factura simplificada
T-AFC8621B8C27,EMP001,Transporte_01 S.L.,EMP001-U1,2025-01-11,16:19:34,Tarjeta de empresa,"{'id': '4566', 'nombre': 'E.S.QUINTANAR', 'provincia': 'CUENCA', 'municipio': 'QUINTANAR DEL REY', 'direccion': 'CARRETERA N320 KM. 43,5', 'lat': 39.333472, 'lon': -1.928833, 'grupo': 'E.S.QUINTANAR', 'nifEmpresa': 'F72423882'}","[{'producto': 'Gasóleo A', 'litros': 37.52, 'precioUnitario': 1.448, 'importe': 54.33}]",44.9,9.43,54.33,EUR,Factura simplificada
